"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"1414","Healthcare and public health capacity","Increase availability of PPE","Face masks, gloves, protective clothing, goggles, shoe cover","Import"
"1415","Social distancing","Return operation of nationals living in regions at risk","Wuhan","Repatriation and quarantine."
"1416","Social distancing","Return operation of nationals living in regions at risk","Evacuation from cruise ships",""
"1417","Social distancing","Work safety protocols","","Mandatory COVID-19 prevention equipment."
"1418","Social distancing","Mass gathering cancellation","Festivals, faith-based events","Mosques halt Friday prayers and mass religious activites"
"1419","Case identification, contact tracing and related measures","Airport health check","Measure temperature","Thermal scanners at airport gates and port docks"
"1420","Case identification, contact tracing and related measures","Health check at train stations","Measure temperature","Thermal scanners at train stations"
"1421","Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions","the government designated 132 treatment facilities across Indonesia"
"1422","Healthcare and public health capacity","Enhance emergency response mechanisms","National task force","The government also established Coronavirus Disease Mitigation Acceleration Task Force"
"1423","Travel restriction","Non-essential travels forbidden","","suspend all non-essential travel to foreign country"
"1424","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare national disaster","declared the coronavirus outbreak as a national disaster, but not an emergency"
"1425","Social distancing","Mass gathering cancellation","Place of worship","""Under the current conditions, it’s time for us to work from home, study from home and worship at home"""
"1426","Social distancing","Recommendation for home office","","Also home study"
"1428","Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions","More hospitals ready to receive patients"
"1429","Risk communication","Educate and actively communicate with the public","Answer to questions","launching covid19.go.id site"
"1432","Case identification, contact tracing and related measures","Airport health check","Thermal scanners at train stations","deny access to those with symptoms of high fever"
"1433","Social distancing","Mass gathering cancellation","Cultural events","several tourist destinations in Jakarta were closed for 2 weeks"
"1434","Social distancing","Closure of educational institutions","Schools closed","All"
"1435","Healthcare and public health capacity","Increase patient capacity","Beds","Jakarta provincial government prepared 500 to 1,000 beds"
"1436","Social distancing","Public transport","Reduce service","started to reduce number of trips, corridors and timetables"
"1437","Social distancing","Public transport","Increase service","reduction policy was retracted due to long queue in many bus stops and train stations in morning"
"1438","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare emergency state","Jakarta provincial government extends the state of emergency until 19 April"
"1439","Resource allocation","Crisis management plans","Financial allocation","Allocates Rp3tn that will be used to fund the city's fight against the virus up until May"
"1440","Travel restriction","Individual movement restrictions","Curfew","approved on 7 April and is set to take effect from 10 April for at least two weeks"
"1441","Case identification, contact tracing and related measures","Surveillance","",""
"1443","Case identification, contact tracing and related measures","Specific health channel for travellers","From China","Wuhan"
"1446","Travel restriction","Airport restriction","Air traffic suspended to and from China",""
"1451","Healthcare and public health capacity","Increase healthcare workforce","Train medical staff specially for covid-19","Exercises"
"1455","Case identification, contact tracing and related measures","Border health check","All airports and all harbors",""
"1456","Risk communication","Educate and actively communicate with the public","Activate communication to the public","Twitter"
"1458","Risk communication","Educate and actively communicate with the public","Activate communication to the public","Facebook"
"1461","Case identification, contact tracing and related measures","Quarantine","Mandatory for contacts",""
"1463","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Forbidden to leave the municipality one is in, also in the case the subject is not in its own household"
"1465","Social distancing","Mass gathering cancellation","Closure of educational institutions","All"
"1470","Social distancing","Mass gathering cancellation","Closure of educational institutions","Closure of universities"
"1472","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","Spot in the national TV"
"1473","Social distancing","Small gathering cancellation","Mandatory home office",""
"1475","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","Communication on Facebook"
"1477","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","hang in pulic spaces (schools, universities, offices and places of transit) the guidelines of the health ministery"
"1478","Social distancing","Closure of educational institutions","Complete closure of educational institutions",""
"1479","Healthcare and public health capacity","Increase availability of PPE","Face masks","eleven municipalities in the red zone of the outbreak"
"1480","Risk communication","Actively communicate with stakeholders","Promote hygiene measures and social distancing",""
"1485","Social distancing","Special measures for certain establishments","Emergeny rooms hospitals","Forbidden to accompany patients, to stay in the waiting rooms of the emergency and reception departments and first aid"
"1487","Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities",""
"1489","Travel restriction","Cordon sanitaire","10 regions",""
"1490","Social distancing","Mass gathering cancellation","Cultural events","cinemas, pubs, discos"
"1492","Social distancing","Special measures for certain establishments","Food services","Can open of respect social distancing measures"
"1494","Social distancing","Special measures for certain establishments","Shops","Can open of respect social distancing measures"
"1495","Social distancing","Special measures for certain establishments","Gyms, swimming pools and sports centers","Can open of respect social distancing measures"
"1496","Social distancing","Special measures for certain establishments","Place of worship","Can open if distance is respected"
"1497","Healthcare and public health capacity","Reduce the burden on health system","Promote self-initiated quarantine for people with mild respiratory symptoms",""
"1498","Healthcare and public health capacity","Enhance hand hygiene","Hand sanitizers in public spaces",""
"1499","Environmental measures","Environmental cleaning and disinfection","Public transport",""
"1501","Resource allocation","Enforce lockdown","Police and army control and sanctions",""
"1502","Healthcare and public health capacity","Increase availability of PPE","Face masks","Distriburion"
"1503","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","FAQ vulnerable persons"
"1505","Risk communication","Educate and actively communicate with the public","hashtag stay at home",""
"1507","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Ordinance March 29, 2020. Further urgent civil protection interventions in relation to the emergency related to the health risk connected to the onset of pathologies deriving from transmissible viral agents. (Ordinance No. 658). (20A01942) 
 (OJ General Series, n.85 of 30 March 2020)"
"1509","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Walks and bike riding forbidden"
"1510","Case identification, contact tracing and related measures","Quarantine","All incomings","By plane, train, sea"
"1511","Social distancing","Small gathering cancellation","Closure of non-essential public places",""
"1512","Travel restriction","Individual movement restrictions","No movements allowed before and during holidays",""
"1513","Healthcare and public health capacity","Reduce the burden on health system","Simplification of the health journey","Ease prescriptions"
"1514","Social distancing","Small gathering cancellation","Closure of non-essential working places","all industrial production activities are suspended commercial, with the exception of those indicated in Annex 1 and save the following. Professional activities are not the forecasts referred to in Article 1, point 7 remain suspended and Decree of the President of the Council of Ministers 11 March 2020."
"1516","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","From today it is forbidden for all natural persons to move or move with public or private means of transport in common other than that in which they are located, except for proven work needs, of absolute urgency or for health reasons."
"1518","Healthcare and public health capacity","Increase availability of PPE","Face masks","Domestic production"
"1519","Risk communication","Educate and actively communicate with the public","Extention measures confinement","Until 14 April 2020"
"1520","Resource allocation","Research","Health research","7 million euros"
"1521","Social distancing","Closure of educational institutions","Rules for exams",""
"1522","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Volunteers doctors"
"1523","Risk communication","Educate and actively communicate with the public","Press conference - Extention measures confinement","Until 3 May 2020"
"1524","Returning to normal life","Re-opening of shops","Libraries, stationery stores and shops for babies and children",""
"1525","Case identification, contact tracing and related measures","Tracing and monitoring","Tracking via mobile phone",""
"1526","Healthcare and public health capacity","Enhance healthcare capacity - Funds","For PPE and medical equipment",""
"1528","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Increase domestic production"
"1529","Risk communication","Travel alert","Level 1","China"
"1530","Risk communication","Travel alert","Level 2","China except Hubei province"
"1531","Risk communication","Travel alert","Level 2","Wuhan City (Hubei Province, China)"
"1532","Risk communication","Travel alert","Level 3","Hubei Province (China)"
"1533","Risk communication","Call for return of nationals living abroad","Wuhan","Government offers charter aircrafts"
"1535","Case identification, contact tracing and related measures","Border health check","Health screening","Incomings from Wuhan City (Hubei Province, China)"
"1536","Social distancing","Return operation of nationals living in regions at risk","Hubei","Quarantine, test, monitoring"
"1538","Case identification, contact tracing and related measures","Quarantine","Suspected cases",""
"1541","Social distancing","Return operation of nationals living in regions at risk","Hubei","State-facilitated Quarantine"
"1542","Travel restriction","Border restriction","Denial entry of infected persons",""
"1543","Travel restriction","Border restriction","Borders closed for people with travel history to China","foreign nationals who have any history of staying in Hubei Province within 14 days and those who possess a Chinese passport issued by Hubei Province"
"1544","Case identification, contact tracing and related measures","Enhance detection system","Test those who travelled to high-risk areas",""
"1545","Travel restriction","Airport restriction","No direct filghts to high-risk areas","to Hong Kong"
"1546","Travel restriction","Denial entry to boats with more than 100 passengers","With suspected cases or from China","Diamond Princess"
"1548","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","500 billion yen"
"1549","Case identification, contact tracing and related measures","Quarantine","Asymptomatic carriers","provide treatment"
"1550","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","PCR machines outsourcing from universities and private labs"
"1551","Healthcare and public health capacity","Increase isolation and quarantine facilities","Health follow-up center",""
"1552","Resource allocation","Crisis management plans","Research","simple diagnostic kits, antiviral drugs, vaccines,"
"1553","Healthcare and public health capacity","Increase patient capacity","Beds","more than 1800 beds made available"
"1554","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Financial aid for small and medium-sized businesses"
"1555","Resource allocation","Provide international help","Donating isolated viruses around the world for further research and PPE for Asian Countries",""
"1557","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","mobilization medical reserve personnel from Self-Defense Forces"
"1558","Travel restriction","Border restriction","Borders closed for non-citizens from high-risk areas other than China","Zhejiang Province"
"1559","Risk communication","Travel alert","Level 3","Wenzhou (Zhejiang Province, China)"
"1560","Risk communication","Educate and actively communicate with the public","Promote hand hygiene",""
"1561","Healthcare and public health capacity","Increase patient capacity","Increase medical consultation capacity",""
"1562","Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions","536 counseling centers"
"1564","Risk communication","Educate and actively communicate with the public","Discourage gathering",""
"1565","Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions",""
"1567","Social distancing","Mass gathering cancellation","Festivals, faith-based events","one public celebration cancelled"
"1568","Social distancing","Mass gathering cancellation","Sport events","one marathon cancelled"
"1569","Risk communication","Actively communicate with healthcare professionals","Sensitization of hospital, medico-social and liberal health professionals","Documentation"
"1570","Risk communication","Actively communicate with stakeholders","Risk assessment before an event",""
"1571","Risk communication","Actively communicate with stakeholders","Flexibilization of working hours/school hours",""
"1574","Healthcare and public health capacity","Research","Clinical trials on COVID-19","anti-influenza medication, Avigan (Favipiravir)"
"1575","Case identification, contact tracing and related measures","Enhance detection system","Research and test of contacts","Directions how to investigate cluster occurrence"
"1576","Case identification, contact tracing and related measures","Enhance detection system","Search for and/or monitor contacts","Observation of health for highly contacted persons, request to refrain from going out, etc"
"1577","Case identification, contact tracing and related measures","Quarantine","Contact persons","Observation of health for highly contacted persons, request to refrain from going out, etc"
"1581","Risk communication","Actively communicate with stakeholders","","encourage workers to take leave if any cold-like symptoms appear"
"1583","Healthcare and public health capacity","Case management","Prioritize care",""
"1585","Risk communication","Use of public transport","Arrange working time to avoid peak hours",""
"1586","Risk communication","Actively communicate with stakeholders","Encourage event cancellation",""
"1587","Healthcare and public health capacity","Activate emergency response mechanisms","Set up crisis units","Regional"
"1588","Social distancing","Closure of educational institutions","Complete closure of educational institutions","All with exceptions"
"1589","Risk communication","Travel alert","Level 2","Daegu City and Cheongdo County (Korea)"
"1593","Risk communication","Educate and actively communicate with the public","Recommendation for staying at home",""
"1594","Risk communication","Educate and actively communicate with the public","Advice for avoiding infection",""
"1595","Risk communication","Actively communicate with stakeholders","Risk assessment before an event","Social distancing"
"1598","Risk communication","Educate and actively communicate with the public","Activate communication to the public","website of Ministry of Health, Labour and Welfare"
"1601","Healthcare and public health capacity","Increase availability of PPE","Face masks","increase face mask production for medical institutions"
"1602","Travel restriction","Border restriction","Borders closed for non-citizens coming from high-risk areas other than China","North Gyeongsang Province of the Republic of Korea (ROK) and Qom Province of the Republic of Iran"
"1603","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China and South Korea"
"1604","Travel restriction","Cancellation of international flights","Partial","China and Korea"
"1605","Healthcare and public health capacity","Repurpose hospitals","Hospitals prepared to treat",""
"1607","Risk communication","Actively communicate with stakeholders","Risk assessment before an event","Cancellation, postponement, or downscaling,  nation-wide events"
"1608","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Financial aid for parents on leave"
"1609","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Loans for individuals"
"1610","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Employment Adjustment Subsidies"
"1611","Travel restriction","Border restriction","Borders closed for non-citizens coming from high-risk areas other than China","China, South Korea, and Iran"
"1612","Risk communication","Travel alert","Level 1",""
"1613","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","postponement of due date of utility bill payments"
"1614","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","grace period of another year for the payment of national taxes and social security premiums"
"1615","Healthcare and public health capacity","Enhance laboratory testing","Decrease time between test and result","1 hour"
"1616","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Europe, Egypt, and Iran"
"1617","Travel restriction","Border restriction","Borders closed for non-citizens coming from high-risk areas other than China","certain regions of Italy, Spain and Switzerland, and entire Iceland"
"1618","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","all the Schengen countries, as well as Iran and Egypt"
"1619","Risk communication","Travel alert","Level 2","USA"
"1620","Social distancing","Mass gathering cancellation","Sport events","Postponement of the 2020 Olympic"
"1621","Risk communication","Travel alert","Level 2","rest of the world not specified in other travel alerts"
"1622","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Travellers from USA"
"1623","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","Regional"
"1624","Case identification, contact tracing and related measures","Border health check","Test at the border","for citizens"
"1625","Travel restriction","Border restriction","Borders closed for non-citizens coming from high-risk areas other than China","21 European countries and Iran"
"1626","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Travellers from Southeast Asia, the Middle East, and Africa"
"1627","Risk communication","Travel alert","Level 3","(Asia) Indonesia, Korea, Singapore, Thailand, Taiwan, China, Philippines, Brunei, Vietnam, Malaysia (Pacific) Australia, New Zealand (North America) Canada, United States (Latin America) Ecuador, Dominica, Chile, Panama, Brazil , Bolivia (Europe) Albania, Armenia, United Kingdom, Northern Macedonia, Cyprus, Greece, Croatia, Kosovo, Slovakia, Serbia, Czech Republic, Hungary, Finland, Bulgaria, Poland, Bosnia and Herzegovina, Moldova, Montenegro, Latvia, Lithuania, Romania ( Middle East) Israel, Egypt, Turkey, Bahrain (Africa) Cote d'Ivoire, Democratic Republic of Congo, Mauritius, Morocco"
"1628","Risk communication","Travel alert","Level 2","All countries / regions with current infectious disease risk information level 1 excluding the countries included in (1) above Level 2"
"1629","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare state of emergency","Nationwide"
"1630","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare state of emergency",""
"1633","Travel restriction","Denial entry of travellers from China","Complete",""
"1637","Travel restriction","Denial entry of travellers from China","",""
"1638","Social distancing","Return operation of nationals living in regions at risk","China",""
"1640","Travel restriction","Deportation of Chinese nationals","",""
"1642","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Nationals from China and Iran"
"1643","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Nationals arriving from South Korea, Japan, Italy, Hong Kong, Taiwan, Macao"
"1644","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Nationals traveling from a country with 10 or more confirmed cases"
"1645","Case identification, contact tracing and related measures","Enhance detection system","Self-screening","All incomings from high-risk areas"
"1646","Travel restriction","Cancellation of international flights","Partial","South Korea"
"1647","Travel restriction","Cancellation of international flights","Total","Iran"
"1648","Travel restriction","Cancellation of international flights","Partial","Japan"
"1649","Travel restriction","Cancellation of international flights","Partial","Azerbaijan"
"1651","Healthcare and public health capacity","Increase healthcare workforce","Train medical staff specially for covid-19",""
"1652","Healthcare and public health capacity","Increase availability of PPE","For healthcare professionals",""
"1653","Healthcare and public health capacity","Increase in medical supplies and equipment","",""
"1658","Environmental measures","Environmental cleaning and disinfection","Places of high traffic and capacity (e.g. centers for civil services, markets, train stations, airports, shopping centers, restaurants etc.)","Treatment of surfaces at least 2 times per day"
"1663","Healthcare and public health capacity","Repurpose hospitals","Isolation and quarantine","Opening of specialized clinics for confirmed, suspected cases and quarantined people"
"1664","Travel restriction","Stop public transports","Partial","Limited public transportation during day, and prohibited during night"
"1666","Social distancing","Small gathering cancellation","Closure of non-essential shops","Partial"
"1668","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Complete"
"1669","Risk communication","Educate and actively communicate with the public","Activate communication to the public","Internet"
"1671","Travel restriction","Cordon sanitaire","More than one city",""
"1673","Case identification, contact tracing and related measures","Tracing and monitoring","Smartphone app to report infection / contact",""
"1674","Case identification, contact tracing and related measures","Border health check","Test at the border","International arrivals"
"1676","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","Internet"
"1677","Social distancing","Small gathering cancellation","Closure of non-essential shops","Complete"
"1683","Travel restriction","Border restriction","Borders closed for travellers but open for food supply","Partial"
"1684","Travel restriction","Stop public transports","Partial",""
"1689","Risk communication","Use of public transport","Discourage use",""
"1698","Travel restriction","Train transport restrictions","",""
"1705","Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19",""
"1709","Resource allocation","Crisis management plans","Implement repurpose government plans","400,000EUR for Ministry of Health"
"1715","Environmental measures","Environmental cleaning and disinfection","Schools",""
"1727","Social distancing","Mass gathering cancellation","Indoor activities","Fitness gym, music classes..."
"1731","Environmental measures","Environmental cleaning and disinfection","All public and private institutions, public and private transports",""
"1733","Travel restriction","Cancellation of international flights","Partial or total",""
"1734","Travel restriction","Travel restriction to high-risk areas","High risk areas","Tour groups departure"
"1748","Travel restriction","Stop public transports","Inter-urban transport",""
"1755","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","precise location (airport, railway station...) and precise channel (TV , poster, flyers, radio, social media)"
"1757","Case identification, contact tracing and related measures","Enhance detection system","Self-screening and reporting of cases via an online tool",""
"1758","Case identification, contact tracing and related measures","Quarantine","",""
"1761","Social distancing","Mass gathering cancellation","Outdoor activities",""
"1768","Resource allocation","Receive international help","5 million euros from the EU",""
"1769","Resource allocation","Receive international help","1.1. million dollars from the US embassy",""
"1770","Case identification, contact tracing and related measures","Airport health check","Health certificate requested","Philippines, India, Bangladesh, Egypt, Syria, Azerbaijan, Turkey, Sri Lanka, Georgia and Lebanon."
"1773","Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms","Travellers from Syria and Egypt"
"1774","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Philippines, India, Egypt, Syria, Sri Lanka and Lebanon."
"1776","Travel restriction","Cancellation of international flights","Toal","Iran"
"1777","Travel restriction","Cancellation of international flights","Toal","South Korea, Thailand and Italy"
"1782","Risk communication","Educate and actively communicate with the public","Activate communication to the public","Airport, Universities"
"1786","Healthcare and public health capacity","Increase availability of PPE","Face masks","import"
"1787","Healthcare and public health capacity","Increase availability of PPE","Face masks","For healthcare professionals"
"1790","Environmental measures","Environmental cleaning and disinfection","Airplanes",""
"1795","Case identification, contact tracing and related measures","Quarantine","All workers who have been in quarantine should not come back to work",""
"1797","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","US, UK, Germany, spain, france"
"1799","Social distancing","Return operation of nationals living in regions at risk","Iran",""
"1800","Social distancing","Return operation of nationals living in regions at risk","Italy",""
"1801","Social distancing","Return operation of nationals living in regions at risk","UK",""
"1803","Social distancing","Small gathering cancellation","Mandatory home office","Only Govermental Institutions"
"1810","Social distancing","Closure of educational institutions","Partial closure of educational institutions","Partial closure of kindergartens"
"1821","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","vulnerable and older population"
"1825","Healthcare and public health capacity","Increase patient capacity","Emergency hospitals","increase number of beds"
"1833","Social distancing","Mass gathering cancellation","Indoor activities","Indoor Swimming pool"
"1842","Travel restriction","Non-essential travels forbidden","To and from Austria",""
"1849","Social distancing","Special measures for certain establishments","Food services","Can open of < 50 persons"
"1850","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare emergency state","Lithuania declares State of Emergency"
"1856","Travel restriction","Cancellation of international flights","To Italy",""
"1857","Travel restriction","Cancellation of international flights","Toal",""
"1862","Risk communication","Educate and actively communicate with the public","Activate communication to the public","Specialists from the National Public Health Center (NVSC) will be on duty at all three airports in Lithuania to advise all travellers about COVID-19"
"1864","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Anyone returning from a foreign country"
"1867","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Austria, China, Denmark, Egypt, France, Germany, Hong Kong Special Administrative Region of the People's Republic of China, Iceland, Iran, Italy, Japan, Netherlands, Norway, Singapore, South Korea, Spain, Sweden and Switzerland"
"1875","Social distancing","Mass gathering cancellation","Limit up to 100 persons","Applies to indoor events"
"1880","Healthcare and public health capacity","Increase isolation and quarantine facilities","Hotels transform in quarantine facilities",""
"1881","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Austria, China, Denmark, Egypt, France, Germany, Hong Kong Special Administrative Region of the People's Republic of China, Iceland, Iran, Italy, Japan, Netherlands, Norway, Singapore, South Korea, Spain, Sweden and Switzerland"
"1883","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","take-away allowed"
"1884","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Mobile testing facilities"
"1885","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Mobile testing facilities were opened"
"1886","Travel restriction","Border restriction","Border control extended","Border control was extended for 20 days to 12 April"
"1887","Social distancing","Special measures for certain establishments","Food services","shops were mandated to control movement of customers within the shops"
"1888","Case identification, contact tracing and related measures","Quarantine","All incomings","people who would come from abroad by plane to Vilnius Airport would be quarantined in a hotel"
"1889","Travel restriction","Stop public transports","Intercities","Major coach companies temporarily suspended their intercity routes"
"1890","Resource allocation","Crisis management plans","Implement repurpose government plans","create a situation handling committee"
"1891","Travel restriction","National lockdown","Time extension","the nationwide quarantine was extended to 13 April"
"1892","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment","The Government of Lithuania has banned export of medical equipment to countries outside of the European Union"
"1893","Resource allocation","Enforce lockdown","Police and army control and sanctions","The Military Police started aiding police and Lithuanian Riflemen's Union in patrolling streets to enforce lockdown rules"
"1894","Travel restriction","National lockdown","Time extension","The nationwide quarantine was extended to 27 April"
"1896","Travel restriction","Cordon sanitaire","One city","The town of Nemen?in? will be put on lockdown from April 16 to April 30"
"1897","Healthcare and public health capacity","Enhance emergency response mechanisms","National Crisis Preparedness and Response Centre",""
"1902","Travel restriction","Border restriction","",""
"1903","Travel restriction","Cancellation of international flights","partial","with China"
"1909","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","RM40 billion"
"1911","Risk communication","Educate and actively communicate with the public","Encourage donation for covid19 crisis",""
"1912","Risk communication","Educate and actively communicate with the public","Encourage workplace hygiene",""
"1915","Healthcare and public health capacity","Increase in medical supplies and equipment","Medical equipment, laboratory equipment",""
"1916","Healthcare and public health capacity","Increase availability of PPE","PPE (not specified)",""
"1918","Environmental measures","Environmental cleaning and disinfection","One school",""
"1919","Environmental measures","Environmental cleaning and disinfection","Mosks",""
"1932","Social distancing","Public transport","Reduced ferry service",""
"1937","Social distancing","Small gathering cancellation","Closure of non-essential working places","non-essential gov and private services"
"1941","Social distancing","Small gathering cancellation","Closure of non-essential working places","Closure at night of all business stores"
"1942","Travel restriction","Airports closing for all international flights","Airports closing for all flights with China",""
"1943","Risk communication","Educate and actively communicate with the public","Reassure on food security",""
"1946","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Covid-19 reagents"
"1947","Healthcare and public health capacity","Increase patient capacity","Isolation wards","Implement isolation wards"
"1953","Travel restriction","Border restriction","Borders closed with China",""
"1954","Travel restriction","Border restriction","Brunei and Kalimantan borders stay open",""
"1955","Travel restriction","Border restriction","Borders closed except Brunei and Kalimantan",""
"1958","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","special financial aid package RM1.15 billion"
"1959","Social distancing","Mass gathering cancellation","Complete prohibition of gathering","Movement Control Order 18 March"
"1960","Social distancing","Mass gathering cancellation","Limit up to 50 persons","Movement Control Order 18 March"
"1961","Case identification, contact tracing and related measures","Quarantine","All incomings","Movement Control Order 18 March"
"1962","Social distancing","Small gathering cancellation","Closure of non-essential working places","Movement Control Order 18 March"
"1966","Case identification, contact tracing and related measures","Tracing and monitoring","Cases","digital cuffs"
"1970","Travel restriction","Airport restriction","No direct filghts to high-risk areas","Honk-kong"
"1973","Healthcare and public health capacity","Increase isolation and quarantine facilities","Youth center",""
"1974","Risk communication","Call for return of nationals living abroad","Nationals in China",""
"1975","Case identification, contact tracing and related measures","Airport health check","Health screening","All incomings"
"1976","Healthcare and public health capacity","Increase availability of PPE","Face masks",""
"1977","Travel restriction","Airport restriction","Denial entry of travellers from ""high-risk"" countries other than China",""
"1978","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","South Korea, Lombardy (Italy), Veneto (Italy), Emilia Romagna (Italy)"
"1979","Healthcare and public health capacity","Increase healthcare workforce","Educate healthcare professionals",""
"1980","Travel restriction","Airport restriction","No direct filghts to high-risk areas","Shangai"
"1983","Risk communication","Educate and actively communicate with the public","Website",""
"1984","Risk communication","Actively communicate with stakeholders","Fact sheet",""
"1989","Travel restriction","National lockdown","For 2 weeks",""
"1990","Risk communication","Educate and actively communicate with the public","Answer to question","provide telephone hotlines covid-19"
"1992","Travel restriction","Denial entry to boats with more than 100 passengers","",""
"1995","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Payment of tax can be reported"
"1996","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Wage assistance scheme"
"1997","Resource allocation","Setting price for specific protective products","Masks, hand sanitizers",""
"1998","Resource allocation","The government provides food assistance","For vulnerable population",""
"1999","Risk communication","Educate and actively communicate with the public","A mobile application on Covid-19 called beSafeMoris",""
"2002","Travel restriction","National lockdown","Extension",""
"2004","Resource allocation","Receive international help","EU","MUR 11.3 million"
"2005","Resource allocation","Receive international help","Hydroxychloroquine","Sent by India"
"2006","Case identification, contact tracing and related measures","Enhance detection system","Self-screening and reporting of cases via an online tool","Chatbot"
"2008","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Programas de gasto social"
"2009","Risk communication","Educate and actively communicate with the public","Recommendation for home office","Suggested 5-day isolation for a state's population. Non-mandatory"
"2015","Social distancing","Mass gathering cancellation","Indoor activities","fitness gym, music classes"
"2018","Risk communication","Actively communicate with healthcare professionals","Health agencies and emergency healthcare","Workshop"
"2024","Social distancing","Closure of educational institutions","Partial closure of educational institutions","all institutions"
"2028","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","https://coronavirus.gob.mx/"
"2044","Social distancing","Small gathering cancellation","Closure of non-essential working places","From March 30 to April 30, 2020"
"2047","Risk communication","Educate and actively communicate with the public","Answer to questions","Webpage - work-related issues"
"2048","Healthcare and public health capacity","Increase availability of PPE","Masks, gloves",""
"2050","Healthcare and public health capacity","Increase patient capacity","Isolation wards",""
"2056","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","people from Austria"
"2057","Travel restriction","Border restriction","Borders closed for people from China",""
"2058","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","people from Denmark"
"2059","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","people from France"
"2060","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","people from Germany"
"2061","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","people from Iran"
"2062","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","people from Italy"
"2063","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","people from Japan"
"2064","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","people from South Korea"
