"Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"Risk communication","Educate and actively communicate with the public","Communication targets nationals living abroad","Ask citizen living abroad to postpone their return"
"Risk communication","Educate and actively communicate with the public","Communication targets nationals living abroad","Call for the respect of the local measures"
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Campaign for mental health during covid-19 crisis"
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Campaign for protecting the elderly"
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Hotline for psychological support during covid-19 crisis"
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Infection prevention/control manager is designated in high-risk communities"
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Launch psychic emergency helpline"
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Measures to limit contact to the elderly"
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Persons with a medical condition"
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Promote the 2m distance towards vulnerable persons"
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Promote the use of face masks in presence of vunerable people"
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Protection of the elderly: social media, telephone calls, posters, voice message on the phone from the mayor "
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Protection of women and children against domestic violence"
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Recommend not to visit vulnerable persons"
"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Recommendation to reduce contact to hospital patients"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Campaign to reach all people to inform them on covid-19"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Elderly"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","FAQ vulnerable persons"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Helpline for those most in need"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Homeless people urged to seek shelter"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Homeless persons"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Indigeneous populations"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Marginalized Roma communities"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Message for pregnant women, elderly and at risk profesions"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Nationals living in Wuhan"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Recommend the elderly to stay at home"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Vulnerable population should not travel on cruise ship"
"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Webpage and App to support those suffering from mental illness"
"Risk communication","Educate and actively communicate with the public","Direct government communication",""
"Risk communication","Educate and actively communicate with the public","Direct government communication","Campaign to support the restaurant industry"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Direct communication from health authorities"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Direct communication from health authorities: Press conference"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Government announces phase-out strategy plan"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Inform on the strategy against Covid-19"
"Risk communication","Educate and actively communicate with the public","Direct government communication","King, TV"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Live interview to answer questions"
"Risk communication","Educate and actively communicate with the public","Direct government communication","President press conference"
"Risk communication","Educate and actively communicate with the public","Direct government communication","President, TV: Encourage people to follow the experts recommendations"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Press conference"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Press Conference"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Press conference #1"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Press conference for children"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Press conference invitation for media. The Public Health Agency and other specialists"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Press conference to encourage hand hygiene"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Press conference, national TV"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Press release Health Ministry advising travellers to avoid non-essential travel to Wuhan"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Prime minister"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Prime minister announces phase-out strategy plan"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Prime minister disencourages Romanians living in Italy to return home for Easter."
"Risk communication","Educate and actively communicate with the public","Direct government communication","Promote hygiene measures and social distancing"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Promote social distancing measures"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Recommendations for avoiding infection during travel, twitter"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Recommendations for protecting the others, twitter"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Recommendations to avoid travel when sick, twitter"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Recommendations to avoid travels"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Speech of the head of the government"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Televised statement"
"Risk communication","Educate and actively communicate with the public","Direct government communication","Twitter"
"Risk communication","Educate and actively communicate with the public","Discourage non-essential travels",""
"Risk communication","Educate and actively communicate with the public","Encourage donation for covid19 crisis","Fund"
"Risk communication","Educate and actively communicate with the public","Encourage donation for covid19 crisis","Need for PPE for healthcare professionals"
"Risk communication","Educate and actively communicate with the public","Encourage environmental disinfection",""
"Risk communication","Educate and actively communicate with the public","Encourage environmental disinfection","Disinfecting frequently used items and surfaces as much as possible"
"Risk communication","Educate and actively communicate with the public","Encourage environmental disinfection","Disinfection of frequently touched surfaces"
"Risk communication","Educate and actively communicate with the public","Encourage environmental disinfection","Disinfection of frequently used surfaces or objects"
"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene",""
"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","Encourage to not shake hands"
"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","flyers"
"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","Practise frequent hand washing with soap"
"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","Promote use of hand disinfectants"
"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","Recommendations for hand washing"
"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","Restaurants"
"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","The advice targets Muslims"
"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","warning note in front of lift"
"Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine",""
"Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Anyone returning from a foreign country"
"Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Contact persons"
"Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Contacts and suspected cases"
"Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","For people who attended a service at Shincheonji Church"
"Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","For people who visited Cheongdo Daenam hospital"
"Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Travelers returning from high risk areas"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home",""
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Advice for vulnerable populations"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","All citizens"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Discourage visits for Easter"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Ederly and health-compromised people"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Ederly, compromised immune systems, ill"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Encourage curfew"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","For special populations"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","hashtag stay at home"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Recommend pregnant women to stay at home"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Recommend the elderly to stay at home"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Recommend vulnerable populations to stay at home: elderly and with chronic health conditions"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Special populations: elderly and with chronic health conditions"
"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Twitter, target parents"
"Risk communication","Educate and actively communicate with the public","Encourage to call before medical visit",""
"Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19",""
"Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Elderly"
"Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Encourage vaccination against respiratory diseases other than covid19"
"Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Vaccination against influenza"
"Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Vaccination against pneumococci"
"Risk communication","Educate and actively communicate with the public","Encourage visitors to not enter the state if sick",""
"Risk communication","Educate and actively communicate with the public","Foster community assistance","Call for volunteers to food banks"
"Risk communication","Educate and actively communicate with the public","Foster community assistance","Call for volunteers to help others stay at home"
"Risk communication","Educate and actively communicate with the public","Foster community assistance","Check on the most vulnerable"
"Risk communication","Educate and actively communicate with the public","Foster community assistance","Encourage blood donation against covid19 crisis"
"Risk communication","Educate and actively communicate with the public","Foster community assistance","Encourage donation for covid19 crisis"
"Risk communication","Educate and actively communicate with the public","Foster community assistance","Online resource"
"Risk communication","Educate and actively communicate with the public","Guidelines","For ophtalmic opticians"
"Risk communication","Educate and actively communicate with the public","Guidelines","For outdoor children's playgrounds"
"Risk communication","Educate and actively communicate with the public","Guidelines","For voting 10-11 April"
"Risk communication","Educate and actively communicate with the public","Guidelines","Guidelines for body care and transport after death"
"Risk communication","Educate and actively communicate with the public","Guidelines","Guidelines to prevent Covid19 Transmission"
"Risk communication","Educate and actively communicate with the public","Guidelines","Mailbox leaflets"
"Risk communication","Educate and actively communicate with the public","Guidelines","On cybersecurity for workers working from home"
"Risk communication","Educate and actively communicate with the public","Guidelines","Transport of goods through medium and high-risk countries"
"Risk communication","Educate and actively communicate with the public","Guidelines","Transport of persons returning from abroad"
"Risk communication","Educate and actively communicate with the public","Guidelines for persons in quarantine",""
"Risk communication","Educate and actively communicate with the public","Guidelines for persons in quarantine","Twitter"
"Risk communication","Educate and actively communicate with the public","Guidelines for persons in quarantine","Twitter, video + sign language"
"Risk communication","Educate and actively communicate with the public","Hydroxychloroquine now a schedule H1 drug, can be sold on prescription only",""
"Risk communication","Educate and actively communicate with the public","Implement communication tool","Corona dashboard"
"Risk communication","Educate and actively communicate with the public","Implement communication tool","SMS notification for incoming travellers"
"Risk communication","Educate and actively communicate with the public","Implement communication tool","Text alert system"
"Risk communication","Educate and actively communicate with the public","Implement communication tool","WhatsApp bot"
"Risk communication","Educate and actively communicate with the public","Information about travels","Discourage entry of visitors from high-risk areas"
"Risk communication","Educate and actively communicate with the public","Information about travels","Discourage non-essential travels"
"Risk communication","Educate and actively communicate with the public","Information about travels","Health alert notice to international travellers"
"Risk communication","Educate and actively communicate with the public","Information about travels","Recommendations for people returning from high risk areas"
"Risk communication","Educate and actively communicate with the public","Information bulletin","Bulletin by the Health agency"
"Risk communication","Educate and actively communicate with the public","Information bulletin","Communicate about the state of the country"
"Risk communication","Educate and actively communicate with the public","Information bulletin","Communication via government official site"
"Risk communication","Educate and actively communicate with the public","Information bulletin","Coronavirus Information Bulletin"
"Risk communication","Educate and actively communicate with the public","Information bulletin","Current epidemiological situation"
"Risk communication","Educate and actively communicate with the public","Information bulletin","Daily newsletter"
"Risk communication","Educate and actively communicate with the public","Information campaign",""
"Risk communication","Educate and actively communicate with the public","Information campaign","About new coronavirus"
"Risk communication","Educate and actively communicate with the public","Information campaign","Advice for avoiding infection"
"Risk communication","Educate and actively communicate with the public","Information campaign","Advise for safe shopping, twitter"
"Risk communication","Educate and actively communicate with the public","Information campaign","Against alcohol consumption during confinement"
"Risk communication","Educate and actively communicate with the public","Information campaign","Against fake news"
"Risk communication","Educate and actively communicate with the public","Information campaign","Airport posters"
"Risk communication","Educate and actively communicate with the public","Information campaign","Airport, flyers"
"Risk communication","Educate and actively communicate with the public","Information campaign","Airport, ports and borders sanitation to avoid sources of infection"
"Risk communication","Educate and actively communicate with the public","Information campaign","Airport, railway station / TV , poster, flyers, radio, social media"
"Risk communication","Educate and actively communicate with the public","Information campaign","Airport, railway stations, harbours (poster, flyers) radio, social media, governmential homepages "
"Risk communication","Educate and actively communicate with the public","Information campaign","Airport, Universities"
"Risk communication","Educate and actively communicate with the public","Information campaign","Airports"
"Risk communication","Educate and actively communicate with the public","Information campaign","Airports. Face-to-face information about self-isolation and symptoms."
"Risk communication","Educate and actively communicate with the public","Information campaign","All citizens >15 yo receive an email"
"Risk communication","Educate and actively communicate with the public","Information campaign","At airports in Lithuania to advise all travellers about COVID-19"
"Risk communication","Educate and actively communicate with the public","Information campaign","Broadcasting of radio and television prevention spots"
"Risk communication","Educate and actively communicate with the public","Information campaign","Campaign for mental health during covid-19 crisis"
"Risk communication","Educate and actively communicate with the public","Information campaign","Campaign for physical health during covid-19 crisis"
"Risk communication","Educate and actively communicate with the public","Information campaign","Campaign free of charge"
"Risk communication","Educate and actively communicate with the public","Information campaign","Communication on Facebook"
"Risk communication","Educate and actively communicate with the public","Information campaign","Communication via social media"
"Risk communication","Educate and actively communicate with the public","Information campaign","Coronavirus information points at airports and ports"
"Risk communication","Educate and actively communicate with the public","Information campaign","Covid-19 dashboard"
"Risk communication","Educate and actively communicate with the public","Information campaign","Don't lie to the doctor campaign, twitter"
"Risk communication","Educate and actively communicate with the public","Information campaign","Education and sentization on Covid-19"
"Risk communication","Educate and actively communicate with the public","Information campaign","Encourage social connectedness"
"Risk communication","Educate and actively communicate with the public","Information campaign","Facebook"
"Risk communication","Educate and actively communicate with the public","Information campaign","Facebook, youtube"
"Risk communication","Educate and actively communicate with the public","Information campaign","Facilitating voluntary decision-making for patients"
"Risk communication","Educate and actively communicate with the public","Information campaign","Flyers"
"Risk communication","Educate and actively communicate with the public","Information campaign","Flyers and posters at airports"
"Risk communication","Educate and actively communicate with the public","Information campaign","For social distancing"
"Risk communication","Educate and actively communicate with the public","Information campaign","For travellers"
"Risk communication","Educate and actively communicate with the public","Information campaign","Government informs via Facebook"
"Risk communication","Educate and actively communicate with the public","Information campaign","Government on social media"
"Risk communication","Educate and actively communicate with the public","Information campaign","Health advisory posters for travellers arriving from Wuhan at airport"
"Risk communication","Educate and actively communicate with the public","Information campaign","How to protect yourself against Covid-19"
"Risk communication","Educate and actively communicate with the public","Information campaign","Information campaign about Covid-19 prevention"
"Risk communication","Educate and actively communicate with the public","Information campaign","Information center"
"Risk communication","Educate and actively communicate with the public","Information campaign","Information in airplanes that land in Spain"
"Risk communication","Educate and actively communicate with the public","Information campaign","Launching of a cooperative team with the governement, media and social media influencers to ensure official communication about COVD-19 is reaching all population groups."
"Risk communication","Educate and actively communicate with the public","Information campaign","Managing kids mental health during covid-19"
"Risk communication","Educate and actively communicate with the public","Information campaign","Map of the positive results per municipality"
"Risk communication","Educate and actively communicate with the public","Information campaign","Ministry of Health Campaign ""This Virus We Stop Together"" is launched"
"Risk communication","Educate and actively communicate with the public","Information campaign","Mobile message to inform public about gathering ban"
"Risk communication","Educate and actively communicate with the public","Information campaign","national -tv, press"
"Risk communication","Educate and actively communicate with the public","Information campaign","On hand hygiene and social distancing"
"Risk communication","Educate and actively communicate with the public","Information campaign","On social distancing and hand hygiene"
"Risk communication","Educate and actively communicate with the public","Information campaign","Partnership with leading social media companies, businesses, leaders, and individuals from across the state"
"Risk communication","Educate and actively communicate with the public","Information campaign","Phone alert sent by the government"
"Risk communication","Educate and actively communicate with the public","Information campaign","Phone and media"
"Risk communication","Educate and actively communicate with the public","Information campaign","Posters at railway stations"
"Risk communication","Educate and actively communicate with the public","Information campaign","press release"
"Risk communication","Educate and actively communicate with the public","Information campaign","Press release"
"Risk communication","Educate and actively communicate with the public","Information campaign","Press Release"
"Risk communication","Educate and actively communicate with the public","Information campaign","Prevention spot"
"Risk communication","Educate and actively communicate with the public","Information campaign","Provide list of dentistic centers"
"Risk communication","Educate and actively communicate with the public","Information campaign","Provide list of medical centers and coordinates"
"Risk communication","Educate and actively communicate with the public","Information campaign","Public transport, billboards at stations, posters"
"Risk communication","Educate and actively communicate with the public","Information campaign","Radio and TV"
"Risk communication","Educate and actively communicate with the public","Information campaign","Recommendations on how to proceede if feeling sick, twitter"
"Risk communication","Educate and actively communicate with the public","Information campaign","Risk communication documents"
"Risk communication","Educate and actively communicate with the public","Information campaign","Smartphone push alerts, blog posts and regular briefings streamed live on YouTube"
"Risk communication","Educate and actively communicate with the public","Information campaign","SMS"
"Risk communication","Educate and actively communicate with the public","Information campaign","SMS to all Slovak citizens abroad"
"Risk communication","Educate and actively communicate with the public","Information campaign","Social media"
"Risk communication","Educate and actively communicate with the public","Information campaign","Spot in the national TV"
"Risk communication","Educate and actively communicate with the public","Information campaign","Through churches"
"Risk communication","Educate and actively communicate with the public","Information campaign","Throughout all channels"
"Risk communication","Educate and actively communicate with the public","Information campaign","TV"
"Risk communication","Educate and actively communicate with the public","Information campaign","TV, radio, social media"
"Risk communication","Educate and actively communicate with the public","Information campaign","Twitter"
"Risk communication","Educate and actively communicate with the public","Information campaign","Twitter: public briefings on State's response to covid-19"
"Risk communication","Educate and actively communicate with the public","Information campaign","Via SMS"
"Risk communication","Educate and actively communicate with the public","Promote health check if respiratory symptoms",""
"Risk communication","Educate and actively communicate with the public","Promote health check if respiratory symptoms","People who traveled to China or had contacts with travelers from China"
"Risk communication","Educate and actively communicate with the public","Promote health check if respiratory symptoms","People who traveled to Italy"
"Risk communication","Educate and actively communicate with the public","Promote health check if respiratory symptoms","Promote reporting symptoms"
"Risk communication","Educate and actively communicate with the public","Promote health check if respiratory symptoms","Seek medical attention promptly if you are feeling unwell."
"Risk communication","Educate and actively communicate with the public","Promote hygiene measures and social distancing",""
"Risk communication","Educate and actively communicate with the public","Promote hygiene measures and social distancing","Churches should remove the holy water from the pillars, avoid the gesture of shaking hands, not kiss religious images"
"Risk communication","Educate and actively communicate with the public","Promote hygiene measures and social distancing","Flyers, throw tissues after use in trash bin, updated campaign"
"Risk communication","Educate and actively communicate with the public","Promote hygiene measures and social distancing","In shops and supermarkets, posters. Advice on hygiene and appropriate behavior in the public space"
"Risk communication","Educate and actively communicate with the public","Promote hygiene measures and social distancing","Launch of ""SG Clean"" campaign throughout all sectors in Singapore"
"Risk communication","Educate and actively communicate with the public","Promote hygiene measures and social distancing","Press release to take part in SG Clean campaign"
"Risk communication","Educate and actively communicate with the public","Promote self-health check",""
"Risk communication","Educate and actively communicate with the public","Promote self-health check","Promote self-health check when returning from high risk areas"
"Risk communication","Educate and actively communicate with the public","Promote self-initiated isolation of people with mild respiratory symptoms",""
"Risk communication","Educate and actively communicate with the public","Promote self-initiated isolation of people with mild respiratory symptoms","Directed to healthcare professionals"
"Risk communication","Educate and actively communicate with the public","Promote self-initiated isolation of people with mild respiratory symptoms","flyers"
"Risk communication","Educate and actively communicate with the public","Promote self-initiated isolation of people with mild respiratory symptoms","People with symptoms"
"Risk communication","Educate and actively communicate with the public","Promote self-initiated isolation of people with mild respiratory symptoms","Symptomatic persons"
"Risk communication","Educate and actively communicate with the public","Promote self-initiated isolation of people with mild respiratory symptoms","Travelers returning from high risk areas"
"Risk communication","Educate and actively communicate with the public","Promote self-initiated isolation of people with mild respiratory symptoms","Urge ill workers to stay at home"
"Risk communication","Educate and actively communicate with the public","Promote social distancing measures",""
"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Avoid indoor close-contact"
"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Call to limit social contacts for a week in one city"
"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Discourage gathering"
"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Promote the 1.5m distance"
"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Promote the 1m distance"
"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Promote the 2m distance"
"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Recommendation for cashless operations"
"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Young people"
"Risk communication","Educate and actively communicate with the public","Promote telemedicine","Encourage medical consultation by phone"
"Risk communication","Educate and actively communicate with the public","Promote telemedicine","Self-screening and reporting of symptoms via an online tool"
"Risk communication","Educate and actively communicate with the public","Promote testing",""
"Risk communication","Educate and actively communicate with the public","Promote testing","Encourage medical consultation by phone"
"Risk communication","Educate and actively communicate with the public","Promote testing","Promote testing at home via mobile testing facilities"
"Risk communication","Educate and actively communicate with the public","Promote workplace safety measures",""
"Risk communication","Educate and actively communicate with the public","Promote workplace safety measures","Advise to waste collection staff"
"Risk communication","Educate and actively communicate with the public","Promote workplace safety measures","Encourage sick leave if any symptoms"
"Risk communication","Educate and actively communicate with the public","Promote workplace safety measures","Encourage workplace hygiene"
"Risk communication","Educate and actively communicate with the public","Promote workplace safety measures","For farmers employing foreign seasonal workers"
"Risk communication","Educate and actively communicate with the public","Promote workplace safety measures","Guidance for frontline service staff"
"Risk communication","Educate and actively communicate with the public","Promote workplace safety measures","Information campaign about Covid-19 prevention"
"Risk communication","Educate and actively communicate with the public","Promote workplace safety measures","Promote health check if respiratory symptoms"
"Risk communication","Educate and actively communicate with the public","Promote workplace safety measures","Recommendation for home office"
"Risk communication","Educate and actively communicate with the public","Raising awareness of children in schools",""
"Risk communication","Educate and actively communicate with the public","Raising awareness of children in schools","Conferences in school"
"Risk communication","Educate and actively communicate with the public","Raising awareness of children in schools","Partnership with community actors and the education sector"
"Risk communication","Educate and actively communicate with the public","Reassure on food security",""
"Risk communication","Educate and actively communicate with the public","Research of contacts","Call for all passenger that travelled in that bus, infected person was imported case - one bus passenger infected on a domestic journey"
"Risk communication","Educate and actively communicate with the public","Respiratory etiquette",""
"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for not touching eyes/nose/mouth"
"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for sneezing/coughing in the elbow"
"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice for correct use of face masks"
"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Cover you mouth when sneezing/coughing"
"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Do not touch eyes/nose/mouth"
"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Promote the use of face masks"
"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Promote the use of face masks in places where it is still necessary"
"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Recommendations for protecting the others, twitter"
"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Sneeze/cough in the elbow"
"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Special recommendations for certain workers"
"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Warning on the use of cloth masks"
"Risk communication","Educate and actively communicate with the public","Safety during sport practice",""
"Risk communication","Educate and actively communicate with the public","Statement on the country level alert","High"
"Risk communication","Educate and actively communicate with the public","Statement on the country level alert","Moderate"
"Risk communication","Educate and actively communicate with the public","Strengthen communication capacities","Increase communication workforce"
"Risk communication","Educate and actively communicate with the public","Strengthen communication capacities","Training of the communication actors"
"Risk communication","Educate and actively communicate with the public","Support to parent","Online resource"
"Risk communication","Educate and actively communicate with the public","Use of public transport","Arrange working time to avoid peak hours"
"Risk communication","Educate and actively communicate with the public","Use of public transport","Discourage use of public transport"
"Risk communication","Educate and actively communicate with the public","Use of public transport","Discourage use of public transport, price of city bike rental decreased"
"Risk communication","Educate and actively communicate with the public","Use of public transport","Encourage public hygiene in transports"
"Risk communication","Educate and actively communicate with the public","Use of public transport","Limit travel to essential journeys"
"Risk communication","Travel alert and warning","Travel alert","Raised for 3 countries:Spain, Germany and France"
"Risk communication","Travel alert and warning","Travel alert level 1",""
"Risk communication","Travel alert and warning","Travel alert level 1","China"
"Risk communication","Travel alert and warning","Travel alert level 1","Italy, Iran"
"Risk communication","Travel alert and warning","Travel alert level 1","South Korea"
"Risk communication","Travel alert and warning","Travel alert level 1","Thailand"
"Risk communication","Travel alert and warning","Travel alert level 2","All countries / regions with current infectious disease risk information level 1 excluding the countries included in (1) above Level 2"
"Risk communication","Travel alert and warning","Travel alert level 2","China (except Hubei province)"
"Risk communication","Travel alert and warning","Travel alert level 2","China except Hubei province"
"Risk communication","Travel alert and warning","Travel alert level 2","Daegu City and Cheongdo County (Korea)"
"Risk communication","Travel alert and warning","Travel alert level 2","Egypt "
"Risk communication","Travel alert and warning","Travel alert level 2","Guangdong Province"
"Risk communication","Travel alert and warning","Travel alert level 2","Iran"
"Risk communication","Travel alert and warning","Travel alert level 2","Japan"
"Risk communication","Travel alert and warning","Travel alert level 2","Singapore"
"Risk communication","Travel alert and warning","Travel alert level 2","South Korea"
"Risk communication","Travel alert and warning","Travel alert level 2","USA"
"Risk communication","Travel alert and warning","Travel alert level 2","Washington, New York, and California"
"Risk communication","Travel alert and warning","Travel alert level 2","Wenzhou city"
"Risk communication","Travel alert and warning","Travel alert level 2","World"
"Risk communication","Travel alert and warning","Travel alert level 2","Wuhan"
"Risk communication","Travel alert and warning","Travel alert level 2","Wuhan City (Hubei Province, China)"
"Risk communication","Travel alert and warning","Travel alert level 2","Zhejiang province"
"Risk communication","Travel alert and warning","Travel alert level 3","(Asia) Indonesia, Korea, Singapore, Thailand, Taiwan, China, Philippines, Brunei, Vietnam, Malaysia (Pacific) Australia, New Zealand (North America) Canada, United States (Latin America) Ecuador, Dominica, Chile, Panama, Brazil , Bolivia (Europe) Albania, Armenia, United Kingdom, Northern Macedonia, Cyprus, Greece, Croatia, Kosovo, Slovakia, Serbia, Czech Republic, Hungary, Finland, Bulgaria, Poland, Bosnia and Herzegovina, Moldova, Montenegro, Latvia, Lithuania, Romania ( Middle East) Israel, Egypt, Turkey, Bahrain (Africa) Cote d'Ivoire, Democratic Republic of Congo, Mauritius, Morocco"
"Risk communication","Travel alert and warning","Travel alert level 3","China (except Hong Kong and Macau)"
"Risk communication","Travel alert and warning","Travel alert level 3","Hong Kong and Macau"
"Risk communication","Travel alert and warning","Travel alert level 3","Hubei Province"
"Risk communication","Travel alert and warning","Travel alert level 3","Hubei Province (China)"
"Risk communication","Travel alert and warning","Travel alert level 3","Iran"
"Risk communication","Travel alert and warning","Travel alert level 3","Italy"
"Risk communication","Travel alert and warning","Travel alert level 3","South Korea"
"Risk communication","Travel alert and warning","Travel alert level 3","Wenzhou (Zhejiang Province, China)"
"Risk communication","Travel alert and warning","Travel alert level 3","Wuhan"
"Risk communication","Travel alert and warning","Travel alert level 4","All countries in the world"
"Risk communication","Travel alert and warning","Travel alert level 4","World"
"Risk communication","Travel alert and warning","Travel alert level 5","21 states"
"Risk communication","Travel alert and warning","Travel alert level 5","Lombardy and the municipality of Vo Euganeo in Veneto / Italy"
"Risk communication","Travel alert and warning","Travel alert level 6","29 states"
"Risk communication","Travel alert and warning","Travel alert level 6","Iran, South Korea"
"Risk communication","Travel alert and warning","Travel alert level 6","Italy (whole)"
"Risk communication","Travel alert and warning","Warning against travel to and return from high risk areas",""
"Risk communication","Travel alert and warning","Warning against travel to and return from high risk areas","Advice against all travels"
