"";"id";"Country";"iso3";"Region";"Date";"Measure_L1";"Measure_L2";"Measure_L3";"Measure_L4";"Comment";"Source"
"1322";1322;"India";"IND";"Tamil Nadu";"15/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"";"https://www.business-standard.com/article/current-affairs/coronavirus-tamil-nadu-closes-schools-malls-and-theatres-till-march-31-120031500446_1.html"
"1323";1323;"India";"IND";"Tamil Nadu";"15/03/2020";"Social distancing";"Mass gathering cancellation";"Indoor activities";"Gyms";"";"https://www.business-standard.com/article/current-affairs/coronavirus-tamil-nadu-closes-schools-malls-and-theatres-till-march-31-120031500446_1.html"
"1324";1324;"India";"IND";"Tamil Nadu";"15/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"Cinemas";"";"https://www.business-standard.com/article/current-affairs/coronavirus-tamil-nadu-closes-schools-malls-and-theatres-till-march-31-120031500446_1.html"
"1325";1325;"India";"IND";"Telangana";"15/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"";"https://www.livemint.com/news/india/coronavirus-schools-colleges-malls-movie-theatres-to-be-closed-in-telangana-until-31-march-11584186142495.html"
"1326";1326;"India";"IND";"Telangana";"15/03/2020";"Social distancing";"Mass gathering cancellation";"Indoor activities";"Gyms";"";"https://www.livemint.com/news/india/coronavirus-schools-colleges-malls-movie-theatres-to-be-closed-in-telangana-until-31-march-11584186142495.html"
"1327";1327;"India";"IND";"Telangana";"15/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"Cinemas";"";"https://www.livemint.com/news/india/coronavirus-schools-colleges-malls-movie-theatres-to-be-closed-in-telangana-until-31-march-11584186142495.html"
"1328";1328;"India";"IND";"India";"15/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"Museums";"";"https://www.livemint.com/news/india/coronavirus-schools-colleges-malls-movie-theatres-to-be-closed-in-telangana-until-31-march-11584186142495.html"
"1329";1329;"India";"IND";"India";"15/03/2020";"Healthcare and public health capacity";"Activate emergency response mechanisms";"Revised Guidelines/Strategy for COVID-19 testing by Indian Council of Medical Research (ICMR)";"";"";"https://www.mohfw.gov.in/pdf/ICMRrevisedtestingstrategyforCOVID.pdf"
"1330";1330;"India";"IND";"India";"15/03/2020";"Travel restriction";"Border restriction";"Borders closed to all non-citizens";"Restrictions on International passenger traffic through Land Check Posts";"";"https://www.mohfw.gov.in/pdf/NewinstructionsDt14032020Restirctiononinternationalpassengertraffic.pdf"
"1331";1331;"India";"IND";"India";"15/03/2020";"Healthcare and public health capacity";"Precautions for handling and disposal of dead bodies";"Guidelines on dead body management";"";"";"https://www.mohfw.gov.in/pdf/1584423700568_COVID19GuidelinesonDeadbodymanagement.pdf"
"1332";1332;"India";"IND";"India";"15/03/2020";"Healthcare and public health capacity";"Precautions for handling and disposal of dead bodies";"";"";"";"https://ncdc.gov.in/WriteReadData/l892s/35773685681584430377.pdf"
"1333";1333;"India";"IND";"India";"15/03/2020";"Case identification, contact tracing and related measures";"Surveillance";"Implement community-based surveillance";"";"testing random samples of people who exhibit flu-like symptoms and samples from patients without any travel history or contact with infected persons";"https://indianexpress.com/article/india/icmr-to-test-for-community-transmission-of-covid-19-6313521/ --- https://economictimes.indiatimes.com/news/politics-and-nation/will-know-if-indias-going-through-community-transmission-icmr/articleshow/74663239.cms"
"1334";1334;"India";"IND";"India";"16/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"Museums, cultural and social centres, theatres";"till 31 March";"https://www.outlookindia.com/newsscroll/all-asiprotected-monuments-central-museums-across-india-to-be-shut-till-march-31-govt/1763377"
"1335";1335;"India";"IND";"India";"16/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"All";"";"https://www.mohfw.gov.in/pdf/SocialDistancingAdvisorybyMOHFW.pdf"
"1336";1336;"India";"IND";"India";"16/03/2020";"Risk communication";"Educate and actively communicate with the public";"Encourage private sector organizations/employers to allow employees to work from home wherever feasible.";"";"";"https://www.mohfw.gov.in/pdf/SocialDistancingAdvisorybyMOHFW.pdf"
"1337";1337;"India";"IND";"India";"16/03/2020";"Social distancing";"Mass gathering cancellation";"Conferences, meetings, trade fairs, etc.";"";"Meetings, as far as feasible, shall be done through video conferences";"https://www.mohfw.gov.in/pdf/SocialDistancingAdvisorybyMOHFW.pdf"
"1338";1338;"India";"IND";"India";"16/03/2020";"Social distancing";"Mass gathering cancellation";"Festivals, faith-based events";"";"Keep already planned weddings to a limited gathering, postpone all non-essential social and cultural gatherings.";"https://www.mohfw.gov.in/index.html"
"1339";1339;"India";"IND";"India";"16/03/2020";"Social distancing";"Mass gathering cancellation";"Sport events";"";"Local authorities to have a dialogue with organizers of sporting events and competitions involving large gatherings and they may be advised to postpone such events.";"https://www.mohfw.gov.in/index.html"
"1340";1340;"India";"IND";"India";"16/03/2020";"Social distancing";"Mass gathering cancellation";"Place of worship";"";"Local authorities to have a dialogue with opinion leaders and religious leaders to regulate mass gatherings and should ensure no overcrowding/at least one metre distance between people.";"https://www.mohfw.gov.in/index.html"
"1341";1341;"India";"IND";"India";"16/03/2020";"Risk communication";"Educate and actively communicate with the public";"Promote hand hygiene";"Restaurants";"Restaurants to ensure handwashing protocol and proper cleanliness of frequently touched surfaces.";"https://www.mohfw.gov.in/index.html"
"1342";1342;"India";"IND";"India";"16/03/2020";"Risk communication";"Educate and actively communicate with the public";"Promote the 1m distance";"All commercial activities must keep a distance of one meter between customers.";"";"https://www.mohfw.gov.in/index.html"
"1343";1343;"India";"IND";"Uttar Pradesh";"17/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"Cinemas";"till 2 April";"https://www.indiatvnews.com/news/india/schools-colleges-cinema-halls-in-uttar-pradesh-closed-till-april-2-amid-coronavirus-pandemic-598922"
"1344";1344;"India";"IND";"Uttar Pradesh";"17/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"till 2 April";"https://www.indiatvnews.com/news/india/schools-colleges-cinema-halls-in-uttar-pradesh-closed-till-april-2-amid-coronavirus-pandemic-598922"
"1345";1345;"India";"IND";"India";"17/03/2020";"Risk communication";"Actively communicate with healthcare professionals";"Sensitization of hospital, medico-social and liberal health professionals";"Guidelines on Clinical Management of COVID-19";"";"https://www.mohfw.gov.in/index.html"
"1346";1346;"India";"IND";"Rajasthan";"17/03/2020";"Social distancing";"Mass gathering cancellation";"Limit up to 50 persons";"Public places";"";"https://www.financialexpress.com/india-news/coronavirus-outbreak-rajasthan-bans-all-50-plus-gathering-in-public-places-till-march-31-says-official/1900701/"
"1347";1347;"India";"IND";"India";"17/03/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from high risk areas other than China";"Travel of passengers from Afghanistan, Philippines, Malaysia to India is prohibited with immediate effect. No flight shall take off from these countries to India.";"";"https://www.mohfw.gov.in/pdf/TravelAdvisory17thMarch.pdf"
"1348";1348;"India";"IND";"Sikkim";"17/03/2020";"Travel restriction";"Cordon sanitaire";"ONe state";"";"Sikkim quarantines itself, seals borders, bans entry of outsiders as coronavirus fear spikes";"https://www.hindustantimes.com/india-news/sikkim-quarantines-itself-seals-borders-bans-entry-of-outsiders-as-coronavirus-fear-spikes/story-ClukHlUjLbfov83kTlWD3I.html"
"1349";1349;"India";"IND";"Tamil Nadu";"17/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"Touristic destinations shut down";"";"https://www.outlookindia.com/newsscroll/coronavirus-tourist-centres-in-tn-under-lockdown-visitors-in/1768933"
"1350";1350;"India";"IND";"Nilgiris district";"17/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"Touristic sites closed + tourists staying in hotels and resorts were given 24 hours to leave the city";"";"https://www.outlookindia.com/newsscroll/coronavirus-tourist-centres-in-tn-under-lockdown-visitors-in/1768933"
"1351";1351;"India";"IND";"Chandigarh";"17/03/2020";"Social distancing";"Mass gathering cancellation";"Indoor activities";"gyms, swimming pools, coaching centres, spas,  and video game parlours";"till 31 March";"https://www.hindustantimes.com/cities/malls-clubs-discotheques-and-gyms-closed-in-chandigarh-till-march-31-to-check-coronavirus-spread/story-SlWceuV22oQXG5RKxODz4M.html"
"1352";1352;"India";"IND";"Chandigarh";"17/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"Cinemas";"till 31 March";"https://www.hindustantimes.com/cities/malls-clubs-discotheques-and-gyms-closed-in-chandigarh-till-march-31-to-check-coronavirus-spread/story-SlWceuV22oQXG5RKxODz4M.html"
"1353";1353;"India";"IND";"Chandigarh";"17/03/2020";"Social distancing";"Small gathering cancellation";"Closure of non-essential shops";"";"till 31 March";"https://www.hindustantimes.com/cities/malls-clubs-discotheques-and-gyms-closed-in-chandigarh-till-march-31-to-check-coronavirus-spread/story-SlWceuV22oQXG5RKxODz4M.html"
"1354";1354;"India";"IND";"Chandigarh";"17/03/2020";"Social distancing";"Mass gathering cancellation";"Limit up to 100 persons";"";"till 31 March";"https://www.hindustantimes.com/cities/malls-clubs-discotheques-and-gyms-closed-in-chandigarh-till-march-31-to-check-coronavirus-spread/story-SlWceuV22oQXG5RKxODz4M.html"
"1355";1355;"India";"IND";"Maharashtra";"17/03/2020";"Social distancing";"Small gathering cancellation";"Closure of non-essential working places";"government offices-";"7 days";"https://www.indiatvnews.com/news/india/coronavirus-uddhav-thackeray-maharashtra-government-offices-shut-7-days-598998"
"1356";1356;"India";"IND";"Dera";"17/03/2020";"Social distancing";"Mass gathering cancellation";"Place of worship";"";"";"https://www.business-standard.com/multimedia/video-gallery/general/punjab-malls-gyms-restaurants-deserted-after-advisory-on-coronavirus-101227.htm --- https://www.outlookindia.com/newsscroll/punjab-deputy-commissioners-told-not-to-grant-permission-for-mass-gatherings/1760757"
"1357";1357;"India";"IND";"Pondicherry";"17/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"";"https://timesofindia.indiatimes.com/india/coronavirus-live-updates-number-of-coronavirus-cases-in-india-mumbai-hyderabad-kerala-pune-delhi/liveblog/74664459.cms"
"1358";1358;"India";"IND";"Pondicherry";"17/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"Cinemas";"";"https://timesofindia.indiatimes.com/india/coronavirus-live-updates-number-of-coronavirus-cases-in-india-mumbai-hyderabad-kerala-pune-delhi/liveblog/74664459.cms"
"1359";1359;"India";"IND";"India";"17/03/2020";"Healthcare and public health capacity";"Enhance laboratory testing";"Increase testing capacity (number tests)";"Private labs can do the test";"";"https://timesofindia.indiatimes.com/india/accredited-private-labs-to-be-allowed-to-test-for-covid-19/articleshow/74664414.cms"
"1360";1360;"India";"IND";"India";"18/03/2020";"Healthcare and public health capacity";"Enhance laboratory testing";"Increase testing capacity (number tests)";"Private labs can do the test";"Swiss private company named Roche Diagnostics has been given the Food and Drug Administration (FDA) emergency approval to conduct tests for coronavirus";"https://www.indiatoday.in/amp/india/story/roche-diagnostics-india-first-private-firm-to-get-covid-19-test-approval-1656965-2020-03-18"
"1361";1361;"India";"IND";"India";"21/03/2020";"Healthcare and public health capacity";"Enhance laboratory testing";"Increase testing capacity (number tests)";"";"111 labs for testing coronavirus will be functional across India from today: Health Ministry";"https://www.indiatoday.in/india/story/111-labs-for-testing-coronavirus-will-be-functional-across-india-from-today-health-ministry-1658235-2020-03-21"
"1362";1362;"India";"IND";"India";"24/03/2020";"Healthcare and public health capacity";"Enhance laboratory testing";"Decrease time between test and result";"";"Mylab's kit screens and detects infection within 2.5 hours.";"https://www.businessinsider.in/india/news/india-can-double-coronavirus-test-kits-to-200000-in-a-week-thanks-to-pune-based-mylabs/articleshow/74787231.cms"
"1363";1363;"India";"IND";"Kashmir";"18/03/2020";"Travel restriction";"Border restriction";"Borders closed to all non-citizens";"All foreign tourists";"Coronavirus: Foreign tourists' entry banned in Kashmir";"https://www.aninews.in/news/national/general-news/coronavirus-foreign-tourists-entry-banned-in-kashmir20200318043955/"
"1364";1364;"India";"IND";"India";"18/03/2020";"Case identification, contact tracing and related measures";"Quarantine";"All incomings from high-risk areas";"Expanding compulsory quarantine for a minimum period of 14 days for passengers coming from/transiting through UAE, Qatar, Oman, and Kuwait.";"";"https://www.mohfw.gov.in/pdf/TravelAdvisory16thMarch.pdf"
"1365";1365;"India";"IND";"India";"18/03/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from high risk areas other than China";"Travel of passengers from member countries of the European Union, the European Free Trade Association, Turkey and United Kingdom to India is prohibited with effect from 18th March 2020. No airline shall board a passenger from these nations to India";"https://www.aninews.in/news/national/general-news/coronavirus-foreign-tourists-entry-banned-in-kashmir20200318043955/";"https://www.mohfw.gov.in/pdf/TravelAdvisory16thMarch.pdf"
"1366";1366;"India";"IND";"India";"18/03/2020";"Case identification, contact tracing and related measures";"Airport health check";"Check for symptoms";"Standard Operating Procedure for Passenger Movement post Disembarkation is announced";"";"https://www.mohfw.gov.in/pdf/TravelAdvisory16thMarch.pdf"
"1367";1367;"India";"IND";"Andhra Pradesh";"18/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"All";"The Andhra Pradesh government on Wednesday decided to close  all the educational institutions from today.";"https://timesofindia.indiatimes.com/home/education/news/andhra-pradesh-educational-institutions-remain-closed-till-march-31-due-to-coronavirus/articleshow/74694735.cms"
"1368";1368;"India";"IND";"Himachal Pradesh";"19/03/2020";"Travel restriction";"Border restriction";"Borders closed to all non-citizens";"";"Himachal bans entry of domestic, foreign tourists amid coronavirus threat";"https://www.tribuneindia.com/news/himachal/himachal-bans-entry-of-domestic-foreign-tourists-amid-coronavirus-threat-58038"
"1369";1369;"India";"IND";"Uttarakhand";"20/03/2020";"Travel restriction";"Border restriction";"Borders closed to all non-citizens";"";"";"https://www.thehindu.com/news/national/other-states/coronavirus-uttarakhand-bans-entry-of-domestic-and-foreign-tourists/article31119270.ece"
"1370";1370;"India";"IND";"Punjab";"20/03/2020";"Travel restriction";"Stop public transports";"";"";"";"https://www.indiatvnews.com/news/india/coronavirus-punjab-to-ban-public-transport-from-march-21-599607"
"1371";1371;"India";"IND";"India";"20/03/2020";"Healthcare and public health capacity";"Increase patient capacity";"Postponement of non-essential care and non-urgent operations in hospitals";"";"";"https://www.mohfw.gov.in/index.html"
"1372";1372;"India";"IND";"India";"20/03/2020";"Healthcare and public health capacity";"Increase isolation and quarantine facilities";"";"";"";"https://www.mohfw.gov.in/index.html"
"1373";1373;"India";"IND";"India";"20/03/2020";"Healthcare and public health capacity";"Increase healthcare workforce";"Mobilization of domestic resources for health";"All doctors, nurses and support staff in different specialities, including pre and para clinical departments, should be mobilized";"";"https://www.mohfw.gov.in/index.html"
"1374";1374;"India";"IND";"India";"20/03/2020";"Risk communication";"Actively communicate with healthcare professionals";"Mobilization of equipments";"All hospitals should mobilize additional resources including masks, gloves and personal protection equipment. Hospitals must procure sufficient numbers of ventilators and high flow oxygen masks ";"";"https://www.mohfw.gov.in/index.html"
"1375";1375;"India";"IND";"India";"20/03/2020";"Case identification, contact tracing and related measures";"Specific health channel for travellers";"For international cruise/merchandise boat personal";"the flow of goods by sea should not be needlessly disrupted without compromising the safety of life and protection of the environment.";"The master of a vessel, before arrival at its first port of call in India, shall ascertain the state of health of each person on board the vessel. In case of any suspected person on board the vessel, the master shall ensure that the suspected person is isolated in the ship-s hospital, or other suitable location on the vessel";"https://www.mohfw.gov.in/pdf/DGSOrder04of2020.pdf"
"1376";1376;"India";"IND";"India";"20/03/2020";"Resource allocation";"Crisis management plans";"Implement repurpose government plans";"COVID-19 Economic Response Task Force";"PM Modi announced the creation of COVID-19 Economic Response Task Force under the Union Finance Minister Nirmala Sitharaman. The Task Force will consult stakeholders, take feedback, on the basis of which decisions will be taken to meet the challenges. It will also ensure the implementation of the decisions taken.";"http://ddnews.gov.in/national/covid-19-task-force-deal-economic-challenges"
"1377";1377;"India";"IND";"India";"20/03/2020";"Case identification, contact tracing and related measures";"Enhance detection system";"Research and test of suspected cases";"Include more people for tests";"the government decided to also include all pneumonia cases, regardless of travel or contact history after the country saw a sharp increase in the number of cases";"https://indianexpress.com/article/coronavirus/covid-19-india-test-coronavirus-pneumonia-6324733/"
"1378";1378;"India";"IND";"India";"21/03/2020";"Risk communication";"Educate and actively communicate with the public";"WhatsApp bot";"To ensure you receive accurate and verified information on Coronavirus.";"";"https://techcrunch.com/2020/03/21/india-whatsapp-mygov-corona-helpdesk-bot/"
"1379";1379;"India";"IND";"India";"22/03/2020";"Healthcare and public health capacity";"Repurpose hospitals";"Hospitals prepared to treat";"Mock Drill on 22nd March 2020 for Hospital Preparedness";"";"https://www.mohfw.gov.in/index.html"
"1380";1380;"India";"IND";"India";"22/03/2020";"Travel restriction";"Airports closing for all international flights";"";"No scheduled international commercial passenger aircraft shall take off from any foreign airport for any airport in India, after 0001 hrs GMT of March 22, 2020. As such, no incoming scheduled international commercial passenger aircraft shall be allowed to disembark its passengers *on Indian soil*";"";"https://www.mohfw.gov.in/pdf/Traveladvisory.pdf"
"1381";1381;"India";"IND";"India";"22/03/2020";"Risk communication";"Educate and actively communicate with the public";"Encourage curfew";"A 14-hour voluntary public curfew";"";"https://www.bbc.com/news/world-asia-india-51992364"
"1382";1382;"India";"IND";"75 disctricts";"22/03/2020";"Travel restriction";"Cordon sanitaire";"75 disctricts";"";"Residents living in 75 districts across the country, including in major cities such as the capital New Delhi, Mumbai, Bangalore, Chennai, Hyderabad, and Kolkata have been placed under travel, work and movement restrictions until March 31.";"https://edition.cnn.com/2020/03/23/asia/coronavirus-covid-19-update-india-intl-hnk/index.html"
"1383";1383;"India";"IND";"82 districts in 22 states and Union Territories";"23/03/2020";"Travel restriction";"Cordon sanitaire";"82 districts in 22 states and Union Territories";"";"The 82 districts, where Covid-19 cases have been reported, are under complete lockdown. The Union Home Ministry said these 82 districts in 22 states and Union Territories are places from where Covid-19 cases have been under reported and are under complete lockdown,";"https://www.hindustantimes.com/india-news/82-districts-under-lockdown-over-covid-19-what-s-open-and-what-is-shut/story-c1AEMZXuuXN6FvmrAdRvsJ.html"
"1384";1384;"India";"IND";"Maharashtra";"23/03/2020";"Travel restriction";"Cordon sanitaire";"One region";"Maharashtra";"";"https://economictimes.indiatimes.com/news/politics-and-nation/uddhav-thackeray-imposes-curfew-in-entire-maharashtra/articleshow/74775886.cms?from=mdr"
"1385";1385;"India";"IND";"Maharashtra";"23/03/2020";"Travel restriction";"Individual movement restrictions";"Curfew";"";"";"https://economictimes.indiatimes.com/news/politics-and-nation/uddhav-thackeray-imposes-curfew-in-entire-maharashtra/articleshow/74775886.cms?from=mdr"
"1386";1386;"India";"IND";"India";"23/03/2020";"Risk communication";"Actively communicate with healthcare professionals";"Advisory on the use of Hydroxy-chloroquin as prophylaxis for SARS-CoV-2 infection";"";"";"https://www.mohfw.gov.in/pdf/AdvisoryontheuseofHydroxychloroquinasprophylaxisforSARSCoV2infection.pdf"
"1387";1387;"India";"IND";"India";"24/03/2020";"Risk communication";"Actively communicate with healthcare professionals";"Guidelines";"Rational use of Personal Protective Equipment";"";"https://www.mohfw.gov.in/pdf/GuidelinesonrationaluseofPersonalProtectiveEquipment.pdf"
"1388";1388;"India";"IND";"India";"25/03/2020";"Travel restriction";"National lockdown";"for 21 days";"";"";"https://www.mohfw.gov.in/pdf/DOletter_secretary.pdf"
"1389";1389;"India";"IND";"India";"25/03/2020";"Risk communication";"Actively communicate with healthcare professionals";"Role of Frontline Workers in Prevention and Management of CORONA VIRUS";"";"";"https://www.mohfw.gov.in/"
"1390";1390;"India";"IND";"India";"25/03/2020";"Healthcare and public health capacity";"Increase healthcare workforce";"Train medical staff specially for covid-19";"Telemedicine Practice Guidelines";"";"https://www.mohfw.gov.in/"
"1391";1391;"India";"IND";"India";"26/03/2020";"Resource allocation";"Crisis management plans";"Develop all-of-society and business continuity plans";"Healthcare professionals";"Insurance cover of Rs 50 Lakh per health worker fighting COVID-19";"https://www.mohfw.gov.in/pdf/MoFPMGaribKalyanYojanaPackage.pdf"
"1392";1392;"India";"IND";"India";"26/03/2020";"Resource allocation";"The government provides food assistance";"";"";"80 crore poor people will to get 5 kg wheat or rice and 1 kg of preferred pulses for free every month for the next three months";"https://www.mohfw.gov.in/pdf/MoFPMGaribKalyanYojanaPackage.pdf"
"1393";1393;"India";"IND";"India";"26/03/2020";"Resource allocation";"Crisis management plans";"Develop all-of-society and business continuity plans";"Vulnerable people";"20 crore women Jan Dhan account holders to get Rs 500 per month for next three months, Increase in MNREGA wage to Rs 202 a day from Rs 182 to benefit 13.62 crore families, An ex-gratia of Rs 1,000 to 3 crore poor senior citizen, poor widows and poor disabled";"https://www.mohfw.gov.in/pdf/MoFPMGaribKalyanYojanaPackage.pdf"
"1394";1394;"India";"IND";"India";"26/03/2020";"Resource allocation";"Crisis management plans";"Develop all-of-society and business continuity plans";"Farmers";"Government to front-load Rs 2,000 paid to farmers in first week of April under existing PM Kisan Yojana to benefit 8.7 crore farmers";"https://www.mohfw.gov.in/pdf/MoFPMGaribKalyanYojanaPackage.pdf"
"1395";1395;"India";"IND";"India";"26/03/2020";"Resource allocation";"Crisis management plans";"Develop all-of-society and business continuity plans";"Building and Construction Workers";"Central Government has given orders to State Governments to use Building and Construction Workers Welfare Fund to provide relief to Construction Workers";"https://www.mohfw.gov.in/pdf/MoFPMGaribKalyanYojanaPackage.pdf"
"1396";1396;"India";"IND";"India";"26/03/2020";"Risk communication";"Educate and actively communicate with the public";"Hydroxychloroquine now a schedule H1 drug, can be sold on prescription only";"";"";"https://www.mohfw.gov.in/pdf/218927g.pdf"
"1397";1397;"India";"IND";"Assam";"26/03/2020";"Case identification, contact tracing and related measures";"Quarantine";"Additional quarantine facilities";"Sarusajai stadium and Nehru Stadium in Guwahati";"";"https://www.sentinelassam.com/top-headlines/sarusajai-stadium-and-nehru-stadium-in-guwahati-to-be-converted-into-quarantine-centres/"
"1398";1398;"India";"IND";"Tamil Nadu";"27/03/2020";"Healthcare and public health capacity";"Increase healthcare workforce";"Mobilization of domestic resources for health";"";"Tamil Nadu recruits 530 doctors, 1508 lab technicians, 1000 nurses to contain coronavirus COVID-19 outbreak: CM K Palaniswami";"https://zeenews.india.com/india/tamil-nadu-recruits-530-doctors-1508-lab-technicians-1000-nurses-to-contain-coronavirus-covid-19-outbreak-cm-k-palaniswami-2272083.html"
"1399";1399;"India";"IND";"Tamil Nadu";"27/03/2020";"Healthcare and public health capacity";"Increase in medical supplies and equipment";"Ambulances";"";"";"https://zeenews.india.com/india/tamil-nadu-recruits-530-doctors-1508-lab-technicians-1000-nurses-to-contain-coronavirus-covid-19-outbreak-cm-k-palaniswami-2272083.html"
"1400";1400;"India";"IND";"India";"16/03/2020";"Risk communication";"Educate and actively communicate with the public";"Answer to questions";"Telephone hotlines covid-19";"The previous helpline number, 011-239 78046, will also remain operational, the ministry officials said. Besides the toll-free numbers,the ministry also issued a helpline email ID ncov2019@gmail.com.";"https://economictimes.indiatimes.com/news/politics-and-nation/health-ministry-launches-new-toll-free-number-email-id-for-queries-on-covid-19/articleshow/74661190.cms?from=mdr"
"1401";1401;"India";"IND";"India";"28/03/2020";"Risk communication";"Actively communicate with healthcare professionals";"Sensitization of hospital, medico-social and liberal health professionals";"COVID-19 Health Service Providers Toolkit";"date uncertain";"https://www.mohfw.gov.in/pdf/FacilitatorGuideCOVID19_27%20March.pdf"
"1402";1402;"Indonesia";"IDN";"East Java";"20/03/2020";"Healthcare and public health capacity";"Enhance emergency response mechanisms";"Declare emergency state";"State of emergency declared";"Java Governor Khofifah Indar Parawansa established the emergency status of a disease caused by corona virus in East Java. ""The state of emergency is imposed until an unspecified deadline,"" he told reporters at the Grahadi State Building in Surabaya, Friday (3/20/2020). ";"https://regional.kompas.com/read/2020/03/20/18240621/9-orang-positif-covid-19-khofifah-tetapkan-jatim-darurat-virus-corona"
"1403";1403;"Indonesia";"IDN";"Indonesia";"17/03/2020";"Healthcare and public health capacity";"Enhance emergency response mechanisms";"Declare emergency state";"Emergency period for 91 days.";"Decree of the Head of the National Agency for Disaster Management  Number A Year 2020 Regarding the Determination of the Status of Certain Conditions for Disaster Outbreaks of Diseases Caused by Corona Virus in Indonesia Head of the National Disaster Management Agency,";"https://bnpb.go.id/berita/keputusan-kepala-badan-nasional-penanggulangan-bencana-nomor-9a-tahun-2020"
"1404";1404;"Indonesia";"IDN";"Jakarta";"20/03/2020";"Healthcare and public health capacity";"Enhance emergency response mechanisms";"";"";"DKI Jakarta Governor Anies Baswedan said the spread of the Corona virus was rapid. Anies has now set the status of disaster response in Jakarta.";"https://news.detik.com/berita/d-4947518/corona-ancam-jakarta-anies-tetapkan-status-tanggap-darurat-bencana"
"1405";1405;"Indonesia";"IDN";"Indonesia";"05/02/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from China";"";""" direct flights to and from China have been temporarily suspended starting Wednesday at 00.00.""";"https://kemlu.go.id/portal/id/read/1128/siaran_pers/pernyataan-pers-kemlu-tentang-update-pemulangan-wni-dari-wuhan-serta-kebijakan-pemri-mengenai-pendatangtraveler-dari-rrt"
"1406";1406;"Indonesia";"IDN";"Indonesia";"08/03/2020";"Travel restriction";"Border restriction";"Borders closed for people from high-risk areas other than China";"South Korea";"""From 8 March, Indonesia also introduced restrictions on all travellers who have visited South Korea within the last 14 days.""";"https://www.gov.uk/foreign-travel-advice/indonesia/health#coronavirus"
"1407";1407;"Indonesia";"IDN";"Indonesia";"20/03/2020";"Travel restriction";"Border restriction";"Borders closed for people from high-risk areas other than China";"UK, Iran, Italy, the Vatican, Spain, France, Germany and Switzerland";"""Those who have visited the UK, Iran, Italy, the Vatican, Spain, France, Germany and Switzerland in the last 14 days will not be allowed to enter into or transit through Indonesia.""";"https://www.gov.uk/foreign-travel-advice/indonesia/health#coronavirus"
"1408";1408;"Indonesia";"IDN";"Indonesia";"02/03/2020";"Risk communication";"Educate and actively communicate with the public";"Activate communication to the public";"Televised statement";"""President Joko Widodo confirmed the first two cases of COVID-19 in the country in a televised statement.""";"https://www.straitstimes.com/asia/se-asia/indonesia-confirms-two-coronavirus-cases-president"
"1409";1409;"Indonesia";"IDN";"Indonesia";"17/03/2020";"Risk communication";"Educate and actively communicate with the public";"Warning against travel to and return from risk areas";"Advise to Indonesian nationals to return home";"""For Indonesian citizens currently travelling abroad, it is advised to return to Indonesia at the earliest possible time to avoid further travel disruptions.""";"http://indonesianembassy.org.uk/en/2020/03/17/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response/"
"1410";1410;"Indonesia";"IDN";"Indonesia";"17/03/2020";"Risk communication";"Educate and actively communicate with the public";"Warning against travel to and return from risk areas";"Advise to restrict all non-essential travel";"""Given the increasing number of countries affected by COVID-19, the Government advises all Indonesian citizens to restrict non-essential outbound travels.""";"http://indonesianembassy.org.uk/en/2020/03/17/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response/"
"1411";1411;"Indonesia";"IDN";"Indonesia";"19/03/2020";"Healthcare and public health capacity";"Increase availability of PPE";"Face masks and hand sanitizer";"Ban export";"Indonesia banned exports of masks, sanitizers and some medical equipment to shore up domestic supplies amid a surge in new cases of coronavirus infection.";"https://www.bloomberg.com/news/articles/2020-03-18/indonesia-bans-sanitizer-face-mask-exports-to-tackle-shortage"
"1412";1412;"Indonesia";"IDN";"Indonesia";"23/03/2020";"Healthcare and public health capacity";"Increase patient capacity";"Emergency hospitals";"COVID-19 emergency hospital in Jakarta";"President Joko “Jokowi” Widodo inspected on Monday a new emergency hospital that the government has converted from the four apartment towers of the Kemayoran Athletes Village in Central Jakarta to handle COVID-19 patients.";"https://www.thejakartapost.com/news/2020/03/23/jakartas-emergency-hospital-for-covid-19-open-for-business.html"
