Country,iso3c,Region,Date,Measure_L1,Measure_L2,Measure_L3,Measure_L4,Comment,Source
Romania,ROU,Romania,05/03/2020,Social distancing,Measures for special populations,More exposed professionals (not healthcare),Provide PPE,PPE for post worker that deliver post to people in home quarantine,https://www.digi24.ro/stiri/actualitate/seful-postei-le-a-cerut-postasilor-sa-nu-mai-duca-pensiile-si-alocatiile-suspectilor-de-coronavirus-ministru-postasii-sa-poarte-masca-1270846
Romania,ROU,Romania,13/03/2020,Social distancing,Measures for special populations,More exposed professionals (not healthcare),protocol for management of deaths/body and conditions for relatives of the deceased,,https://www.cnscbt.ro/index.php/legislatie_cov/1523-protocolul-specific-privind-managementul-in-caz-de-deces-al-pacientilor-infectati-cu-noul-coronavirus-sars-cov2-din-13032020/file
Romania,ROU,Romania,23/03/2020,Social distancing,Measures for special populations,More exposed professionals (not healthcare),closing of dentisty practices exception dental emergencies,military ordinance,https://stirioficiale.ro/hotarari/ordonanta-militara-nr-2-din-21-03-2020-privind-masuri-de-prevenire-a-raspandirii-covid-19
Romania,ROU,Romania,24/02/2020,Social distancing,Measures for special populations,Prisons,,,https://www.agerpres.ro/justitie/2020/03/07/administratia-nationala-a-penitenciarelor-a-impus-o-serie-de-masuri-in-contextul-noului-coronavirus--461548
Romania,ROU,Romania,09/03/2020,Travel restriction,Partial cancellation of international flights,High risk areas,,"only romanian citizens are permited boarding planes from Italy, China, Iran, South Korea with stopover to Romania",
Romania,ROU,Romania,09/03/2020,Travel restriction,Partial cancellation of international flights,Passenger Flights Italy-Romania suspended,,,https://www.mai.gov.ro/informare-covid-19-grupul-de-comunicare-strategica-9-martie-ora-16-00/
Romania,ROU,Romania,08/03/2020,Travel restriction,Partial cancellation of international flights,"Suspended Wizz Air Route Cluj-Bergamo, Cluj-Treviso",,,
Romania,ROU,Romania,18/03/2020,Travel restriction,Partial cancellation of international flights,,,"several airlines suspend flight, and more announce to do so soon",
Romania,ROU,Romania,09/03/2020,"Case identification, contact tracing and related measures",Quarantine,People who travelled to China or high-risk areas,"Italy,  China, Iran, South Korea",,https://romania.europalibera.org/a/românia-î?i-închide-por?ile-pentru-coronavirus-zborurile-din-italia---suspendate-carantin?-obligatorie-pentru-to?i-c?l?torii-din-4-??ri/30476387.html
Romania,ROU,Romania,23/02/2020,"Case identification, contact tracing and related measures",Quarantine,People who travelled to China or high-risk areas,,incoming travellers from outbreak areas Veneto and Lodi/Lombardia stay 14 days in quarantine,https://www.digi24.ro/stiri/actualitate/ludovic-orban-persoanele-care-intra-in-romania-dintr-o-zona-in-care-a-existat-focar-de-infectie-vor-sta-in-carantina-timp-de-14-zile-1264761
Romania,ROU,Romania,26/02/2020,"Case identification, contact tracing and related measures",Quarantine,People who travelled to China or high-risk areas,quarantine for people returing from areas with extended local transmission,Order of the Health Ministry,https://www.primariasebes.ro/wp-content/uploads/2020/02/Prefectura-referitor-coronavirus.pdf
Romania,ROU,Romania,26/02/2020,"Case identification, contact tracing and related measures",Quarantine,People who travelled to China or high-risk areas,"self-quarantine for people that returned within the past 14 days from affected areas, other than the ones with extended local transmission",,
Romania,ROU,Romania,10/02/2020,"Case identification, contact tracing and related measures",Quarantine,People who travelled to China or high-risk areas,Quarantine,Chinese citizens working in Romania stay in quarantine after returning from China,https://www.digi24.ro/stiri/actualitate/sanatate/12-muncitori-chinezi-izolati-la-domiciliu-dupa-ce-s-au-intors-la-fabrica-din-romania-1258340
Romania,ROU,Romania,10/03/2020,"Case identification, contact tracing and related measures",Quarantine,People who travelled to China or high-risk areas,Italy,"people transiting Italy by road to undergo home-quarantine or quarantine after entering Romania, statements on their own responsibility before getting on board",
Romania,ROU,Romania,09/03/2020,"Case identification, contact tracing and related measures",Research and test of contacts,,enhanced to 'second degree contact',,https://www.digi24.ro/stiri/actualitate/marcel-vela-anunta-extinderea-anchetelor-epidemiologice-la-al-doilea-cerc-de-contacti-1272316
Romania,ROU,Romania,07/03/2020,"Case identification, contact tracing and related measures",Research and test of suspected cases,,one bus passenger infected on a domestic journey,"call for all passenger that travelled in that bus, infected person was imported case",https://www.digi24.ro/stiri/actualitate/sanatate/coronavirus-romania-cazul-nr-13-barbatul-a-calatorit-cu-microbuz-de-la-bucuresti-la-galati-autoritatile-fac-apel-catre-pasageri-1271973
Romania,ROU,Romania,09/02/2020,Social distancing,Return operation of nationals living in regions at risk,China,Quarantine,,
Romania,ROU,Romania,23/03/2020,Social distancing,Small gathering cancellation,Closure of non-essential shops,Located in shopping centers/malls,military ordinance by the ministry for internal affairs,https://stirioficiale.ro/hotarari/ordonanta-militara-nr-2-din-21-03-2020-privind-masuri-de-prevenire-a-raspandirii-covid-19
Romania,ROU,Romania,18/03/2020,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,Total closure of restaurants/bars/cafes,emergency ordinance of the ministry for internal affairs,https://www.mai.gov.ro/wp-content/uploads/2020/03/Ordonan?a-militar?-nr.-1-2020-m?suri-de-prima-urgen??-Decret.pdf
Romania,ROU,Romania,23/03/2020,Social distancing,Small gathering cancellation,Linit up to 3 persons,Recommendation to avoid groups of more than 3 persons that do not share the same household,military ordinance by the ministry for internal affairs,https://stirioficiale.ro/hotarari/ordonanta-militara-nr-2-din-21-03-2020-privind-masuri-de-prevenire-a-raspandirii-covid-19
Romania,ROU,Romania,23/03/2020,Social distancing,Small gathering cancellation,,"small private events limited to 8 persons allowed (wedding, child baptize)",,
Romania,ROU,Romania,12/03/2020,Travel restriction,Train transport restrictions,with Italy,cancellation of direct passenger trains to and from Italy,,http://www.ms.ro/2020/03/10/buletin-informativ-10-03-2020-ora-1000/
Serbia,SRB,Belgrade,28/03/2020,Healthcare and public health capacity,Scale up healthcare capacity,Scale up surge plans for health facilities,Temporary hospitals,Temporary hospital within Belgrade Fair halls was opened for all less severe cases to be isolated,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,17/03/2020,"Case identification, contact tracing and related measures",Border health check,Measure temperature,,,http://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/ministarstva/naredba/2020/33/1/reg
Serbia,SRB,Serbia,12/03/2020,Travel restriction,Border restriction,Borders closed for travellers but open for food supply,,,http://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/vlada/odluka/2020/25/1/reg
Serbia,SRB,Serbia,19/03/2020,Travel restriction,Border restriction,Borders closed for travellers but open for food supply,,"For all passengers, even citizens of Serbia",http://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/vlada/odluka/2020/37/1/reg
Serbia,SRB,Serbia,15/03/2020,Travel restriction,Border restriction,Borders closed to all non-citizens,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,15/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,,,http://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/vlada/odluka/2020/30/2/reg
Serbia,SRB,Serbia,15/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,Complete closure of kindergardens,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,15/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,Complete closure of primary and secondary schools,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,15/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,"Complete closure of universities, research institutions",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,20/03/2020,Resource allocation,Crisis management plans,Receive international help,5 million Euros from the Norwegian government,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,22/03/2020,Social distancing,Curfew,Extended,,17:00--5:00,https://www.nedeljnik.rs/od-sutra-policijski-cas-traje-od-17h-do-5-ujutru-ako-bude-potrebe-idemo-i-na-13h/
Serbia,SRB,Serbia,28/03/2020,Social distancing,Curfew,Extended,weekend,start at 15:00 instead of 17:00,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,17/03/2020,Social distancing,Curfew,Night,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,18/03/2020,Risk communication,Educate and actively communicate with the public,Answer to questions,Hotline,,https://covid19.rs/????????-???????-???????-????????-??/
Serbia,SRB,Serbia,27/02/2020,Risk communication,Educate and actively communicate with the public,Webpage dedicated to covid19,,New webpage:http://covid19.rs,https://www.rts.rs/page/stories/ci/story/124/drustvo/3867171/covid-19-koronavirus-sajt-informacije.html
Serbia,SRB,Serbia,21/03/2020,Social distancing,Mass gathering cancellation,Cultural events,"Theatres, cinemas, concerts, etc.",,http://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/ministarstva/naredba/2020/39/2/reg
Serbia,SRB,Serbia,14/03/2020,Social distancing,Measures for special populations,Measures to limit contact to hospital patients,,,http://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/ministarstva/naredba/2020/28/1/reg
Serbia,SRB,Serbia,14/03/2020,Social distancing,Measures for special populations,Measures to limit contact to long-term care facilities,,,http://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/ministarstva/naredba/2020/28/1/reg
Serbia,SRB,Serbia,17/03/2020,Social distancing,Measures for special populations,Measures to limit contact to the elderly,Elderly must stay at home,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,18/03/2020,Social distancing,Measures for special populations,Measures to limit contact to the elderly,,,http://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/ministarstva/naredba/2020/34/1/reg
Serbia,SRB,Serbia,21/03/2020,Social distancing,Public transport,Prohibition,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,15/03/2020,"Case identification, contact tracing and related measures",Quarantine,All incomings,(foreigners cannot enter the country anymore),,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,28/03/2020,"Case identification, contact tracing and related measures",Quarantine,All incomings,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,08/03/2020,Risk communication,Respiratory etiquette,Promote the use of face mask,,,https://www.rts.rs/page/stories/ci/story/124/drustvo/3879756/koronavirus-maska-lice-saveti-zastita.html
Serbia,SRB,Serbia,25/03/2020,Healthcare and public health capacity,Scale up emergency response mechanisms,Mobilize other forces,,,https://www.021.rs/story/BBC/237784/Korona-virus-Zasto-je-hala-Beogradskog-sajma-izabrana-za-karantin-pet-pitanja-i-odgovora.html
Serbia,SRB,Serbia,15/03/2020,"Case identification, contact tracing and related measures",Scale up the system,Police and army control and sanctions,If quarantine broken,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,21/03/2020,Social distancing,Small gathering cancellation,Closure of non-essential shops,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,16/03/2020,Social distancing,Small gathering cancellation,Closure of public places,,,http://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/vlada/uredba/2020/31/1/reg
Serbia,SRB,Serbia,21/03/2020,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,Only delivery,,http://www.pravno-informacioni-sistem.rs/SlGlasnikPortal/eli/rep/sgrs/vlada/odluka/2020/39/1/reg
Serbia,SRB,Serbia,21/03/2020,Social distancing,Small gathering cancellation,Limit up to 5 persons,Private space,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,20/03/2020,Social distancing,Small gathering cancellation,Police and army control and sanctions,If not respecting the curfew,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,20/03/2020,Travel restriction,Stop public transports,Intercity busses and trains,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Serbia,SRB,Serbia,06/03/2020,"Case identification, contact tracing and related measures",Enhance the system,,,,https://www.rts.rs/page/stories/sr/story/125/drustvo/3877900/loncar-koronavirus-prvi-slucaj-srbija-konferencija.html
Singapore,SGP,Singapore,22/01/2020,Healthcare and public health capacity,Activate emergency response mechanisms,covid-19 as a notifiable disease,,,
Singapore,SGP,Singapore,22/01/2020,Healthcare and public health capacity,Activate emergency response mechanisms,,ministerial taskforce started,(before patient 1),https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-ministerial-task-force-inevitable-12301610
Singapore,SGP,Singapore,23/01/2020,Healthcare and public health capacity,Activate emergency response mechanisms,,Government taskforce,Taskforce set up to direct a whole-of-government response to the novel coronavirus pneumonia outbreak,https://www.moh.gov.sg/news-highlights/details/confirmed-imported-case-of-novel-coronavirus-infection-in-singapore-multi-ministry-taskforce-ramps-up-precautionary-measures
Singapore,SGP,Singapore,18/02/2020,Healthcare and public health capacity,Activate healthcare capacity,Activate surge plans for health facilities,Increase patient capacity,"activate special clinics (Public Health Preparedness Clinics PHPC) that provide subsidised treatment, investigations and medications during outbreaks",https://www.moh.gov.sg/news-highlights/details/additional-pre-emptive-measures-to-reduce-risk-of-community-transmission
Singapore,SGP,Singapore,12/03/2020,Healthcare and public health capacity,Activate healthcare capacity,Activate surge plans for health facilities,,"Singapore is freeing up intensive care unit and hospital beds and facilities, to create additional capacity",
Singapore,SGP,Singapore,02/02/2020,Risk communication,Actively communicate with healthcare professionals,Advised to watch out for symptoms in travelers from Wuhan,"hospital establishments, medico-social establishments and liberal health professionals",,https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china
Singapore,SGP,Singapore,20/01/2020,Risk communication,Actively communicate with healthcare professionals,Guidance of case management,,"joint clinical guidance on the novel coronavirus developed, advising on management of suspect cases, disseminated to Emergency Department and Infectious Diseases physicians, and public sector hospital laboratories",https://www.moh.gov.sg/news-highlights/details/moh-steps-up-precautionary-measures-in-response-to-increase-in-cases-of-novel-coronavirus-pneumonia-in-wuhan
Singapore,SGP,Singapore,03/01/2020,Risk communication,Actively communicate with stakeholders,Military personal,Medical advisories,personnel with flu-like symptoms to seek medical attention and highlight their travel history to their unit medical officers,https://www.straitstimes.com/singapore/health/wuhan-virus-mindef-issues-two-advisories-for-service-personnel
Singapore,SGP,Singapore,21/01/2020,Risk communication,Actively communicate with stakeholders,Military personal,medical advisories to military personnel,"reminder to remain vigilant, adopt good personal hygiene measures and regularly check the websites of the Ministry of Health when travelling overseas",https://www.straitstimes.com/singapore/health/wuhan-virus-mindef-issues-two-advisories-for-service-personnel
Singapore,SGP,Singapore,16/02/2020,Risk communication,Actively communicate with stakeholders,,"commit to ""SG Clean"" campaign as Whole-of-Government (WOG) efforts","commit and adhere to sector-specific sanitation and hygiene checklists, covering areas such as management oversight, cleaning methodology, toilet cleanliness, and general public hygiene",https://www.nea.gov.sg/media/news/news/index/sg-clean-campaign-launched-to-rally-public-and-businesses-to-work-together-to-keep-singapore-clean
Singapore,SGP,Singapore,27/03/2020,"Case identification, contact tracing and related measures",Airport health check,Health certificate requested,all countries,"all travellers arriving in Singapore, including Singapore citizens and permanent residents, must submit a health declaration online prior to proceeding with immigration clearance","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore, https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore"
Singapore,SGP,Singapore,28/01/2020,"Case identification, contact tracing and related measures",Airport health check,Measure temperature,for all passengers,,
Singapore,SGP,Singapore,22/01/2020,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for passengers from China,,,"https://www.moh.gov.sg/news-highlights/details/moh-steps-up-precautionary-measures-in-response-to-increase-in-cases-of-novel-coronavirus-pneumonia-in-wuhan, https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore, https://www.moh.gov.sg/news-highlights/details/advisory-on-precautionary-measures-for-seniors"
Singapore,SGP,Singapore,03/01/2020,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for passengers from Hubei,,coming from Wuhan,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore
Singapore,SGP,Singapore,03/01/2020,"Case identification, contact tracing and related measures",Airport health check,Quarantine all incoming people with fever,,coming from Wuhan,https://www.moh.gov.sg/news-highlights/details/moh-steps-up-precautionary-measures-in-response-to-increase-in-cases-of-novel-coronavirus-pneumonia-in-wuhan
Singapore,SGP,Singapore,12/02/2020,"Case identification, contact tracing and related measures",Airport health check,Test all incoming people with fever or symptoms,screening and testing Singapore citizens on all flights when other people developed symptoms like fever and/or respiratory illness,,https://www.caas.gov.sg/about-caas/newsroom/Detail/measures-for-business-aviation-aircraft-entering-singapore-under-current-context-of-covid-19/
Singapore,SGP,Singapore,05/03/2020,"Case identification, contact tracing and related measures",Airport health check,Test all incoming people with fever or symptoms,travellers entering Singapore and exhibiting fever and/or other symptoms of respiratory illness are required to undergo a COVID-19 swab test at the checkpoint,,https://www.moh.gov.sg/covid-19/faqs
Singapore,SGP,Singapore,05/03/2020,"Case identification, contact tracing and related measures",Airport health check,Test all incoming people with fever or symptoms,,all travellers entering Singapore with fever and/or other symptoms of respiratory illness undergo a COVID-19 swab test at checkpoint. While waiting (3 to 6 hours) no contact to others,https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-in-response-to-escalating-global-situation
Singapore,SGP,Singapore,16/03/2020,"Case identification, contact tracing and related measures",Airport health check,Test all incoming people with fever or symptoms,travellers entering Singapore and exhibiting fever and/or other symptoms of respiratory illness are required to undergo a COVID-19 swab test at the checkpoint,"regardless if test is negative, people have to stay in quarantine.",https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-to-prevent-further-importation-and-spread-of-covid-19-cases
Singapore,SGP,Singapore,12/02/2020,Travel restriction,Airport restriction,"Denial entry of travellers from ""high-risk"" countries other than China","all countries, if feeling unwell",non-Singapore residents and air crew with fever and/or other symptoms of respiratory illness upon arrival not allowed to enter Singapore,https://www.caas.gov.sg/about-caas/newsroom/Detail/measures-for-business-aviation-aircraft-entering-singapore-under-current-context-of-covid-19/
Singapore,SGP,Singapore,27/02/2020,Travel restriction,Airport restriction,"Denial entry of travellers from ""high-risk"" countries other than China","Daegu city and Cheongdo county, Republic of Korea","non-citizens with recent travel history to Daegu and Cheongdo within the last 14 days will not be allowed entry into Singapore, or transit",https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-in-response-to-escalating-situation-in-daegu-and-cheongdo
Singapore,SGP,Singapore,05/03/2020,Travel restriction,Airport restriction,"Denial entry of travellers from ""high-risk"" countries other than China","Iran, Northern Italy, Republic of Korea within the last 14 days will not be allowed entry into Singapore, or transit through Singapore",,https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-in-response-to-escalating-global-situation
Singapore,SGP,Singapore,16/03/2020,Travel restriction,Airport restriction,"Denial entry of travellers from ""high-risk"" countries other than China","Italy, France, Spain, Germany","all new visitors with recent travel history to Italy, France, Spain, Germany within the last 14 days ",https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-to-prevent-further-importation-and-spread-of-covid-19-cases
Singapore,SGP,Singapore,29/02/2020,Travel restriction,Airport restriction,Denial entry of travellers from Wuhan,travellers returning from Hubei,,https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-to-minimise-risk-of-community-spread-in-singapore
Singapore,SGP,Singapore,17/03/2020,"Case identification, contact tracing and related measures",Border health check,Health certificate requested,ASEAN countries,submit requisite information on their health to the Singapore Overseas Mission in the country they are resident before their intended date of travel,https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-to-prevent-further-importation-of-covid-19-cases
Singapore,SGP,Singapore,12/02/2020,"Case identification, contact tracing and related measures",Border health check,Health declaration,,all air crew (pilots and cabin crew) and passengers on business aviation aircraft before departure for Singapore,https://www.caas.gov.sg/about-caas/newsroom/Detail/measures-for-business-aviation-aircraft-entering-singapore-under-current-context-of-covid-19/
Singapore,SGP,Singapore,24/01/2020,"Case identification, contact tracing and related measures",Border health check,Measure temperature,,"borders and harbors (land checkpoints, sea checkpoints)",https://www.moh.gov.sg/covid-19/past-updates
Singapore,SGP,Singapore,05/03/2020,"Case identification, contact tracing and related measures",Border health check,Test at the border,travellers entering Singapore and exhibiting fever and/or other symptoms of respiratory illness are required to undergo a COVID-19 swab test at the checkpoint,,https://www.moh.gov.sg/covid-19/faqs
Singapore,SGP,Singapore,05/03/2020,"Case identification, contact tracing and related measures",Border health check,Test at the border,,all travellers entering Singapore with fever and/or other symptoms of respiratory illness undergo a COVID-19 swab test at checkpoint. While waiting (3 to 6 hours) no contact to others,https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-in-response-to-escalating-global-situation
Singapore,SGP,Singapore,16/03/2020,"Case identification, contact tracing and related measures",Border health check,Test at the border,travellers entering Singapore and exhibiting fever and/or other symptoms of respiratory illness are required to undergo a COVID-19 swab test at the checkpoint,"regardless if test is negative, people have to stay in quarantine.",https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-to-prevent-further-importation-and-spread-of-covid-19-cases
Singapore,SGP,Singapore,01/02/2020,Travel restriction,Border restriction,Borders closed for people with travel history to China,,,https://www.moh.gov.sg/news-highlights/details/extension-of-precautionary-measures-to-minimise-risk-of-community-spread-in-singapore
Singapore,SGP,Singapore,24/03/2020,Travel restriction,Border restriction,Borders closed to all non-citizens,short-term visitors arriving or transiting through Singapore,,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore, https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore"
Singapore,SGP,Singapore,17/03/2020,Risk communication,Call for return of nationals living abroad,Students,,advice that students studying abroad should return home,https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos/2020/03/170320_Advisory-for-Singaporean-Students-Studying-Overseas
Singapore,SGP,Singapore,07/02/2020,Social distancing,Closure of educational institutions,Partial closure of educational institutions,Partial closure of kindergardens,Preschools services limit number of visitors to their premises,https://www.moh.gov.sg/news-highlights/details/risk-assessment-raised-to-dorscon-orange
Singapore,SGP,Singapore,07/02/2020,Social distancing,Closure of educational institutions,Partial closure of educational institutions,Partial closure of kindergardens,elderly care services limit number of visitors to their premises,
Singapore,SGP,Singapore,05/02/2020,Social distancing,Closure of educational institutions,"Reduction of excursions, out-of-house events",in preschools and schools,,https://www.moe.gov.sg/news/press-releases/additional-precautionary-measures-against-the-2019-novel-coronavirus-infection
Singapore,SGP,Singapore,07/02/2020,Social distancing,Closure of educational institutions,"Reduction of excursions, out-of-house events",schools will suspend inter-school and external activities,,https://www.moh.gov.sg/news-highlights/details/risk-assessment-raised-to-dorscon-orange
Singapore,SGP,Singapore,13/03/2020,Travel restriction,Denial entry to boats with more than 100 passengers,All,all cruise vessels,,https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-to-prevent-further-importation-and-spread-of-covid-19-cases
Singapore,SGP,Singapore,03/01/2020,Risk communication,Educate and actively communicate with the public,Activate communication to the public,health advisory posters for travellers arriving from Wuhan at airport,coming from Wuhan,https://www.moh.gov.sg/news-highlights/details/moh-steps-up-precautionary-measures-in-response-to-increase-in-cases-of-novel-coronavirus-pneumonia-in-wuhan
Singapore,SGP,Singapore,22/01/2020,Risk communication,Educate and actively communicate with the public,Activate communication to the public,press release Health Ministry advising travellers to avoid non-essential travel to Wuhan,,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-ministerial-task-force-inevitable-12301610
Singapore,SGP,Singapore,02/02/2020,Risk communication,Educate and actively communicate with the public,Discourage gathering,,Avoid crowded places and close contact with people who are unwell or showing symptoms,https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china
Singapore,SGP,Singapore,02/02/2020,Risk communication,Educate and actively communicate with the public,Encourage hand hygiene,Practise frequent hand washing with soap,,https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china
Singapore,SGP,Singapore,02/02/2020,Risk communication,Educate and actively communicate with the public,MOH webpage,MOH advice Homepage,,https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china
Singapore,SGP,Singapore,23/01/2020,Risk communication,Educate and actively communicate with the public,Promote health check if respiratory symptoms,Seek medical attention promptly if you are feeling unwell.,,"https://www.channelnewsasia.com/news/singapore/wuhan-virus-pneumonia-singapore-confirms-first-case-12312860, https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore"
Singapore,SGP,Singapore,02/02/2020,Risk communication,Educate and actively communicate with the public,Promote health check if respiratory symptoms,Seek medical attention promptly if you are feeling unwell.,Patients should inform doctor of their travel history,https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china
Singapore,SGP,Singapore,19/03/2020,Risk communication,Educate and actively communicate with the public,Promote the 2m distance,,advisories for food & beverage and retail establishments on Safe Distancing Measures to provide a safer dining and shopping experience,https://www.enterprisesg.gov.sg/covid-19/safe-distance
Singapore,SGP,Singapore,07/02/2020,Risk communication,Educate and actively communicate with the public,Recommendation for home office,,,https://www.moh.gov.sg/news-highlights/details/risk-assessment-raised-to-dorscon-orange
Singapore,SGP,Singapore,13/03/2020,Risk communication,Educate and actively communicate with the public,Recommendation for home office,,employers should implement tele-commuting and video-conferencing where possible,https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-to-prevent-further-importation-and-spread-of-covid-19-cases
Singapore,SGP,Singapore,20/03/2020,Risk communication,Educate and actively communicate with the public,Recommendation for home office,,employers should facilitate telecommuting for their employees to work from home,https://www.moh.gov.sg/news-highlights/details/stricter-safe-distancing-measures-to-prevent-further-spread-of-covid-19-cases
Singapore,SGP,Singapore,02/02/2020,Risk communication,Educate and actively communicate with the public,Respiratory etiquette,Promote the use of face mask,,https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china
Singapore,SGP,Singapore,02/02/2020,Risk communication,Educate and actively communicate with the public,Respiratory etiquette,Advice campaign for sneezing/coughing in the elbow,,https://www.moh.gov.sg/news-highlights/details/precautionary-measures-in-response-to-severe-pneumonia-cases-in-wuhan-china
Singapore,SGP,Singapore,16/02/2020,Risk communication,Educate and actively communicate with the public,Scale-up communication to the public,"launch of ""SG Clean"" campaign throughout all sectors in Singapore","Call to practise the “7 Habits of Good Public Hygiene”, progressively rolled out to various sectors, covering premises with high human traffic",https://www.nea.gov.sg/media/news/news/index/sg-clean-campaign-launched-to-rally-public-and-businesses-to-work-together-to-keep-singapore-clean
Singapore,SGP,Singapore,05/03/2020,Risk communication,Educate and actively communicate with the public,Scale-up communication to the public,throughout all channels,"(cannot precice, I assume it was everywhere) stay at home if feeling unwll, hand hygiene, not touching face, not sharing utensils",https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-in-response-to-escalating-global-situation
Singapore,SGP,Singapore,06/03/2020,Risk communication,Educate and actively communicate with the public,Scale-up communication to the public,press release to take part in SG Clean campaign,,https://www.sgpc.gov.sg/sgpcmedia/media_releases/mewr/press_release/P-20200306-2/attachment/Press%20Release%20for%20Formation%20of%20SG%20Clean%20Taskforce%20-%20For%20Media.pdf
Singapore,SGP,Singapore,08/01/2020,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Iran,advice against travelling to or remaining in Iran,https://www.moh.gov.sg/news-highlights/details/additional-precautionary-measures-in-response-to-escalating-global-situation
