"parent","link","child","value"
"For cybersecurity","L3-L4","Funding to develop national cybersecurity",1
"For government officers","L3-L4","Fact sheet",1
"For people who can prove they had covid-19","L3-L4","Exemption of quarantine for 6 months",1
"For persons with a permanent or temporary residence permit","L3-L4","For incoming travellers, person with a permanent or temporary residence permit, children <3 yo",1
"Force departure of Chinese nationals","L3-L4","Deportation of Chinese nationals",2
"Force departure of Chinese nationals","L3-L4","Tour groups from Hubei to depart Taiwan",1
"Force departure of Chinese nationals","L3-L4","Tour groups from Wuhan to depart Taiwan",1
"Force departure of Chinese nationals","L3-L4","Tours to China suspended until Jan 31 : Tour groups from Hubei province to depart Taiwan",1
"Foster community assistance","L3-L4","Call for volunteers to food banks",1
"Foster community assistance","L3-L4","Call for volunteers to help others stay at home",1
"Foster community assistance","L3-L4","Check on the most vulnerable",1
"Foster community assistance","L3-L4","Encourage blood donation against covid19 crisis",1
"Foster community assistance","L3-L4","Encourage donation for covid19 crisis",8
"Foster community assistance","L3-L4","Online resource",1
"From Costa Rica","L3-L4","",1
"From India and Africa","L3-L4","",1
"From Norway","L3-L4","",1
"From Norway","L3-L4","Economic aid for medical supplies",1
"From switzerland","L3-L4","",1
"From the EU","L3-L4","",1
"From the EU","L3-L4","Economic support to the most affected workers and businesses",1
"From the US embassy","L3-L4","",1
"From Turkey","L3-L4","Donation of medical equipment and funds for the health sector",1
"From UNICEF: for children","L3-L4","Hygiene kits and information materials",1
"Funding allocated to research","L3-L4","",5
"Funding allocated to research","L3-L4","Focus on implementing measures to detect, manage, and reduce the transmission of the virus",3
"Funding allocated to research","L3-L4","Quick diagnostic test",1
"Funding allocated to research","L3-L4","Simple diagnostic kits, antiviral drugs, vaccines",1
"Funding allocated to research","L3-L4","Vaccine and antiviral development",4
"Funding allocated to research","L3-L4","Vaccine development",1
"Funding for non-profit institutions","L3-L4","",1
"Funding of a diagnostic test project","L3-L4","",1
"Funding to support global efforts","L3-L4","",1
"Funding to support global efforts","L3-L4","Emergency grant",1
"Funding to support global efforts","L3-L4","Funds to  WHO for humanitarian efforts and to the Coalition for Epidemic Preparedness Innovations for vaccine development. ",1
"Funding to support global efforts","L3-L4","Global response to Covid-19",2
"Funding to support global efforts","L3-L4","International Committee of the Red Cross",1
"Funding to support global efforts","L3-L4","International Committee of the Red Cross and International Federation of Red Cross and Red Crescent Societies",1
"Funding to support global efforts","L3-L4","To the International Monetary Fund’s Catastrophe Containment and Relief Trust (CCRT) ",1
"Funding to support global efforts","L3-L4","UN fund to assist developing countries with weak health systems",1
"Funding to support global efforts","L3-L4","UN Fund to fight Coronavirus",1
"Funding to support global efforts","L3-L4","WHO Contingency Fund for Emergencies",1
"Funds to expand support and services for vulnerable populations","L3-L4","",2
"Funds to expand support and services for vulnerable populations","L3-L4","Government support non-profit organisation to help the population",4
"Funds to expand support and services for vulnerable populations","L3-L4","Nationals in the diaspora",1
"Furniture, home-improvement and construction stores","L3-L4","On week-ends",1
"Grocery stores","L3-L4","Ease regulations on packaging and labelling of food",1
"Grocery stores","L3-L4","Extend opening hours",1
"Grocery stores","L3-L4","Limitation on the number of customers to respect social distancing",2
"Guideline for public officers","L3-L4","To not disseminate false information",1
"Guidelines","L3-L4","Advised to watch out for symptoms in travellers from Wuhan",1
"Guidelines","L3-L4","Application date not fixed",1
"Guidelines","L3-L4","Cleaning common areas in appartment buildings",1
"Guidelines","L3-L4","Collection and disposal waste from testing",1
"Guidelines","L3-L4","Dental services",1
"Guidelines","L3-L4","Ensure health protection of supply chain workers",1
"Guidelines","L3-L4","For essential workers in the supply chain",1
"Guidelines","L3-L4","For food stores",1
"Guidelines","L3-L4","For funerals",1
"Guidelines","L3-L4","For grocery and retail stores",2
"Guidelines","L3-L4","For handling pregnant women",1
"Guidelines","L3-L4","For industries and educational institutions",1
"Guidelines","L3-L4","For long-term facilities",1
"Guidelines","L3-L4","For measuring temperature",1
"Guidelines","L3-L4","For measuring temperature at industrial plants",1
"Guidelines","L3-L4","For midwives",1
"Guidelines","L3-L4","For ophtalmic opticians",1
"Guidelines","L3-L4","For outdoor children's playgrounds",1
"Guidelines","L3-L4","For prisons",1
"Guidelines","L3-L4","For responsible shopping",1
"Guidelines","L3-L4","For supporting mental health of workers",1
"Guidelines","L3-L4","For the reception of homeless people",1
"Guidelines","L3-L4","For voting 10-11 April",1
"Guidelines","L3-L4","Guidance of case management",2
"Guidelines","L3-L4","Guidelines for body care and transport after death",1
"Guidelines","L3-L4","Guidelines for functioning of mining industry ",1
"Guidelines","L3-L4","Guidelines to prevent Covid19 Transmission",1
"Guidelines","L3-L4","Health standards for tourist establishments",1
"Guidelines","L3-L4","Mailbox leaflets",1
"Guidelines","L3-L4","On cybersecurity for workers working from home",1
"Guidelines","L3-L4","Practical guide for those who take care of the elderly",1
"Guidelines","L3-L4","Rational use of Personal Protective Equipment",1
"Guidelines","L3-L4","Testing strategy",1
"Guidelines","L3-L4","To implement social distancing (faith leaders for religious celebrations)",1
"Guidelines","L3-L4","To implement social distancing (municipal elections)",1
"Guidelines","L3-L4","To implement social distancing (schools, events)",1
"Guidelines","L3-L4","To implement social distancing (state agencies)",1
"Guidelines","L3-L4","To implement social distancing (workplaces)",3
"Guidelines","L3-L4","Transport of goods through medium and high-risk countries",1
"Guidelines","L3-L4","Transport of persons returning from abroad",1
"Guidelines","L3-L4","Use of PPE for health and elder care professionals",1
"Guidelines for persons in quarantine","L3-L4","",5
"Guidelines for persons in quarantine","L3-L4","Twitter",2
"Guidelines for persons in quarantine","L3-L4","Twitter, video + sign language",1
"Guidelines for re-opening gyms and fitness centers","L3-L4","",1
"Guidelines for re-opening of cultural institutions","L3-L4","Libraries",1
"Guidelines for re-opening of cultural institutions","L3-L4","Libraries and archives",1
"Guidelines for re-opening of cultural institutions","L3-L4","Museums, art galleries",1
"Guidelines for re-opening of cultural institutions","L3-L4","Museums, monuments and palaces, art galleries, exhibition halls ",1
"Guidelines for re-opening of educational institutions and leisure facilities","L3-L4","",1
"Guidelines for re-opening of educational institutions and leisure facilities","L3-L4","Childcare and day camps",1
"Guidelines for re-opening of educational institutions and leisure facilities","L3-L4","Guidelines fo re-opening of student and youth counseling centres",1
"Guidelines for re-opening of educational institutions and leisure facilities","L3-L4","Guidelines for organisation of children and youth vacations",1
"Guidelines for re-opening of educational institutions and leisure facilities","L3-L4","Guidelines for re-opening of schools and daycare",5
"Guidelines for re-opening of educational institutions and leisure facilities","L3-L4","Guidelines for re-opening of student residencies",1
"Guidelines for re-opening of educational institutions and leisure facilities","L3-L4","Guidelines for re-opening youth and adult education places",2
"Guidelines for re-opening of medical and paramedical centers","L3-L4","Long-term care facilities",1
"Guidelines for re-opening of medical and paramedical centers","L3-L4","Physiotherapy clinic",1
"Guidelines for re-opening of retail shops and liberal profession","L3-L4","",1
"Guidelines for re-opening of retail shops and liberal profession","L3-L4","Beauty salons, nail salons and podology salons",1
"Guidelines for re-opening of retail shops and liberal profession","L3-L4","Furniture, home-improvement or construction store",1
"Guidelines for re-opening of retail shops and liberal profession","L3-L4","Hair salons",1
"Guidelines for re-opening of retail shops and liberal profession","L3-L4","Shopping centers",1
"Guidelines for re-opening restaurants/bars/cafes","L3-L4","Restaurants",1
"Guidelines for re-opening short-term accommodations","L3-L4","Guidelines for resuming short-term accommodation services",1
"Guidelines for re-opening short-term accommodations","L3-L4","Lodging and overnight camping",1
"Guidelines for resuming commercial activity","L3-L4","",1
"Guidelines for resuming sport activities","L3-L4","Focusing on children and youth contact sports",1
"Guidelines for work-safety protocols","L3-L4","",2
"Guidelines: help finding child care providers","L3-L4","",1
"Hand sanitizers","L3-L4","Donation",1
"Hand sanitizers","L3-L4","For vulnerable populations",1
"Hand sanitizers","L3-L4","Free supply of hand sanitizers",1
"Hand sanitizers","L3-L4","In schools",2
"Health agencies and emergency healthcare","L3-L4","",10
"Health agencies and emergency healthcare","L3-L4","Guidelines",1
"Health agencies and emergency healthcare","L3-L4","test and treatment to be focused on vulnerable population",1
"Health agencies and emergency healthcare","L3-L4","Workshop",1
"Health certificate requested at airport","L3-L4","all countries",1
"Health certificate requested at airport","L3-L4","from Wuhan",1
"Health certificate requested at airport","L3-L4","Passengers from South Korea, Iran and Northern Italy need medical certificate to enter Austria",1
"Health certificate requested at airport","L3-L4","Passengers travelling from /having visited Italy or Republic of Korea and desirous of entering India will need certificate of having tested negative for COVID-19",1
"Health certificate requested at airport","L3-L4","Philippines, India, Bangladesh, Egypt, Syria, Azerbaijan, Turkey, Sri Lanka, Georgia and Lebanon.",1
"Health certificate requested at airport","L3-L4","Specify country/countries or ""undefined""",2
"Health certificate requested at airport","L3-L4","Travelers from China, Hong Kong, Macau, Korea, The Republic of Italy, The Islamic Republic of Iran",1
"Health certificate requested at airport","L3-L4","Travellers from China",1
"Health certificate requested to enter the country","L3-L4","All incoming",1
"Health certificate requested to enter the country","L3-L4","ASEAN countries",1
"Health certificate requested to enter the country","L3-L4","Health certificate for all travellers",1
"Health certificate requested to enter the country","L3-L4","Health certificate for travellers from China",1
"Health certificate requested to enter the country","L3-L4","non-citizens",1
"Health certificate requested to enter the country","L3-L4","People from Italy",1
"Health certificate requested to enter the country","L3-L4","Specify country/countries or ""undefined""",1
"Health evaluation of visitors before access to specific institutions","L3-L4","Care facilities",1
"Health evaluation of visitors before access to specific institutions","L3-L4","Health check for people entering nursing homes and long term facilities",2
"Health evaluation of visitors before access to specific institutions","L3-L4","Juvenile justice facilities",1
"Health evaluation of visitors before access to specific institutions","L3-L4","Post offices",1
"Health evaluation of visitors before access to specific institutions","L3-L4","Restaurants, offices, hotels, and others check temperature before entry",1
"Health questionnaire at the border","L3-L4","All incomings by air, maritime and terrestrial ways",2
"Health questionnaire at the border","L3-L4","At departure",1
"Health questionnaire at the border","L3-L4","At train station connected with mainland China",1
"Health questionnaire at the border","L3-L4","For international cruise/merchandise boat personal",2
"Health questionnaire at the border","L3-L4","Health declaration",1
"Health questionnaire at the border","L3-L4","Land border with Columbia",1
"Health questionnaire at the border","L3-L4","Travellers from infected areas",2
"Health questionnaire at the border","L3-L4","Travellers from Italy",1
"Health questionnaire in the plane or at the airport","L3-L4","",1
"Health questionnaire in the plane or at the airport","L3-L4","All airports",1
"Health questionnaire in the plane or at the airport","L3-L4","All passengers",1
"Health questionnaire in the plane or at the airport","L3-L4","All passengers and crew",2
"Health questionnaire in the plane or at the airport","L3-L4","All travellers from Mainland China, Hong Kong and Macao",1
"Health questionnaire in the plane or at the airport","L3-L4","Passengers and crew",1
"Health questionnaire in the plane or at the airport","L3-L4","Passengers arriving from central China.",1
"Health questionnaire in the plane or at the airport","L3-L4","Questionnaire on personal information",1
"Health questionnaire in the plane or at the airport","L3-L4","Travellers from China",2
"Health screening at the airport","L3-L4","",1
"Health screening at the airport","L3-L4","All incoming nationals",1
"Health screening at the airport","L3-L4","All incomings",1
"Health screening at the airport","L3-L4","All travellers from Mainland China, Hong Kong and Macao",1
"Health screening at the airport","L3-L4","Citizens who have a travel history to China",1
"Health screening at the airport","L3-L4","Extention of the measure from 12/2/2020 to travellers from Iran, Italy, South Korea and Japan",1
"Health screening at the airport","L3-L4","From high-risk areas",1
"Health screening at the airport","L3-L4","Health screening of all passengers",1
"Health screening at the airport","L3-L4","Health screening of passengers from China, South Korea, Japan, Iran, Italy, Hong Kong, Macau, Vietnam, Malaysia, Indonesia, Nepal, Thailand, Singapore and Taiwan",1
"Health screening at the airport","L3-L4","Medical assistance for people with respiratory symptoms",2
"Health screening at the airport","L3-L4","Special management of incomings with symptoms",1
"Health screening at the airport","L3-L4","Standard Operating Procedure for Passenger Movement post Disembarkation is announced",1
"Health screening at the airport","L3-L4","Symptomatic + travel history in Wuhan",1
"Health screening at the airport","L3-L4","Symptomatic passengers from China",1
"Health screening at the border","L3-L4","All foreigners",2
"Health screening at the border","L3-L4","All incomings by air and terrestrial ways",1
"Health screening at the border","L3-L4","All incomings by air, maritime and terrestrial ways",1
"Health screening at the border","L3-L4","All persons crossing the border (Mobile clinic)",1
"Health screening at the border","L3-L4","Health check of citizens coming from infected areas",1
"Health screening at the border","L3-L4","Health check of people comings from Veneto and Lombardy",1
"Health screening at the border","L3-L4","Incomings from Wuhan City (Hubei Province, China)",1
"Health screening before entering workplace","L3-L4","",1
"Healthcare workers","L3-L4","Isolation facilities",1
"Hydroxychloroquine now a schedule H1 drug, can be sold on prescription only","L3-L4","",1
"Implement cashless payments in public transport","L3-L4","",1
"Implement communication tool","L3-L4","Corona dashboard",1
"Implement communication tool","L3-L4","SMS notification for incoming travellers",1
"Implement communication tool","L3-L4","Text alert system",1
"Implement communication tool","L3-L4","WhatsApp bot",1
"Implement community support","L3-L4","Home care for elderly and vulnerable children",1
"Implement community support","L3-L4","Phone call to check in on elderly",1
"Implement community support","L3-L4","Post officiers will check in on vulnerable people",1
"Implement e-learning","L3-L4","",5
"Implement e-learning","L3-L4","By ordinance",1
"Implement e-learning","L3-L4","Colleges and universities",1
"Implement e-learning","L3-L4","Donate internet hotspots to students in need",1
"Implement e-learning","L3-L4","For primary schools, high schools, universities",1
"Implement e-learning","L3-L4","Free internet access to e-learning",1
"Implement e-learning","L3-L4","Increase internet speed for students",1
"Implement e-learning","L3-L4","Methodology for school digitalization",2
"Implement e-learning","L3-L4","Mobile hotspots and Chromebooks in rural areas",1
"Implement e-learning","L3-L4","Online platform for e-learning",4
"Implement e-learning","L3-L4","Primary and secondary schools",1
"Implement e-learning","L3-L4","Provide laptops to schools",1
"Implement e-learning","L3-L4","Remote exams",1
"Implement part-time work","L3-L4","",4
"Implement part-time work","L3-L4","Adjustment of office hours",1
"Implement part-time work","L3-L4","In public administrative services",1
"Implement protocols for prevention of contamination at workplace","L3-L4","Between trade unions and companies",1
"Implement protocols for prevention of contamination at workplace","L3-L4","For social workers",1
"Implement sentinel study","L3-L4","Surveillance at  intensive care units",1
"Implement sentinel study","L3-L4","Surveillance in hospitals",1
"Implement social distancing at workplace","L3-L4","Implement the 2m distance at workplace",2
"Implement social distancing at workplace","L3-L4","Quarantine workers do not come back to workplace",1
"Implement social distancing workplace","L3-L4","Ban on non-critical in-person meetings",1
"Implement the 2m distance","L3-L4","In public transports",2
"Implement the 2m distance","L3-L4","In shops",7
"Implement the 2m distance","L3-L4","Markets",1
"Implement the 2m distance","L3-L4","Supermarkets",1
"Implement triage procedures","L3-L4","Health hotline",7
"Implement triage procedures","L3-L4","Prioritize care",6
"Implement triage procedures","L3-L4","Priority of treatment to elderly and persons with a medical precondition",1
"Implement triage procedures","L3-L4","Triage of patients depending in the severity of the symptoms",2
"Implement triage procedures","L3-L4","Triage of patients outside hospitals",2
"In markets","L3-L4","",1
"Incentives for healthcare workers","L3-L4","Ease accommodation for healthcare professionals",2
"Incentives for healthcare workers","L3-L4","Ease transport of health workers",8
"Incentives for healthcare workers","L3-L4","Increase legal protection of healthcare professionals",2
"Incentives for healthcare workers","L3-L4","Monetary bonuses for healthcare professionals",7
"Incentives for healthcare workers","L3-L4","Tax relief for healthcare workers",1
"Incoming residents","L3-L4","",2
"Incoming residents","L3-L4","Citizen entered by train",1
"Incoming residents","L3-L4","Citizens",2
"Incoming residents","L3-L4","From ASEAN countries, France, India and Switzerland",1
"Incoming residents","L3-L4","Health check and self-isolation",1
"Incoming residents","L3-L4","Quarantine in a state quarantine facility",1
"Incoming travelers","L3-L4","",13
"Incoming travelers","L3-L4","2 islands",1
"Incoming travelers","L3-L4","All",14
"Incoming travelers","L3-L4","By air",1
"Incoming travelers","L3-L4","Commuters crossing the border",1
"Incoming travelers","L3-L4","Entering the country by plane, train, sea, or road",1
"Incoming travelers","L3-L4","Except travelers arriving from the Pacific",1
"Incoming travelers","L3-L4","Home quarantine",1
"Incoming travelers","L3-L4","Incomingd from abroad",1
"Incoming travelers","L3-L4","Self-isolation",2
"Incoming travelers","L3-L4","Self-monitored home quarantine",2
"Incomings from high-risk areas","L3-L4","",18
"Incomings from high-risk areas","L3-L4","14 day home quarantine",2
"Incomings from high-risk areas","L3-L4","Active surveillance",1
"Incomings from high-risk areas","L3-L4","All countries listed by WHO",1
"Incomings from high-risk areas","L3-L4","All persons involved in school life (i.e. pupils, teachers and non-teaching staff)",1
"Incomings from high-risk areas","L3-L4","all the Schengen countries, as well as Iran and Egypt",1
"Incomings from high-risk areas","L3-L4","All travellers China, Hong Kong, Republic of Korea, Japan, Italy, Thailand, Singapore, Iran, Malaysia, France, Spain and Germany ",1
"Incomings from high-risk areas","L3-L4","All travellers from mainland China",1
"Incomings from high-risk areas","L3-L4","ASEAN countries, Japan, Switzerland, United Kingdom",1
"Incomings from high-risk areas","L3-L4","Austria, China, Denmark, Egypt, France, Germany, Hong Kong Special Administrative Region of the People's Republic of China, Iceland, Iran, Italy, Japan, Netherlands, Norway, Singapore, South Korea, Spain, Sweden and Switzerland",1
"Incomings from high-risk areas","L3-L4","Austria:All ski areas - Switzerland: All ski areas - Germany: Southern Bavarian Ski Area - France: Provence-Alpes-CÙte d'Azur - Auvergne-RhÙne-Alpes - Slovenia  All ski areas",1
"Incomings from high-risk areas","L3-L4","China",4
"Incomings from high-risk areas","L3-L4","China and South Korea",1
"Incomings from high-risk areas","L3-L4","China other than hubei, extend to other countries on 3/10",1
"Incomings from high-risk areas","L3-L4","China, Hong Kong, and Macau",1
"Incomings from high-risk areas","L3-L4","China, Hong Kong, Republic of Korea, Japan, Italy, Thailand, Singapore, Iran, Malaysia, France, Spain and Germany",1
"Incomings from high-risk areas","L3-L4","China, Iran, Schengen",1
"Incomings from high-risk areas","L3-L4","China, Italy, Iran, Republic of Korea, France, Spain and Germany",1
"Incomings from high-risk areas","L3-L4","China, Italy, Iran, South Korea, certain administrative regions of France, the states of Germany, the Austrian state of Tyrol, Japan, Singapore, and the Madrid, Catalonia and the Basque Country regions of Spain",1
"Incomings from high-risk areas","L3-L4","China, South Korea",1
"Incomings from high-risk areas","L3-L4","China, South Korea, Iran, Italy, Spain, Austria, Germany, Switzerland, Sweden, the Netherlands, Belgium, the United Kingdom, Norway, Denmark and France",1
"Incomings from high-risk areas","L3-L4","Countries with more than 200 cases",1
"Incomings from high-risk areas","L3-L4","Emilia-Romagna, Lombardy, or Veneto (Italy) and Iran",1
"Incomings from high-risk areas","L3-L4","Europe and USA",1
"Incomings from high-risk areas","L3-L4","Europe, Egypt, and Iran",1
"Incomings from high-risk areas","L3-L4","Expanding compulsory quarantine for a minimum period of 14 days for passengers coming from/transiting through UAE, Qatar, Oman, and Kuwait.",1
"Incomings from high-risk areas","L3-L4","For people who have permanent or temporary residence in Czech Republic",1
"Incomings from high-risk areas","L3-L4","From South Korea",1
"Incomings from high-risk areas","L3-L4","From Spain",1
"Incomings from high-risk areas","L3-L4","home-quarantine for people that returned within the past 14 days from affected areas, other than the ones with extended local transmission",1
"Incomings from high-risk areas","L3-L4","Home quanrantine",1
"Incomings from high-risk areas","L3-L4","Hubei",1
"Incomings from high-risk areas","L3-L4","Incomings from Gütersloh Germany",1
"Incomings from high-risk areas","L3-L4","Italy",2
"Incomings from high-risk areas","L3-L4","Italy, China, Iran, South Korea",1
"Incomings from high-risk areas","L3-L4","Italy, France, Spain, Germany",1
"Incomings from high-risk areas","L3-L4","Mainland China, Hong Kong and Macao",1
"Incomings from high-risk areas","L3-L4","Mandatory self-isolation",1
"Incomings from high-risk areas","L3-L4","MOH is contacting all recent travellers from Hubei who are in Singapore who have arrived in the last 14 days",1
"Incomings from high-risk areas","L3-L4","Nationals arriving from South Korea, Japan, Italy, Hong Kong, Taiwan, Macao",1
"Incomings from high-risk areas","L3-L4","Nationals from China and Iran",1
"Incomings from high-risk areas","L3-L4","Nationals travelling from a country with 10 or more confirmed cases",1
"Incomings from high-risk areas","L3-L4","Partial quarantine (e.g access to schools, sport gym...restricted)",2
"Incomings from high-risk areas","L3-L4","Partial quarantine: limited access to public and semi-public spaces",2
"Incomings from high-risk areas","L3-L4","People who travelled out of Nordic countries",1
"Incomings from high-risk areas","L3-L4","Preschool children and preschool employees who travelled to China",1
"Incomings from high-risk areas","L3-L4","Quarantine",2
"Incomings from high-risk areas","L3-L4","quarantine all Singapore residents with travel history to to Daegu and Cheongdo within the last 14 days",1
"Incomings from high-risk areas","L3-L4","Self-health management after returning from countries with level 1 and 2 warning",1
"Incomings from high-risk areas","L3-L4","ship crew that come ashore from high-risk areas",1
"Incomings from high-risk areas","L3-L4","South Korea",3
"Incomings from high-risk areas","L3-L4","South Korea, Lombardy (Italy), Veneto (Italy), Emilia Romagna (Italy)",1
"Incomings from high-risk areas","L3-L4","State University of New York abroad students",1
"Incomings from high-risk areas","L3-L4","Syria, Egypt",1
"Incomings from high-risk areas","L3-L4","Travellers from Italy",1
"Incomings from high-risk areas","L3-L4","Travellers from Southeast Asia, the Middle East, and Africa",1
"Incomings from high-risk areas","L3-L4","Travellers from USA",1
"Incomings from high-risk areas","L3-L4","US, UK, Germany, spain, france",1
"Incomings from high-risk areas","L3-L4","USA, Europe",1
"Incomings from high-risk areas","L3-L4","Wuhan",3
"Increase delivery capacity for food products","L3-L4","",3
"Increase delivery capacity for food products","L3-L4","Ease hour restrictions for motor carriers and drivers who deliver food",2
"Increase delivery capacity for food products","L3-L4","Ease restrictions for transporters",3
"Increase delivery capacity for food products","L3-L4","Ease restrictions for workers who deliver food",1
"Increase delivery capacity for food products","L3-L4","Open rest areas for interstate food trucks",1
"Increase delivery capacity for medical supplies","L3-L4","",1
"Increase delivery capacity for medical supplies","L3-L4","Ease hour restrictions for motor carriers and drivers who deliver medical supplies",1
"Increase delivery capacity for medical supplies","L3-L4","Ease restrictions for transporters",6
"Increase delivery capacity for medical supplies","L3-L4","Ease restrictions for workers who deliver medical supplies",1
"Increase delivery capacity for medical supplies","L3-L4","food, medical supplies, personal hygene",1
"Increase delivery capacity for necessity goods","L3-L4","Ease hour restrictions for motor carriers and drivers who necessity goods",1
"Increase delivery capacity for necessity goods","L3-L4","Ease restrictions for transporters",3
"Increase delivery capacity for necessity goods","L3-L4","Waiving regulations regarding vehicle transportation",1
"Increase domestic production of medical equipment","L3-L4","Ease regulations on licensing and certification of production of surgical masks",1
"Increase domestic production of medical equipment","L3-L4","Repurpose domestic industries",2
"Increase domestic production of medical equipment","L3-L4","Support businesses producing medical equipment",1
"Increase domestic production of medical equipment","L3-L4","Ventilators",1
"Increase domestic production of PPE","L3-L4","Economic support to industries for production of PPE",1
"Increase domestic production of PPE","L3-L4","PPE (not specified)",1
"Increase domestic production of PPE","L3-L4","State will pay to convert manufacturing facilities to produce PPE products",1
"Increase domestic production of PPE","L3-L4","Support businesses producing PPE",1
"Increase ICU capacity","L3-L4","",7
"Increase ICU capacity","L3-L4","State funds",1
"Increase laboratory facilities","L3-L4","Certification of laboratory",1
"Increase laboratory facilities","L3-L4","Drive-in testing facilities",10
"Increase laboratory facilities","L3-L4","Extend testing capacity to private institutions",5
"Increase laboratory facilities","L3-L4","Mobile testing facilities",3
"Increase laboratory facilities","L3-L4","More laboratory dedicated",16
"Increase laboratory facilities","L3-L4","New laboratory",2
"Increase medical consultation capacity","L3-L4","",1
"Increase medical consultation capacity","L3-L4","Lift limitation on specialist consultation",1
"Increase military forces","L3-L4","Re-enlistment of former enlisted members of the military forces",2
"Increase number of medical institutions","L3-L4","",8
"Increase number of medical institutions","L3-L4","1000 beds hospital ship",1
"Increase number of medical institutions","L3-L4","536 counseling centers",1
"Increase number of medical institutions","L3-L4","Construction of an extra care unit (not IC)",1
"Increase number of medical institutions","L3-L4","Convert convention center",2
"Increase number of medical institutions","L3-L4","For high-risk communities",1
"Increase number of medical institutions","L3-L4","Health follow-up center",1
"Increase number of medical institutions","L3-L4","More hospitals ready to receive patients",2
"Increase number of medical institutions","L3-L4","Nursing home facility repurposed into temporary hospital",1
"Increase number of medical institutions","L3-L4","State of Maryland property can be made available as a place of treatment",1
"Increase number of medical institutions","L3-L4","the government designated 132 treatment facilities across Indonesia",1
"Increase police forces","L3-L4","Army to reinforce police forces",1
"Increase police forces","L3-L4","Cooperation with Red Cross volunteers for border control",1
"Increase police forces","L3-L4","Police forces recruitment",1
"Increase police forces","L3-L4","Police forces training",1
"Increase police forces","L3-L4","Response to national emergency",1
"Increase police forces","L3-L4","Shorter training",1
"Increase service","L3-L4","More busses and trains added to the schedule",1
"Increase service","L3-L4","reduction policy was retracted due to long queue in many bus stops and train stations in morning",1
"Increase service","L3-L4","To avoid congestion",2
"Increase testing capacity (number tests)","L3-L4","",3
"Increase testing capacity (number tests)","L3-L4","Increase laboratory workforce",2
"Increase testing capacity (number tests)","L3-L4","Increase sample collection capacity",1
"Increase testing capacity (number tests)","L3-L4","Increase technical capacity for performing tests",16
"Increase testing capacity (number tests)","L3-L4","Increase test availability",24
"Increase workforce for critical jobs","L3-L4","",1
"Indoor activities","L3-L4","",12
"Indoor activities","L3-L4","All",4
"Indoor activities","L3-L4","Bars, clubs, casinos",10
"Indoor activities","L3-L4","Charitable Raffle and Bingo closed",1
"Indoor activities","L3-L4","Fitness centers and gyms",29
"Indoor activities","L3-L4","Hobby and leisure centres",9
"Indoor activities","L3-L4","Indoor sports and spa",8
"Indoor activities","L3-L4","Music classes",2
"Indoor activities","L3-L4","Press conferences online, no journalist or cameraman",1
"Indoor activities","L3-L4","Sport indoor and spa",2
"Indoor activities","L3-L4","Swimming pools",7
"Information about travels","L3-L4","Discourage entry of visitors from high-risk areas",1
"Information about travels","L3-L4","Discourage non-essential travels",14
"Information about travels","L3-L4","Health alert notice to international travellers",1
"Information about travels","L3-L4","Recommendations for people returning from high risk areas",1
"Information bulletin","L3-L4","Bulletin by the Health agency",1
"Information bulletin","L3-L4","Communicate about the state of the country",1
"Information bulletin","L3-L4","Communication via government official site",1
"Information bulletin","L3-L4","Coronavirus Information Bulletin",1
"Information bulletin","L3-L4","Current epidemiological situation",1
"Information bulletin","L3-L4","Daily newsletter",1
"Information campaign","L3-L4","",8
"Information campaign","L3-L4","About new coronavirus",1
"Information campaign","L3-L4","Advice for avoiding infection",4
"Information campaign","L3-L4","Advise for safe shopping, twitter",2
"Information campaign","L3-L4","Against alcohol consumption during confinement",1
"Information campaign","L3-L4","Against fake news",2
"Information campaign","L3-L4","Airport posters",1
"Information campaign","L3-L4","Airport, flyers",1
"Information campaign","L3-L4","Airport, ports and borders sanitation to avoid sources of infection",1
"Information campaign","L3-L4","Airport, railway station / TV , poster, flyers, radio, social media",1
"Information campaign","L3-L4","Airport, railway stations, harbours (poster, flyers) radio, social media, governmential homepages ",1
"Information campaign","L3-L4","Airport, Universities",1
"Information campaign","L3-L4","Airports",1
"Information campaign","L3-L4","Airports. Face-to-face information about self-isolation and symptoms.",1
"Information campaign","L3-L4","All citizens >15 yo receive an email",1
"Information campaign","L3-L4","At airports in Lithuania to advise all travellers about COVID-19",1
"Information campaign","L3-L4","Broadcasting of radio and television prevention spots",1
"Information campaign","L3-L4","Campaign for mental health during covid-19 crisis",5
"Information campaign","L3-L4","Campaign for physical health during covid-19 crisis",2
"Information campaign","L3-L4","Campaign free of charge",1
"Information campaign","L3-L4","Communication on Facebook",3
"Information campaign","L3-L4","Communication via social media",1
"Information campaign","L3-L4","Coronavirus information points at airports and ports",1
"Information campaign","L3-L4","Covid-19 dashboard",1
"Information campaign","L3-L4","Don't lie to the doctor campaign, twitter",2
"Information campaign","L3-L4","Education and sentization on Covid-19",5
"Information campaign","L3-L4","Encourage social connectedness",1
"Information campaign","L3-L4","Facebook",1
"Information campaign","L3-L4","Facebook, youtube",1
"Information campaign","L3-L4","Facilitating voluntary decision-making for patients",1
"Information campaign","L3-L4","Flyers",2
"Information campaign","L3-L4","Flyers and posters at airports",1
"Information campaign","L3-L4","For social distancing",1
"Information campaign","L3-L4","For travellers",1
"Information campaign","L3-L4","Government informs via Facebook",1
