,Measure_L1,Measure_L2,Measure_L3,Measure_L4
1345,Social distancing,Closure of educational institutions,Complete closure of educational institutions,
1347,Travel restriction,Cordon sanitaire,More than one city,
1354,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,Walks and bike riding forbidden
1361,"Case identification, contact tracing and related measures",Border health check,All airports and all harbors,
1362,Travel restriction,Border restriction,Borders closed for people from China,
1367,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Twitter
1368,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Facebook
1369,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,Spot in the national TV
1370,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,Communication on Facebook
1371,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,"hang in pulic spaces (schools, universities, offices and places of transit) the guidelines of the health ministery"
1377,Healthcare and public health capacity,Enhance hand hygiene,Hand sanitizers in public spaces,
1378,Healthcare and public health capacity,Increase availability of PPE,PPE for healthcare professionals,
1379,Healthcare and public health capacity,Increase healthcare workforce,Train medical staff specially for covid-19,Exercises
1380,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,"Forbidden to leave the municipality one is in, also in the case the subject is not in its own household"
1389,Social distancing,Small gathering cancellation,Implement part-time work,
1390,"Case identification, contact tracing and related measures",Specific health channel for travellers,From China,Wuhan
1391,"Case identification, contact tracing and related measures",Surveillance,,
1394,Travel restriction,Airport restriction,,
1398,Social distancing,Return operation of nationals living in regions at risk,Wuhan,Quarantine
1404,Risk communication,Travel alert,Level 1,China
1405,Risk communication,Travel alert,Level 2,China except Hubei province
1406,Risk communication,Travel alert,Level 2,"Wuhan City (Hubei Province, China)"
1407,Risk communication,Travel alert,Level 3,Hubei Province (China)
1408,Risk communication,Call for return of nationals living abroad,Wuhan,Government offers charter aircrafts
1410,"Case identification, contact tracing and related measures",Border health check,Health screening,"Incomings from Wuhan City (Hubei Province, China)"
1411,Social distancing,Return operation of nationals living in regions at risk,Hubei,"Quarantine, test, monitoring"
1413,"Case identification, contact tracing and related measures",Quarantine,Suspected cases,
1417,Healthcare and public health capacity,Enhance emergency response mechanisms,DMAT (Disaster Dispatching Medical Team),
1418,Social distancing,Return operation of nationals living in regions at risk,Hubei,State-facilitated Quarantine
1419,Travel restriction,Border restriction,Denial entry of infected persons,
1420,Travel restriction,Border restriction,Borders closed for people with travel history to China,foreign nationals who have any history of staying in Hubei Province within 14 days and those who possess a Chinese passport issued by Hubei Province
1421,"Case identification, contact tracing and related measures",Enhance detection system,Test those who travelled to high-risk areas,
1422,Travel restriction,Denial entry to boats with more than 100 passengers,With suspected cases or from China,
1424,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans, 500 billion yen
1426,"Case identification, contact tracing and related measures",Quarantine,Asymptomatic carriers,provide treatment
1427,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),PCR machines outsourcing from universities and private labs 
1428,Healthcare and public health capacity,Increase isolation and quarantine facilities,Health follow-up center,
1429,Resource allocation,Crisis management plans,Research,"simple diagnostic kits, antiviral drugs, vaccines,"
1430,Healthcare and public health capacity,Increase patient capacity,Beds,more than 1800 beds made available
1431,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Financial aid for small and medium-sized businesses
1432,Resource allocation,Provide international help,Donating isolated viruses around the world for further research and PPE for Asian Countries,
1434,Healthcare and public health capacity,Increase healthcare workforce,Mobilization of domestic resources for health,mobilization medical reserve personnel from Self-Defense Forces
1435,Travel restriction,Border restriction,Borders closed for non-citizens from high-risk areas other than China, Zhejiang Province
1436,Risk communication,Travel alert,Level 3,"Wenzhou (Zhejiang Province, China)"
1437,Risk communication,Educate and actively communicate with the public,Promote hand hygiene,
1438,Healthcare and public health capacity,Enhance primary healthcare capacity,Increase medical consultation capacity,
1439,Healthcare and public health capacity,Reduce the burden on health systems,Health hotline,medical telephone line (24h) for persons with first symptoms
1441,Risk communication,Educate and actively communicate with the public,Discourage gathering,
1442,Healthcare and public health capacity,Increase patient capacity,Increase number of medical institutions,
1444,Social distancing,Mass gathering cancellation,"Festivals, faith-based events",one public celebration cancelled
1445,Social distancing,Mass gathering cancellation,Sport events,one marathon cancelled
1446,Risk communication,Actively communicate with healthcare professionals,"Sensitization of hospital, medico-social and liberal health professionals",Documentation
1447,Risk communication,Actively communicate with stakeholders,Risk assessment before an event,
1448,Risk communication,Actively communicate with stakeholders,Flexibilization of working hours/school hours,
1451,Healthcare and public health capacity,Research,Clinical trials on COVID-19,"anti-influenza medication, Avigan (Favipiravir)"
1452,"Case identification, contact tracing and related measures",Enhance detection system,Research and test of contacts,Directions how to investigate cluster occurrence
1453,"Case identification, contact tracing and related measures",Enhance detection system,Search for and/or monitor contacts,"Observation of health for highly contacted persons, request to refrain from going out, etc"
1454,"Case identification, contact tracing and related measures",Quarantine,Contact persons,"Observation of health for highly contacted persons, request to refrain from going out, etc"
1458,Risk communication,Actively communicate with stakeholders,,encourage workers to take leave if any cold-like symptoms appear
1460,Healthcare and public health capacity,Case management,Prioritize care,
1462,Risk communication,Use of public transport,Arrange working time to avoid peak hours,
1463,Risk communication,Actively communicate with stakeholders,Encourage event cancellation,
1464,Resource allocation,Crisis management plans,Set up crisis units,Regional
1466,Travel restriction,Border restriction,Borders closed for non-citizens coming from high-risk areas other than China, Daegu City and Cheongdo County (Korea)
1467,Risk communication,Travel alert,Level 2, Daegu City and Cheongdo County (Korea)
1471,Risk communication,Educate and actively communicate with the public,Recommendation for staying at home,
1472,Resource allocation,Fixing price for specific protective products,Masks,
1473,Risk communication,Educate and actively communicate with the public,Advice for avoiding infection,
1474,Risk communication,Actively communicate with stakeholders,Risk assessment before an event,Social distancing
1477,Risk communication,Educate and actively communicate with the public,Activate communication to the public,"website of Ministry of Health, Labour and Welfare"
1480,Healthcare and public health capacity,Increase availability of PPE,Face masks,increase face mask production for medical institutions
1481,Travel restriction,Border restriction,Borders closed for non-citizens coming from high-risk areas other than China,North Gyeongsang Province of the Republic of Korea (ROK) and Qom Province of the Republic of Iran
1482,"Case identification, contact tracing and related measures",Quarantine,,
1483,Travel restriction,Cancellation of international flights,Partial,China and Korea
1484,Travel restriction,Cancellation of international ship transportation of passengers,Partial,China and Korea
1485,Healthcare and public health capacity,Repurpose hospitals,Hospitals prepared to treat,
1487,Risk communication,Actively communicate with stakeholders,Risk assessment before an event,"Cancellation, postponement, or downscaling,  nation-wide events"
1488,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Finacial aid for parents on leave
1489,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Loans for individuals 
1490,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Employment Adjustment Subsidies
1491,Travel restriction,Border restriction,Borders closed for non-citizens coming from high-risk areas other than China,"several states in Iran, several provinces in Italy, and San Marino "
1492,Risk communication,Travel alert,Level 1,rest of the world whitout travel alerts so far
1495,Healthcare and public health capacity,Enhance laboratory testing,Decrease time between test and result,1 hour
1496,Travel restriction,Border restriction,Borders closed for non-citizens coming from high-risk areas other than China,"certain regions of Italy, Spain and Switzerland, and entire Iceland"
1497,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,"all the Schengen countries, as well as Iran and Egypt"
1498,Risk communication,Travel alert,Level 2,USA
1499,Social distancing,Mass gathering cancellation,Sport events,Postponement of the 2020 Olympic
1500,Risk communication,Travel alert,Level 2,rest of the world not specified in other travel alerts
1501,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,Travellers from USA
1502,Healthcare and public health capacity,Enhance emergency response mechanisms,Set up crisis units,Regional
1503,"Case identification, contact tracing and related measures",Border health check,Test at the border,for citizens
1504,Travel restriction,Border restriction,Borders closed for non-citizens coming from high-risk areas other than China,21 European countries and Iran
1505,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,"Travellers from Southeast Asia, the Middle East, and Africa"
1506,Risk communication,Travel alert,Level 3,"(Asia) Indonesia, Korea, Singapore, Thailand, Taiwan, China, Philippines, Brunei, Vietnam, Malaysia (Pacific) Australia, New Zealand (North America) Canada, United States (Latin America) Ecuador, Dominica, Chile, Panama, Brazil , Bolivia (Europe) Albania, Armenia, United Kingdom, Northern Macedonia, Cyprus, Greece, Croatia, Kosovo, Slovakia, Serbia, Czech Republic, Hungary, Finland, Bulgaria, Poland, Bosnia and Herzegovina, Moldova, Montenegro, Latvia, Lithuania, Romania ( Middle East) Israel, Egypt, Turkey, Bahrain (Africa) Cote d'Ivoire, Democratic Republic of Congo, Mauritius, Morocco"
1507,Risk communication,Travel alert,Level 2,All countries / regions with current infectious disease risk information level 1 excluding the countries included in (1) above Level 2
1510,Travel restriction,Denial entry of travellers from China,Complete,
1514,Travel restriction,Denial entry of travellers from China,,
1515,Social distancing,Return operation of nationals living in regions at risk,China,
1517,Travel restriction,Deportation of Chinese nationals,,
1519,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,Quarantine and monitoring
1522,"Case identification, contact tracing and related measures",Enhance detection system,Self-screening ,All incomings from high-risk areas
1523,Travel restriction,Cancellation of international flights,Partial,South Korea
1524,Travel restriction,Cancellation of international flights,Total,Iran
1525,Travel restriction,Cancellation of international flights,Partial,Japan
1526,Travel restriction,Cancellation of international flights,Partial,Azerbaijan
1528,Healthcare and public health capacity,Increase healthcare workforce,Train medical staff specially for covid-19,
1529,Healthcare and public health capacity,Increase availability of PPE,For healthcare professionals,
1530,Healthcare and public health capacity,Increase in medical supplies and equipment,,
1535,Environmental measures,Environmental cleaning and disinfection,"Places of high traffic and capacity (e.g. centers for civil services, markets, train stations, airports, shopping centers, restaurants etc.)",Treatment of surfaces at least 2 times per day 
1540,Healthcare and public health capacity,Repurpose hospitals,Isolation and quarantine,"Opening of specialized clinics for confirmed, suspected cases and quarantined people"
1541,Travel restriction,Stop public transports,Partial,"Limited public transportation during day, and prohibited during night"
1543,Social distancing,Small gathering cancellation,Closure of non-essential shops,Partial
1545,Social distancing,Mass gathering cancellation,Closure of non-essential public places,Complete
1546,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Internet
1547,Social distancing,Small gathering cancellation,Mandatory home office,
1550,"Case identification, contact tracing and related measures",Tracing and monitoring,Smartphone app to report infection / contact,
1551,"Case identification, contact tracing and related measures",Border health check,Test at the border,International arrivals
1553,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,Internet
1554,Social distancing,Small gathering cancellation,Closure of non-essential shops,Complete
1560,Travel restriction,Border restriction,Borders closed for travellers but open for food supply,Partial
1561,Travel restriction,Stop public transports,Partial,
1566,Risk communication,Use of public transport,Discourage use,
1575,Travel restriction,Train transport restrictions,,
1582,Risk communication,Educate and actively communicate with the public,Encourage vaccination against respiratory diseases other than covid19,
1586,Resource allocation,Crisis management plans,Implement repurpose government plans,"400,000EUR for Ministry of Health"
1592,Environmental measures,Environmental cleaning and disinfection,Schools,
1604,Social distancing,Mass gathering cancellation,Indoor activities,"Fitness gym, music classes..."
1608,Environmental measures,Environmental cleaning and disinfection,"All public and private institutions, public and private transports",
1610,Travel restriction,Cancellation of international flights,Partial or total,
1611,Travel restriction,Travel restriction to high-risk areas,High risk areas,Tour groups departure
1625,Travel restriction,Stop public transports,Inter-urban transport ,
1632,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,"precise location (airport, railway station...) and precise channel (TV , poster, flyers, radio, social media)"
1634,"Case identification, contact tracing and related measures",Enhance detection system,Self-screening and reporting of cases via an online tool,
1639,Social distancing,Special measures for certain establishments,,
1648,"Case identification, contact tracing and related measures",Airport health check,Health certificate requested,"Philippines, India, Bangladesh, Egypt, Syria, Azerbaijan, Turkey, Sri Lanka, Georgia and Lebanon."
1651,"Case identification, contact tracing and related measures",Airport health check,Test travellers with fever or symptoms,Travellers from Syria and Egypt
1652,Travel restriction,Airport restriction,Denial entry of travellers from high risk areas other than China,"Philippines, India, Egypt, Syria, Sri Lanka and Lebanon."
1654,Travel restriction,Cancellation of international flights,Toal,Iran
1655,Travel restriction,Cancellation of international flights,Toal,"South Korea, Thailand and Italy"
1660,Risk communication,Educate and actively communicate with the public,Activate communication to the public,"Airport, Universities"
1664,Healthcare and public health capacity,Increase availability of PPE,Face masks,import
1665,Healthcare and public health capacity,Increase availability of PPE,Face masks,For healthcare professionals
1668,Environmental measures,Environmental cleaning and disinfection,Airplanes,
1672,Social distancing,Measures for special populations,Measures to limit contact to long-term care facilities,
1673,"Case identification, contact tracing and related measures",Quarantine,All workers who have been in quarantine should not come back to work,
1675,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,"US, UK, Germany, spain, france"
1677,Social distancing,Return operation of nationals living in regions at risk,Iran,
1678,Social distancing,Return operation of nationals living in regions at risk,Italy,
1679,Social distancing,Return operation of nationals living in regions at risk,UK,
1681,Social distancing,Small gathering cancellation,Mandatory home office,Only Govermental Institutions
1699,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,vulnerable and older population
1703,Healthcare and public health capacity,Increase patient capacity,Emergency hospitals,increase number of beds
1711,Social distancing,Mass gathering cancellation,Indoor activities,Indoor Swimming pool
1720,Travel restriction,Non-essential travels forbidden,To and from Austria,
1726,Social distancing,Special measures for certain establishments,Food services,
1728,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare emergency state,Lithuania declares State of Emergency
1734,Travel restriction,Cancellation of international flights,To Italy,
1735,Travel restriction,Cancellation of international flights,Toal,
1740,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Specialists from the National Public Health Center (NVSC) will be on duty at all three airports in Lithuania to advise all travellers about COVID-19
1742,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,Anyone returning from a foreign country
1745,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,"Austria, China, Denmark, Egypt, France, Germany, Hong Kong Special Administrative Region of the People's Republic of China, Iceland, Iran, Italy, Japan, Netherlands, Norway, Singapore, South Korea, Spain, Sweden and Switzerland"
1753,Social distancing,Mass gathering cancellation,Limit up to 100 persons,Applies to indoor events
1758,"Case identification, contact tracing and related measures",Increase isolation and quarantine facilities,Hotels transform in quarantine facilities,
1759,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,"Austria, China, Denmark, Egypt, France, Germany, Hong Kong Special Administrative Region of the People's Republic of China, Iceland, Iran, Italy, Japan, Netherlands, Norway, Singapore, South Korea, Spain, Sweden and Switzerland"
1761,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,take-away allowed
1762,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),Mobile testing facilities
1763,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),Mobile testing facilities were opened
1764,Travel restriction,Border restriction,Border control extended,Border control was extended for 20 days to 12 April
1765,Social distancing,Special measures for certain establishments,Food services,shops were mandated to control movement of customers within the shops
1766,"Case identification, contact tracing and related measures",Quarantine,All incomings,people who would come from abroad by plane to Vilnius Airport would be quarantined in a hotel
1767,Travel restriction,Stop public transports,Intercities,Major coach companies temporarily suspended their intercity routes
1768,Resource allocation,Crisis management plans,Implement repurpose government plans,create a situation handling committee
1769,Travel restriction,National lockdown,Time extension,the nationwide quarantine was extended to 13 April
1770,Healthcare and public health capacity,Increase availability of PPE,Prohibition of export of protective personal equipment,The Government of Lithuania has banned export of medical equipment to countries outside of the European Union
1771,Resource allocation,Enforce lockdown,Police and army control and sanctions,The Military Police started aiding police and Lithuanian Riflemen's Union in patrolling streets to enforce lockdown rules
1772,Travel restriction,National lockdown,Time extension,The nationwide quarantine was extended to 27 April
1773,Healthcare and public health capacity,Mandatory use of masks in special cases,Public spaces,mandatory requirement to wear protective masks in public spaces
1774,Travel restriction,Cordon sanitaire,One city,The town of Nemenčinė will be put on lockdown from April 16 to April 30
1775,Healthcare and public health capacity,Enhance emergency response mechanisms,National Crisis Preparedness and Response Centre,
1780,Travel restriction,Border restriction,,
1781,Travel restriction,Cancellation of international flights,partial,with China
1787,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,RM40 billion
1789,Risk communication,Educate and actively communicate with the public,Encourage donation for covid19 crisis,
1790,Risk communication,Educate and actively communicate with the public,Encourage workplace hygiene,
1793,Healthcare and public health capacity,Increase in medical supplies and equipment,"Medical equipment, laboratory equipment",
1794,Healthcare and public health capacity,Increase availability of PPE,PPE (not specified),
1796,Environmental measures,Environmental cleaning and disinfection,One school,
1797,Environmental measures,Environmental cleaning and disinfection,Mosks,
1815,Social distancing,Small gathering cancellation,Closure of non-essential working places,non-essential gov and private services
1819,Social distancing,Small gathering cancellation,Closure of non-essential working places,Closure at night of all business stores
1820,Travel restriction,Airports closing for all international flights,,with China
1821,Risk communication,Educate and actively communicate with the public,Reassure on food security,
1824,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),Covid-19 reagents
1825,Healthcare and public health capacity,Increase patient capacity,Isolation wards,Implement isolation wards
1831,Travel restriction,Border restriction,Borders closed,with China
1832,Travel restriction,Border restriction,Borders closed,with Brunei
1833,Travel restriction,Border restriction,Borders closed,
1834,Travel restriction,Border restriction,,with Indonesia
1837,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,RM1.15 billion
1845,"Case identification, contact tracing and related measures",Tracing and monitoring,Cases,digital cuffs
1849,Travel restriction,Airport restriction,No direct filghts to high-risk areas,Honk-kong
1852,Healthcare and public health capacity,Increase isolation and quarantine facilities,Youth center,
1853,Risk communication,Call for return of nationals living abroad,Nationals in China,
1854,"Case identification, contact tracing and related measures",Airport health check,Health screening,All incomings
1855,Healthcare and public health capacity,Increase availability of PPE,Face masks,
1856,Travel restriction,Airport restriction,"Denial entry of travellers from ""high-risk"" countries other than China",
1857,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,"South Korea, Lombardy (Italy), Veneto (Italy), Emilia Romagna (Italy)"
1858,Healthcare and public health capacity,Increase healthcare workforce,Educate healthcare professionals,
1859,Travel restriction,Airport restriction,No direct filghts to high-risk areas,Shangai
1862,Risk communication,Educate and actively communicate with the public,Website  ,
1863,Risk communication,Actively communicate with stakeholders,Fact sheet,
1868,Travel restriction,National lockdown,For 2 weeks,
1869,Risk communication,Educate and actively communicate with the public,Answer to question,provide telephone hotlines covid-19
1873,Social distancing,Curfew,,
1874,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Payment of tax can be reported
1875,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Wage assistance scheme
1876,Resource allocation,Setting price for specific protective products,"Masks, hand sanitizers",
1877,Resource allocation,The government provides food assistance,For vulnerable population,
1878,Risk communication,Educate and actively communicate with the public,A mobile application on Covid-19 called beSafeMoris,
1881,Travel restriction,National lockdown,Extension,
1883,Resource allocation,Receive international help,EU,MUR 11.3 million
1884,Resource allocation,Receive international help,Hydroxychloroquine,Sent by India
1885,"Case identification, contact tracing and related measures",Enhance detection system,Self-screening and reporting of cases via an online tool,Chatbot
1887,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Programas de gasto social
1888,Risk communication,Educate and actively communicate with the public,Recommendation for home office,Suggested 5-day isolation for a state's population. Non-mandatory
1894,Social distancing,Mass gathering cancellation,Indoor activities,"fitness gym, music classes"
1898,Risk communication,Actively communicate with healthcare professionals,Health agencies and emergency healthcare,Workshop
1904,Social distancing,Closure of educational institutions,Partial closure of educational institutions,all institutions
1908,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,https://coronavirus.gob.mx/
1924,Social distancing,Small gathering cancellation,Closure of non-essential working places,"From March 30 to April 30, 2020"
1927,Risk communication,Educate and actively communicate with the public,Answer to questions,Webpage - work-related issues
1928,Healthcare and public health capacity,Increase availability of PPE,"Masks, gloves",
1930,Healthcare and public health capacity,Increase patient capacity,Isolation wards,
1936,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,people from Austria
1938,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,people from Denmark
1939,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,people from France
1940,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,people from Germany
1941,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,people from Iran
1942,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,people from Italy
1943,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,people from Japan
1944,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,people from South Korea
1945,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,people from Spain
1946,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,people from Switzerland
1949,Healthcare and public health capacity,Case management,Prepare to treat patients,
1971,Social distancing,Mass gathering cancellation,Sport events,"football, indoor and outdoor athletic games, marathon runs etc."
1986,Travel restriction,Airport restriction,Denial entry of travellers from high risk areas other than China,Itlay
1987,Travel restriction,Airport restriction,Denial entry of travellers from high risk areas other than China,South Korea
1990,Travel restriction,Border restriction,Borders closed for people from outside Europe,borders closed for 30 days for people from outside Europe
1996,Risk communication,Educate and actively communicate with the public,Encourage hand hygiene,Encourage not to shake hands
1997,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,"Stay at home when show symptoms (fever, coughing, sore throat, rhinitis). Call doctor only if symptoms get worse"
2003,Social distancing,Measures for special populations,Measures to limit contact to the elderly,Recommend not to visit vulnerable persons
2007,Social distancing,Mass gathering cancellation,Indoor activities,sports and fitness clubs
2009,"Case identification, contact tracing and related measures",Surveillance,Implement sentinel study,start to test blood donations if people were infected
2011,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,"Stay at home when show symptoms (fever, coughing, cold)."
2012,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,Call to limit social contacts for a week in one city
2023,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,"Partial quarantine (e.g access to schools, sport gym...restricted)"
2032,Social distancing,Mass gathering cancellation,Limit up to 500 persons,outside
2033,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,$12.1 billion package
2034,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Healthcare
2041,Healthcare and public health capacity,Scale up emergency response mechanisms,Country-wide alert level system,
2050,Healthcare and public health capacity,Scale up emergency response mechanisms,Raise to alert level 3,
2055,Social distancing,Public transport,Prohibition,
2060,Healthcare and public health capacity,Scale up emergency response mechanisms,Raise to alert level 4,
2067,Risk communication,Educate and actively communicate with the public,Scale up communication to the public,Daily newsletter
2068,Risk communication,Educate and actively communicate with the public,Scale up communication to the public,WhatsApp
2079,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare emergency state,2 regions
2080,Travel restriction,Cordon sanitaire,2 regions,
2085,Travel restriction,Border restriction,Border control,
2101,Social distancing,Mass gathering cancellation,Indoor activities,gyms and swimming pools
2109,"Case identification, contact tracing and related measures",Quarantine,People who travelled out of Nordic countries,
2117,Healthcare and public health capacity,Scale up emergency response mechanisms,Highest level of alert,
2123,Travel restriction,Cancellation of international flights,,Precise country/countries
2133,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,For special populations
2162,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Face-to-face information about self-isolation and symptoms for anyopne arriving in Irish ports.
2163,Risk communication,Educate and actively communicate with the public,Promote the 2m distance,Downloadable floor guides
2165,Risk communication,Educate and actively communicate with the public,Recommendation for home office,poster
2167,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,Contact persons
2168,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,Travellers retuning from China and with COVID-19 symptoms
2169,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,Travellers retuning from any affect region and with COVID-19 symptoms.
2170,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,Elderly or medically vulnerable.
2171,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,Symptomatic persons
2172,Healthcare and public health capacity,Enhance emergency response mechanisms,Set up crisis units,National Action Plan on COVID-19
2173,Healthcare and public health capacity,Repurpose hospitals,Requisition private hospitals,
2174,Healthcare and public health capacity,Increase availability of PPE,PPE,Increase number of PPE for healthcare professionals
2175,Healthcare and public health capacity,Increase in medical supplies and equipment,Ventilators,Ventilator stocks
2178,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),Electronic ordering for GPs and enhanced capacity.
2179,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,Emergency legislation passed to restrict individual movements
2180,Social distancing,Mass gathering cancellation,Cultural events,"Closure of museums, galleries and tourism sites"
2181,Social distancing,Mass gathering cancellation,"Festivals, faith-based events",St Patrick's Day events and parades are cancelled
2182,Social distancing,Mass gathering cancellation,Limit up to 100 persons,Indoor
2183,Social distancing,Mass gathering cancellation,Limit up to 500 persons,Outdoor events
2184,Social distancing,Mass gathering cancellation,Place of worship,Restriction of numbers
2185,Social distancing,Mass gathering cancellation,Sport events,Sport events are cancelled.
2190,Social distancing,Measures for special populations,Prisons,Restriction of visiting at prisons
2191,Travel restriction,Non-essential travels forbidden,,Emergency legislation passed to restrict individual travel
2197,Healthcare and public health capacity,Scale up emergency response mechanisms,Law,Health Bill 2020
2198,Social distancing,Small gathering cancellation,Closure of non-essential shops,"All non-essential retail outlets, stores, and services are to close until at least 19th April"
2199,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,Total closure of all pubs and bars.
2200,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,Partial closure of cafes and restaurants
2201,"Case identification, contact tracing and related measures",Tracing and monitoring,Cases,Contact tracing of first person diagnosed with COVID-19 was completed on 28th Feb.
2207,Risk communication,Actively communicate with stakeholders,More exposed professionals (not healthcare),"post worker, repair services (electricity, gas,..)"
2208,Risk communication,Actively communicate with stakeholders,More exposed professionals (not healthcare),Truck drivers
2209,Risk communication,Actively communicate with stakeholders,Strengthen border control,president encourages border police to strengthen border control
2211,Travel restriction,Airport restriction,Specific health channel for travellers from high rish areas,"Quarantine all incoming people from Italy,  China, Iran, South Korea"
2212,Travel restriction,Airport restriction,Specific health channel for travellers from high risk areas,"transport minister , special areas in airport for incoming from affected areas, place to fill in forms, nothing about health check"
2213,Travel restriction,Airport restriction,with Italy,
2214,Travel restriction,Border restriction,Borders closed to all non-citizens,With grounded exceptions
2215,Travel restriction,Border restriction,with Italy,
2216,Risk communication,Call for return of nationals living abroad,,"request to Romanians to shorten stay in Spain, Germany, France and return immediately to Romania"
2218,Healthcare and public health capacity,Case management,Prepare to treat patients,Government designates 6 hospitals for future Covid19-patients
2220,Social distancing,Closure of educational institutions,Complete closure of educational institutions,schools
2221,Social distancing,Closure of educational institutions,Partial closure of educational institutions,1 university
2222,Social distancing,Closure of educational institutions,Partial closure of educational institutions,school class suspended due to one positive pupil
2223,Social distancing,Closure of educational institutions,Partial closure of educational institutions,medical students
2226,Social distancing,Closure of educational institutions,Partial closure of educational institutions,1 high school
2227,Travel restriction,Commercial flights suspended,To and from Spain ,
2228,Travel restriction,Individual movement restrictions,Curfew,Recommendation to limit people movement only for essential reasons between hours 6:00-22:00
2229,Risk communication,Educate and actively communicate with the public,Activate communication to the public,"airport, flyers"
2231,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Prime minister disencourages Romanians living in Italy to return home for Easter.
2233,Risk communication,Educate and actively communicate with the public,Answer to questions,WHO representative in Romania on a TV Show
2234,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,official website of the Ministry for Internal Affairs
2235,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,Prevention spot
2236,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,"TV, radio, social media"
2237,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,Penalties for people not repecting quarantine
2239,Risk communication,Educate and actively communicate with the public,Scale up communication to the public,Official message send to all mobile phone numbers in Romania with basic personal prevention measures
