"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"1631","Risk communication","Educate and actively communicate with the public","Answer to questions","Webpage: launching covid19.go.id site"
"1634","Case identification, contact tracing and related measures","Airport health check","Thermal scanners at train stations","deny access to those with symptoms of high fever"
"1635","Social distancing","Mass gathering cancellation","Cultural events","several tourist destinations in Jakarta were closed for 2 weeks"
"1636","Social distancing","Closure of educational institutions","Schools closed","All"
"1637","Healthcare and public health capacity","Increase patient capacity","Beds","Jakarta provincial government prepared 500 to 1,000 beds"
"1638","Travel restriction","Public transport restriction","Reduce service","started to reduce number of trips, corridors and timetables"
"1639","Social distancing","Measures for public transport","Increase service","reduction policy was retracted due to long queue in many bus stops and train stations in morning"
"1641","Resource allocation","Crisis management plans","Financial allocation","Allocates Rp3tn that will be used to fund the city's fight against the virus up until May"
"1642","Travel restriction","Individual movement restrictions","Curfew","approved on 7 April and is set to take effect from 10 April for at least two weeks"
"1645","Case identification, contact tracing and related measures","Specific health channel for travellers","From China","Wuhan"
"1653","Healthcare and public health capacity","Increase healthcare workforce","Train medical staff specially for covid-19","Exercises"
"1657","Case identification, contact tracing and related measures","Border health check","All airports and all harbors",""
"1658","Risk communication","Educate and actively communicate with the public","Direct government communication","Twitter"
"1660","Risk communication","Educate and actively communicate with the public","Information campaign","Facebook"
"1661","Case identification, contact tracing and related measures","Quarantine","Nationals who travelled to at risk areas","Health monitoring"
"1663","Case identification, contact tracing and related measures","Quarantine","Mandatory for contacts",""
"1665","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Forbidden to leave the municipality one is in, also in the case the subject is not in its own household"
"1667","Social distancing","Mass gathering cancellation","Closure of educational institutions","All"
"1672","Social distancing","Mass gathering cancellation","Closure of educational institutions","Closure of universities"
"1674","Risk communication","Educate and actively communicate with the public","Information campaign","Spot in the national TV"
"1675","Social distancing","Small gathering cancellation","Mandatory home office",""
"1677","Risk communication","Educate and actively communicate with the public","Information campaign","Communication on Facebook"
"1679","Risk communication","Educate and actively communicate with the public","Information campaign","Hang in pulic spaces (schools, universities, offices and places of transit) the guidelines of the health ministery"
"1680","Social distancing","Closure of educational institutions","Complete closure of educational institutions",""
"1681","Healthcare and public health capacity","Increase availability of PPE","Face masks","eleven municipalities in the red zone of the outbreak"
"1682","Risk communication","Actively communicate with stakeholders","Promote hygiene measures and social distancing",""
"1687","Social distancing","Special measures for certain establishments","Emergeny rooms hospitals","Forbidden to accompany patients, to stay in the waiting rooms of the emergency and reception departments and first aid"
"1689","Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities",""
"1692","Social distancing","Mass gathering cancellation","Cultural events","cinemas, pubs, discos"
"1694","Social distancing","Special measures for certain establishments","Food services","Can open of respect social distancing measures"
"1696","Social distancing","Special measures for certain establishments","Shops","Can open of respect social distancing measures"
"1697","Social distancing","Special measures for certain establishments","Gyms, swimming pools and sports centers","Can open of respect social distancing measures"
"1698","Social distancing","Special measures for certain establishments","Place of worship","Can open if distance is respected"
"1699","Healthcare and public health capacity","Reduce the burden on health system","Promote self-initiated quarantine for people with mild respiratory symptoms",""
"1700","Healthcare and public health capacity","Personal protective measures","Enhance hand hygiene","Hand sanitizers in public spaces"
"1701","Environmental measures","Environmental cleaning and disinfection","Public transport",""
"1703","Resource allocation","Police and army interventions","To enforce travel restriction","Enforce lockdown"
"1704","Healthcare and public health capacity","Increase availability of PPE","Face masks","Distriburion"
"1705","Risk communication","Educate and actively communicate with the public","Advice for special populations","FAQ vulnerable persons"
"1707","Risk communication","Educate and actively communicate with the public","hashtag stay at home",""
"1709","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Ordinance March 29, 2020. Further urgent civil protection interventions in relation to the emergency related to the health risk connected to the onset of pathologies deriving from transmissible viral agents. (Ordinance No. 658). (20A01942) "
"1711","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Walks and bike riding forbidden"
"1712","Case identification, contact tracing and related measures","Quarantine","All incomings","By plane, train, sea"
"1713","Social distancing","Small gathering cancellation","Closure of non-essential public places",""
"1714","Travel restriction","Individual movement restrictions","No movements allowed before and during holidays",""
"1715","Healthcare and public health capacity","Reduce the burden on health system","Simplification of the health journey","Ease prescriptions"
"1716","Social distancing","Small gathering cancellation","Closure of non-essential working places","all industrial production activities are suspended commercial, with the exception of those indicated in Annex 1 and save the following. Professional activities are not the forecasts referred to in Article 1, point 7 remain suspended and Decree of the President of the Council of Ministers 11 March 2020."
"1718","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","From today it is forbidden for all natural persons to move or move with public or private means of transport in common other than that in which they are located, except for proven work needs, of absolute urgency or for health reasons."
"1719","Resource allocation","Police and army interventions","To enforce lockdown",""
"1720","Healthcare and public health capacity","Increase availability of PPE","Face masks","Domestic production"
"1721","Risk communication","Educate and actively communicate with the public","Extention measures confinement","Until 14 April 2020"
"1722","Healthcare and public health capacity","Research","Health research","7 million euros"
"1723","Social distancing","Closure of educational institutions","Rules for exams",""
"1724","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Volunteers doctors"
"1725","Risk communication","Educate and actively communicate with the public","Press conference - Extention measures confinement","Until 3 May 2020"
"1726","Returning to normal life","Re-opening of shops","Libraries, stationery stores and shops for babies and children",""
"1727","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracking","Via mobile phone: Voluntary"
"1728","Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions",""
"1729","Resource allocation","Crisis management plans","Financial aid for health system","Allocation for a total of € 900,000,000"
"1731","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Increase domestic production"
"1732","Risk communication","Travel alert","Level 1","China"
"1733","Risk communication","Travel alert","Level 2","China except Hubei province"
"1734","Risk communication","Travel alert","Level 2","Wuhan City (Hubei Province, China)"
"1735","Risk communication","Travel alert","Level 3","Hubei Province (China)"
"1736","Risk communication","Call for return of nationals living abroad","Wuhan","Government offers charter aircrafts"
"1738","Case identification, contact tracing and related measures","Border health check","Health screening","Incomings from Wuhan City (Hubei Province, China)"
"1739","Social distancing","Return operation of nationals","Return operation of nationals in Wuhan and/or Hubei","Special measures: Quarantine, test, monitoring"
"1741","Case identification, contact tracing and related measures","Quarantine","Suspected cases",""
"1744","Social distancing","Return operation of nationals","Return operation of nationals in Wuhan and/or Hubei","Special measure: State-facilitated Quarantine"
"1745","Travel restriction","Border restriction","Entry ban to infected persons",""
"1746","Travel restriction","Border restriction","Entry ban to people with a travel history to China","Foreign nationals who have any history of staying in Hubei Province within 14 days and those who possess a Chinese passport issued by Hubei Province"
"1747","Case identification, contact tracing and related measures","Enhance detection system","Extended testing","Test those who travelled to high-risk areas"
"1748","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Hong Kong"
"1749","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers","Diamond Princess : With suspected cases or from China"
"1751","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","500 billion yen"
"1752","Case identification, contact tracing and related measures","Quarantine","Asymptomatic carriers","provide treatment"
"1753","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","PCR machines outsourcing from universities and private labs"
"1754","Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions","Health follow-up center"
"1755","Resource allocation","Crisis management plans","Research","simple diagnostic kits, antiviral drugs, vaccines,"
"1756","Healthcare and public health capacity","Increase patient capacity","Beds","more than 1800 beds made available"
"1757","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Financial aid for small and medium-sized businesses"
"1758","Resource allocation","Provide international help","Donating isolated viruses around the world for further research and PPE for Asian Countries",""
"1760","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","mobilization medical reserve personnel from Self-Defense Forces"
"1761","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Zhejiang Province"
"1762","Risk communication","Travel alert","Level 3","Wenzhou (Zhejiang Province, China)"
"1764","Healthcare and public health capacity","Increase patient capacity","Increase medical consultation capacity",""
"1765","Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions","536 counseling centers"
"1767","Risk communication","Educate and actively communicate with the public","Discourage gathering",""
"1770","Social distancing","Mass gathering cancellation","Festivals, faith-based events","one public celebration cancelled"
"1771","Social distancing","Mass gathering cancellation","Sport events","one marathon cancelled"
"1772","Risk communication","Actively communicate with healthcare professionals","Sensitization of hospital, medico-social and liberal health professionals","Documentation"
"1773","Risk communication","Actively communicate with stakeholders","Risk assessment before an event",""
"1774","Risk communication","Actively communicate with stakeholders","Flexibilization of working hours/school hours",""
"1777","Healthcare and public health capacity","Research","Clinical trials on COVID-19","anti-influenza medication, Avigan (Favipiravir)"
"1778","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Directions how to investigate cluster occurrence"
"1780","Case identification, contact tracing and related measures","Quarantine","Contact persons","Observation of health for highly contacted persons, request to refrain from going out, etc"
"1784","Risk communication","Actively communicate with stakeholders","","encourage workers to take leave if any cold-like symptoms appear"
"1786","Healthcare and public health capacity","Case management","Prioritize care",""
"1787","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracking",""
"1788","Risk communication","Educate and actively communicate with the public","Use of public transport","Arrange working time to avoid peak hours"
"1789","Risk communication","Actively communicate with stakeholders","Encourage event cancellation",""
"1790","Resource allocation","Emergency response mechanisms","Risk management plan","Set up crisis regional unit"
"1791","Social distancing","Closure of educational institutions","Complete closure of educational institutions","All with exceptions"
"1792","Risk communication","Travel alert","Level 2","Daegu City and Cheongdo County (Korea)"
"1797","Risk communication","Educate and actively communicate with the public","Information campaign","Advice for avoiding infection"
"1798","Risk communication","Actively communicate with stakeholders","Risk assessment before an event","Social distancing"
"1801","Risk communication","Educate and actively communicate with the public","Answer to questions","Webpage of Ministry of Health, Labour and Welfare"
"1804","Healthcare and public health capacity","Increase availability of PPE","Face masks","increase face mask production for medical institutions"
"1805","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","North Gyeongsang Province of the Republic of Korea (ROK) and Qom Province of the Republic of Iran"
"1806","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China and South Korea"
"1807","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: China and Korea"
"1808","Healthcare and public health capacity","Repurpose hospitals","Hospitals prepared to treat",""
"1810","Risk communication","Actively communicate with stakeholders","Risk assessment before an event","Cancellation, postponement, or downscaling,  nation-wide events"
"1811","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Financial aid for parents on leave"
"1812","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Loans for individuals"
"1813","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Employment Adjustment Subsidies"
"1815","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","South Korea, and Iran"
"1816","Risk communication","Travel alert","Level 1",""
"1817","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","postponement of due date of utility bill payments"
"1818","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","grace period of another year for the payment of national taxes and social security premiums"
"1819","Healthcare and public health capacity","Enhance laboratory testing","Decrease time between test and result","1 hour"
"1820","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Europe, Egypt, and Iran"
"1821","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Certain regions of Italy, Spain and Switzerland, and entire Iceland"
"1822","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","all the Schengen countries, as well as Iran and Egypt"
"1823","Risk communication","Travel alert","Level 2","USA"
"1824","Social distancing","Mass gathering cancellation","Sport events","Postponement of the 2020 Olympic"
"1825","Risk communication","Travel alert","Level 2","rest of the world not specified in other travel alerts"
"1826","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Travellers from USA"
"1828","Case identification, contact tracing and related measures","Border health check","Test at the border","for citizens"
"1829","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","21 European countries and Iran"
"1830","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Travellers from Southeast Asia, the Middle East, and Africa"
"1831","Risk communication","Travel alert","Level 3","(Asia) Indonesia, Korea, Singapore, Thailand, Taiwan, China, Philippines, Brunei, Vietnam, Malaysia (Pacific) Australia, New Zealand (North America) Canada, United States (Latin America) Ecuador, Dominica, Chile, Panama, Brazil , Bolivia (Europe) Albania, Armenia, United Kingdom, Northern Macedonia, Cyprus, Greece, Croatia, Kosovo, Slovakia, Serbia, Czech Republic, Hungary, Finland, Bulgaria, Poland, Bosnia and Herzegovina, Moldova, Montenegro, Latvia, Lithuania, Romania ( Middle East) Israel, Egypt, Turkey, Bahrain (Africa) Cote d'Ivoire, Democratic Republic of Congo, Mauritius, Morocco"
"1832","Risk communication","Travel alert","Level 2","All countries / regions with current infectious disease risk information level 1 excluding the countries included in (1) above Level 2"
"1834","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Declare state of emergency"
"1835","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support for small and medium enterprises"
"1836","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Visa restriction for: Schengen countries (Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden and Switzerland), Andorra, Bulgaria, Croatia, Cyprus, Egypt, Iran, Ireland, Monaco, Romania, San Marino, the United Kingdom, and Vatican"
"1837","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Persons with a travel history in the past 14 days in those regions are banned from landing: China, South Korea, Italy, San Marino, Switzerland, Spain, Iceland, Iran + Foreigners who have Chinese passports issued in Hubei Province or Zhejiang Province of the People's Republic of China + Foreigners who were on the cruise ship Westerdam, departed from Hong Kong"
"1838","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Visa restriction for: persons with a visa issued from high-risk regions"
"1839","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Rapid virus detector ""GeneSoC"""
"1840","Resource allocation","Provide international help","Emergency grant",""
"1841","Risk communication","Educate and actively communicate with the public","Encourage individual movement restriction",""
"1842","Resource allocation","Emergency response mechanisms","Declare state of emergency","7 prefectures"
"1843","Healthcare and public health capacity","Increase healthcare workforce","Train medical staff specially for covid-19","Nurses sent in Wuhan"
"1844","Resource allocation","Emergency response mechanisms","Disaster Relief for prevention of spread of the infection","Japan Self-Defense Forces Engagement"
"1845","Resource allocation","Emergency response mechanisms","Risk management plan","Disaster Relief for prevention of spread of the infection"
"1846","Case identification, contact tracing and related measures","Specific health channel for travellers","All incomings are tested at the airport","Test"
"1847","Resource allocation","Provide international help","Assistance on the cruise ship Diamond Princess",""
"1848","Resource allocation","Emergency response mechanisms","Declare state of emergency","National"
"1849","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Households"
"1851","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Enterprises"
"1852","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Deferring tax payment"
"1853","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Increase list of countries: 87 countries"
"1854","Risk communication","Travel alert","Level 2: whole world",""
"1855","Risk communication","Educate and actively communicate with the public","Information campaign","For social distancing"
"1857","Risk communication","Actively communicate with stakeholders","Leaflets","Explaining industry-based support"
"1858","Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Face masks"
"1859","Healthcare and public health capacity","Increase isolation and quarantine facilities","For nationals incoming",""
"1860","Healthcare and public health capacity","Increase availability of PPE","Protective gears, face masks, googgles","Donation by Government of Jordan"
"1862","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China, South Korea"
"1863","Travel restriction","Border restriction","Entry ban for people from China",""
"1864","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Increase list of countries: 73 countries"
"1867","Travel restriction","Border restriction","Entry ban for people from China","China: Transit visas are no longer issued for Chinese nationals."
"1868","Travel restriction","Border restriction","Ban on passenger transport from China","Busses from China"
"1869","Travel restriction","Border restriction","Ban on passenger transport from China","Trains from China"
"1870","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","China"
"1871","Travel restriction","Border restriction","Entry ban for people from China","China: Visas of any kind are no longer issued for Chinese nationals. "
"1874","Travel restriction","Border restriction","Force departure of Chinese nationals","Deportation of Chinese nationals"
"1876","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Nationals from China and Iran"
"1877","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Nationals arriving from South Korea, Japan, Italy, Hong Kong, Taiwan, Macao"
"1878","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Nationals travelling from a country with 10 or more confirmed cases"
"1879","Case identification, contact tracing and related measures","Enhance detection system","Self-screening","All incomings from high-risk areas"
"1880","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: South Korea"
"1881","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Iran"
"1882","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Japan"
"1883","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Azerbaijan"
"1886","Healthcare and public health capacity","Increase availability of PPE","For healthcare professionals",""
"1887","Healthcare and public health capacity","Increase in medical supplies and equipment","",""
"1892","Environmental measures","Environmental cleaning and disinfection","Places of high traffic and capacity (e.g. centers for civil services, markets, train stations, airports, shopping centers, restaurants etc.)","Treatment of surfaces at least 2 times per day"
"1897","Healthcare and public health capacity","Repurpose hospitals","Isolation and quarantine","Opening of specialized clinics for confirmed, suspected cases and quarantined people"
"1898","Travel restriction","Public transport restriction","Partial","Limited public transportation during day, and prohibited during night"
"1900","Social distancing","Small gathering cancellation","Closure of non-essential shops","Partial"
"1902","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Complete"
"1903","Risk communication","Educate and actively communicate with the public","Answer to questions","Official webpage"
"1905","Travel restriction","Cordon sanitaire","More than one city",""
"1908","Case identification, contact tracing and related measures","Border health check","Test at the border","International arrivals"
"1910","Risk communication","Educate and actively communicate with the public","Information campaign","Covid-19 dashboard"
"1911","Social distancing","Small gathering cancellation","Closure of non-essential shops","Complete"
"1917","Travel restriction","Cordon sanitaire","Partial","21.00 to 07.00"
"1918","Travel restriction","Public transport restriction","Partial","Public transport works from 6AM - 9PM"
"1921","Social distancing","Special measures for certain establishments","Catering places","Temperature check at entrance "
"1926","Travel restriction","Cordon sanitaire","Partial",""
"1932","Travel restriction","Public transport restriction","Train restriction","Train traffic suspended"
"1939","Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19",""
"1943","Resource allocation","Crisis management plans","Implement repurpose government plans","400,000EUR for Ministry of Health"
"1949","Environmental measures","Environmental cleaning and disinfection","Schools",""
"1961","Social distancing","Mass gathering cancellation","Indoor activities","Fitness gym, music classes…Swimming pools, night clubs"
"1965","Environmental measures","Environmental cleaning and disinfection","Public and private institutions, public and private transports",""
"1967","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: high-risk areas"
"1968","Travel restriction","Border restriction","Travel ban to high-risk areas","Tour group departure"
"1982","Travel restriction","Public transport restriction","Public transport ban","Inter-urban transport"
"1991","Case identification, contact tracing and related measures","Enhance detection system","Self-screening","Self-screening and reporting of cases via an online tool"
"1992","Case identification, contact tracing and related measures","Quarantine","",""
"1995","Social distancing","Mass gathering cancellation","Outdoor activities",""
"1998","Resource allocation","Crisis management plans","The government changed the whole board of directors of the main hospital",""
"2002","Resource allocation","Receive international help","From the EU","5 million euros "
"2003","Resource allocation","Receive international help","From the US embassy","1.1. million dollars"
"2004","Case identification, contact tracing and related measures","Airport health check","Health certificate requested","Philippines, India, Bangladesh, Egypt, Syria, Azerbaijan, Turkey, Sri Lanka, Georgia and Lebanon."
"2007","Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms","Travellers from Syria and Egypt"
"2008","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Philippines, India, Egypt, Syria, Sri Lanka and Lebanon."
"2011","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: South Korea, Thailand and Italy"
"2016","Risk communication","Educate and actively communicate with the public","Information campaign","Airport, Universities"
"2020","Healthcare and public health capacity","Increase availability of PPE","Face masks","import"
"2021","Healthcare and public health capacity","Increase availability of PPE","Face masks","For healthcare professionals"
"2024","Environmental measures","Environmental cleaning and disinfection","Airplanes",""
"2029","Case identification, contact tracing and related measures","Quarantine","All workers who have been in quarantine should not come back to work",""
"2031","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","US, UK, Germany, spain, france"
"2032","Case identification, contact tracing and related measures","Quarantine","Cases",""
"2033","Social distancing","Return operation of nationals","Return operation of nationals in Iran","Special measure: Quarantine"
"2035","Social distancing","Return operation of nationals","Return operation of nationals in United Kingdom","Special measure: Quarantine"
"2037","Social distancing","Small gathering cancellation","Mandatory home office","Only Govermental Institutions"
"2044","Social distancing","Closure of educational institutions","Partial closure of educational institutions","Partial closure of kindergartens"
"2051","Risk communication","Educate and actively communicate with the public","Information campaign","Press release"
"2055","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","vulnerable and older population"
"2057","Case identification, contact tracing and related measures","Enhance detection system","Speed notification",""
"2059","Healthcare and public health capacity","Increase patient capacity","Emergency hospitals","increase number of beds"
"2061","Resource allocation","Police and army interventions","To enforce social distancing","Police controls to prevent mass gatherings"
"2067","Social distancing","Mass gathering cancellation","Indoor activities","Indoor Swimming pool"
"2076","Travel restriction","Border restriction","Travel ban to high-risk areas","To and from Austria"
"2083","Social distancing","Special measures for certain establishments","Food services","Can open of < 50 persons"
"2095","Risk communication","Educate and actively communicate with the public","Information campaign","At airports in Lithuania to advise all travellers about COVID-19"
"2097","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Anyone returning from a foreign country"
"2100","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Austria, China, Denmark, Egypt, France, Germany, Hong Kong Special Administrative Region of the People's Republic of China, Iceland, Iran, Italy, Japan, Netherlands, Norway, Singapore, South Korea, Spain, Sweden and Switzerland"
"2108","Social distancing","Mass gathering cancellation","Limit up to 100 persons","Applies to indoor events"
"2113","Healthcare and public health capacity","Increase isolation and quarantine facilities","Hotels transformed in quarantine facilities",""
"2114","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Austria, China, Denmark, Egypt, France, Germany, Hong Kong Special Administrative Region of the People's Republic of China, Iceland, Iran, Italy, Japan, Netherlands, Norway, Singapore, South Korea, Spain, Sweden and Switzerland"
"2116","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","take-away allowed"
"2117","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Mobile testing facilities"
"2118","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Mobile testing facilities were opened"
"2119","Travel restriction","Border restriction","Land border controls","Border control was extended for 20 days to 12 April"
"2120","Social distancing","Special measures for certain establishments","Food services","shops were mandated to control movement of customers within the shops"
"2121","Case identification, contact tracing and related measures","Quarantine","All incomings","people who would come from abroad by plane to Vilnius Airport would be quarantined in a hotel"
"2122","Travel restriction","Public transport restriction","Public transport ban","Intercities"
"2123","Resource allocation","Crisis management plans","Implement repurpose government plans","create a situation handling committee"
"2124","Travel restriction","National lockdown","Time extension","the nationwide quarantine was extended to 13 April"
"2125","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment","The Government of Lithuania has banned export of medical equipment to countries outside of the European Union"
"2127","Travel restriction","National lockdown","Time extension","The nationwide quarantine was extended to 27 April"
"2129","Travel restriction","Cordon sanitaire","One city","The town of Nemen?in? will be put on lockdown from April 16 to April 30"
"2135","Travel restriction","Border restriction","",""
"2142","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","RM40 billion"
"2144","Risk communication","Educate and actively communicate with the public","Encourage donation for covid19 crisis",""
"2145","Risk communication","Educate and actively communicate with the public","Encourage workplace hygiene",""
"2148","Healthcare and public health capacity","Increase in medical supplies and equipment","Medical equipment, laboratory equipment",""
"2149","Healthcare and public health capacity","Increase availability of PPE","PPE (not specified)",""
"2151","Environmental measures","Environmental cleaning and disinfection","One school",""
"2152","Environmental measures","Environmental cleaning and disinfection","Mosks",""
"2164","Travel restriction","Port and ship restriction","Reduced ferry service",""
"2169","Social distancing","Small gathering cancellation","Closure of non-essential working places","non-essential gov and private services"
"2171","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Nationals who travelled to at risk areas"
"2173","Social distancing","Small gathering cancellation","Closure of non-essential working places","Closure at night of all business stores"
"2175","Risk communication","Educate and actively communicate with the public","Reassure on food security",""
"2178","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Covid-19 reagents"
"2179","Healthcare and public health capacity","Increase patient capacity","Isolation wards","Implement isolation wards"
"2180","Resource allocation","Police and army interventions","To enforce quarantine","Under arrest if broken"
"2187","Travel restriction","Border restriction","Land borders closed","Borders closed except Brunei and Kalimantan"
"2190","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","special financial aid package RM1.15 billion"
"2191","Social distancing","Mass gathering cancellation","Complete prohibition of gathering","Movement Control Order 18 March"
"2192","Social distancing","Mass gathering cancellation","Limit up to 50 persons","Movement Control Order 18 March"
"2193","Case identification, contact tracing and related measures","Quarantine","All incomings","Movement Control Order 18 March"
"2194","Social distancing","Small gathering cancellation","Closure of non-essential working places","Movement Control Order 18 March"
"2198","Case identification, contact tracing and related measures","Tracing and tracking","Case tracking","Compulsory digital cuffs"
"2201","Travel restriction","Border restriction","Entry ban to people with a travel history to China",""
"2202","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of flights: Honk-Kong"
"2205","Healthcare and public health capacity","Increase isolation and quarantine facilities","One youth center transformed in quarantine facilities",""
"2206","Risk communication","Call for return of nationals living abroad","Nationals in China",""
"2207","Case identification, contact tracing and related measures","Airport health check","Health screening","All incomings"
"2209","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from South Korea, Lombardy, Veneto, Emilia Romaga"
"2210","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","South Korea, Lombardy (Italy), Veneto (Italy), Emilia Romagna (Italy)"
"2211","Healthcare and public health capacity","Increase healthcare workforce","Educate healthcare professionals",""
"2212","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of flights: Shanghai"
"2215","Risk communication","Educate and actively communicate with the public","Website",""
"2216","Risk communication","Actively communicate with stakeholders","Fact sheet",""
"2219","Travel restriction","Public transport restriction","Reduced metro service","Metro"
"2221","Travel restriction","National lockdown","For 2 weeks",""
"2224","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers",""
"2225","Travel restriction","Public transport restriction","Reduced bus service","Buses"
"2227","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Payment of tax can be reported"
"2228","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Wage assistance scheme"
"2229","Resource allocation","Measures to ensure security of supply","Remove VAT","Hand sanitizers and face masks"
"2230","Resource allocation","Crisis management plans","The government provides food assistance","For vulnerable population"
"2231","Risk communication","Educate and actively communicate with the public","Answer to questions","Mobile application on Covid-19 called beSafeMoris"
"2234","Travel restriction","National lockdown","Extension",""
"2236","Resource allocation","Receive international help","EU","MUR 11.3 million"
"2237","Resource allocation","Receive international help","Hydroxychloroquine","Sent by India"
"2238","Case identification, contact tracing and related measures","Enhance detection system","Self-screening","Self-screening and reporting of cases via an online tool: Chatbot"
"2240","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Programas de gasto social"
