"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"1496","Case identification, contact tracing and related measures","Border health check","All airports and all harbors",""
"1497","Risk communication","Educate and actively communicate with the public","Direct government communication","Twitter"
"1499","Risk communication","Educate and actively communicate with the public","Information campaign","Facebook"
"1500","Case identification, contact tracing and related measures","Quarantine","Nationals who travelled to at risk areas","Health monitoring"
"1502","Case identification, contact tracing and related measures","Quarantine","Mandatory for contacts",""
"1504","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Forbidden to leave the municipality one is in, also in the case the subject is not in its own household"
"1506","Social distancing","Mass gathering cancellation","Closure of educational institutions","All"
"1511","Social distancing","Mass gathering cancellation","Closure of educational institutions","Closure of universities"
"1513","Risk communication","Educate and actively communicate with the public","Information campaign","Spot in the national TV"
"1514","Social distancing","Small gathering cancellation","Mandatory home office",""
"1516","Risk communication","Educate and actively communicate with the public","Information campaign","Communication on Facebook"
"1518","Risk communication","Educate and actively communicate with the public","Information campaign","Hang in pulic spaces (schools, universities, offices and places of transit) the guidelines of the health ministery"
"1519","Social distancing","Closure of educational institutions","Complete closure of educational institutions",""
"1520","Healthcare and public health capacity","Increase availability of PPE","Face masks","eleven municipalities in the red zone of the outbreak"
"1521","Risk communication","Actively communicate with stakeholders","Promote hygiene measures and social distancing",""
"1526","Social distancing","Special measures for certain establishments","Emergeny rooms hospitals","Forbidden to accompany patients, to stay in the waiting rooms of the emergency and reception departments and first aid"
"1528","Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities",""
"1531","Social distancing","Mass gathering cancellation","Cultural events","cinemas, pubs, discos"
"1533","Social distancing","Special measures for certain establishments","Food services","Can open of respect social distancing measures"
"1535","Social distancing","Special measures for certain establishments","Shops","Can open of respect social distancing measures"
"1536","Social distancing","Special measures for certain establishments","Gyms, swimming pools and sports centers","Can open of respect social distancing measures"
"1537","Social distancing","Special measures for certain establishments","Place of worship","Can open if distance is respected"
"1538","Healthcare and public health capacity","Reduce the burden on health system","Promote self-initiated quarantine for people with mild respiratory symptoms",""
"1539","Healthcare and public health capacity","Personal protective measures","Enhance hand hygiene","Hand sanitizers in public spaces"
"1540","Environmental measures","Environmental cleaning and disinfection","Public transport",""
"1542","Resource allocation","Police and army interventions","To enforce travel restriction","Enforce lockdown"
"1543","Healthcare and public health capacity","Increase availability of PPE","Face masks","Distriburion"
"1544","Risk communication","Educate and actively communicate with the public","Communication targets special populations","FAQ vulnerable persons"
"1546","Risk communication","Educate and actively communicate with the public","hashtag stay at home",""
"1548","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Ordinance March 29, 2020. Further urgent civil protection interventions in relation to the emergency related to the health risk connected to the onset of pathologies deriving from transmissible viral agents. (Ordinance No. 658). (20A01942) "
"1550","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Walks and bike riding forbidden"
"1551","Case identification, contact tracing and related measures","Quarantine","All incomings","By plane, train, sea"
"1552","Social distancing","Small gathering cancellation","Closure of non-essential public places",""
"1553","Travel restriction","Individual movement restrictions","No movements allowed before and during holidays",""
"1554","Healthcare and public health capacity","Reduce the burden on health system","Simplification of the health journey","Ease prescriptions"
"1555","Social distancing","Small gathering cancellation","Closure of non-essential working places","all industrial production activities are suspended commercial, with the exception of those indicated in Annex 1 and save the following. Professional activities are not the forecasts referred to in Article 1, point 7 remain suspended and Decree of the President of the Council of Ministers 11 March 2020."
"1557","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","From today it is forbidden for all natural persons to move or move with public or private means of transport in common other than that in which they are located, except for proven work needs, of absolute urgency or for health reasons."
"1558","Resource allocation","Police and army interventions","To enforce lockdown",""
"1559","Healthcare and public health capacity","Increase availability of PPE","Face masks","Domestic production"
"1560","Risk communication","Educate and actively communicate with the public","Extention measures confinement","Until 14 April 2020"
"1561","Healthcare and public health capacity","Research","Health research","7 million euros"
"1562","Social distancing","Closure of educational institutions","Rules for exams",""
"1563","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Volunteers doctors"
"1564","Risk communication","Educate and actively communicate with the public","Press conference - Extention measures confinement","Until 3 May 2020"
"1565","Returning to normal life","Re-opening of shops","Libraries, stationery stores and shops for babies and children",""
"1566","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracking","Via mobile phone: Voluntary"
"1567","Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions",""
"1568","Resource allocation","Crisis management plans","Financial aid for health system","Allocation for a total of € 900,000,000"
"1570","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Increase domestic production"
"1571","Risk communication","Travel alert","Level 1","China"
"1572","Risk communication","Travel alert","Level 2","China except Hubei province"
"1573","Risk communication","Travel alert","Level 2","Wuhan City (Hubei Province, China)"
"1574","Risk communication","Travel alert","Level 3","Hubei Province (China)"
"1575","Risk communication","Call for return of nationals living abroad","Wuhan","Government offers charter aircrafts"
"1577","Case identification, contact tracing and related measures","Border health check","Health screening","Incomings from Wuhan City (Hubei Province, China)"
"1578","Social distancing","Return operation of nationals","Return operation of nationals in Wuhan and/or Hubei","Special measures: Quarantine, test, monitoring"
"1580","Case identification, contact tracing and related measures","Quarantine","Suspected cases",""
"1583","Social distancing","Return operation of nationals","Return operation of nationals in Wuhan and/or Hubei","Special measure: State-facilitated Quarantine"
"1584","Travel restriction","Border restriction","Entry ban to infected persons",""
"1585","Travel restriction","Border restriction","Entry ban to people with a travel history to China","Foreign nationals who have any history of staying in Hubei Province within 14 days and those who possess a Chinese passport issued by Hubei Province"
"1586","Case identification, contact tracing and related measures","Enhance detection system","Extended testing","Test those who travelled to high-risk areas"
"1587","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Hong Kong"
"1588","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers","Diamond Princess : With suspected cases or from China"
"1590","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","500 billion yen"
"1591","Case identification, contact tracing and related measures","Quarantine","Asymptomatic carriers","provide treatment"
"1592","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","PCR machines outsourcing from universities and private labs"
"1593","Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions","Health follow-up center"
"1594","Resource allocation","Crisis management plans","Research","simple diagnostic kits, antiviral drugs, vaccines,"
"1595","Healthcare and public health capacity","Increase patient capacity","Beds","more than 1800 beds made available"
"1596","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Financial aid for small and medium-sized businesses"
"1597","Resource allocation","Provide international help","Donating isolated viruses around the world for further research and PPE for Asian Countries",""
"1599","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","mobilization medical reserve personnel from Self-Defense Forces"
"1600","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Zhejiang Province"
"1601","Risk communication","Travel alert","Level 3","Wenzhou (Zhejiang Province, China)"
"1602","Risk communication","Educate and actively communicate with the public","Promote hand hygiene",""
"1603","Healthcare and public health capacity","Increase patient capacity","Increase medical consultation capacity",""
"1604","Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions","536 counseling centers"
"1606","Risk communication","Educate and actively communicate with the public","Discourage gathering",""
"1609","Social distancing","Mass gathering cancellation","Festivals, faith-based events","one public celebration cancelled"
"1610","Social distancing","Mass gathering cancellation","Sport events","one marathon cancelled"
"1611","Risk communication","Actively communicate with healthcare professionals","Sensitization of hospital, medico-social and liberal health professionals","Documentation"
"1612","Risk communication","Actively communicate with stakeholders","Risk assessment before an event",""
"1613","Risk communication","Actively communicate with stakeholders","Flexibilization of working hours/school hours",""
"1616","Healthcare and public health capacity","Research","Clinical trials on COVID-19","anti-influenza medication, Avigan (Favipiravir)"
"1617","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Directions how to investigate cluster occurrence"
"1619","Case identification, contact tracing and related measures","Quarantine","Contact persons","Observation of health for highly contacted persons, request to refrain from going out, etc"
"1623","Risk communication","Actively communicate with stakeholders","","encourage workers to take leave if any cold-like symptoms appear"
"1625","Healthcare and public health capacity","Case management","Prioritize care",""
"1626","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracking",""
"1627","Risk communication","Educate and actively communicate with the public","Use of public transport","Arrange working time to avoid peak hours"
"1628","Risk communication","Actively communicate with stakeholders","Encourage event cancellation",""
"1629","Resource allocation","Emergency response mechanisms","Activate emergency response mechanisms","Set up crisis regional units"
"1630","Social distancing","Closure of educational institutions","Complete closure of educational institutions","All with exceptions"
"1631","Risk communication","Travel alert","Level 2","Daegu City and Cheongdo County (Korea)"
"1636","Risk communication","Educate and actively communicate with the public","Information campaign","Advice for avoiding infection"
"1637","Risk communication","Actively communicate with stakeholders","Risk assessment before an event","Social distancing"
"1640","Risk communication","Educate and actively communicate with the public","Answer to questions","Webpage of Ministry of Health, Labour and Welfare"
"1643","Healthcare and public health capacity","Increase availability of PPE","Face masks","increase face mask production for medical institutions"
"1644","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","North Gyeongsang Province of the Republic of Korea (ROK) and Qom Province of the Republic of Iran"
"1645","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China and South Korea"
"1646","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: China and Korea"
"1647","Healthcare and public health capacity","Repurpose hospitals","Hospitals prepared to treat",""
"1649","Risk communication","Actively communicate with stakeholders","Risk assessment before an event","Cancellation, postponement, or downscaling,  nation-wide events"
"1650","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Financial aid for parents on leave"
"1651","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Loans for individuals"
"1652","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Employment Adjustment Subsidies"
"1654","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","South Korea, and Iran"
"1655","Risk communication","Travel alert","Level 1",""
"1656","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","postponement of due date of utility bill payments"
"1657","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","grace period of another year for the payment of national taxes and social security premiums"
"1658","Healthcare and public health capacity","Enhance laboratory testing","Decrease time between test and result","1 hour"
"1659","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Europe, Egypt, and Iran"
"1660","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Certain regions of Italy, Spain and Switzerland, and entire Iceland"
"1661","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","all the Schengen countries, as well as Iran and Egypt"
"1662","Risk communication","Travel alert","Level 2","USA"
"1663","Social distancing","Mass gathering cancellation","Sport events","Postponement of the 2020 Olympic"
"1664","Risk communication","Travel alert","Level 2","rest of the world not specified in other travel alerts"
"1665","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Travellers from USA"
"1666","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Set up crisis units: regional"
"1667","Case identification, contact tracing and related measures","Border health check","Test at the border","for citizens"
"1668","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","21 European countries and Iran"
"1669","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Travellers from Southeast Asia, the Middle East, and Africa"
"1670","Risk communication","Travel alert","Level 3","(Asia) Indonesia, Korea, Singapore, Thailand, Taiwan, China, Philippines, Brunei, Vietnam, Malaysia (Pacific) Australia, New Zealand (North America) Canada, United States (Latin America) Ecuador, Dominica, Chile, Panama, Brazil , Bolivia (Europe) Albania, Armenia, United Kingdom, Northern Macedonia, Cyprus, Greece, Croatia, Kosovo, Slovakia, Serbia, Czech Republic, Hungary, Finland, Bulgaria, Poland, Bosnia and Herzegovina, Moldova, Montenegro, Latvia, Lithuania, Romania ( Middle East) Israel, Egypt, Turkey, Bahrain (Africa) Cote d'Ivoire, Democratic Republic of Congo, Mauritius, Morocco"
"1671","Risk communication","Travel alert","Level 2","All countries / regions with current infectious disease risk information level 1 excluding the countries included in (1) above Level 2"
"1672","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Declare nationwide state of emergency"
"1673","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Declare state of emergency"
"1676","Travel restriction","Border restriction","Entry ban for people from China","China: Transit visas are no longer issued for Chinese nationals."
"1677","Travel restriction","Border restriction","Ban on passenger transport from China","Busses from China"
"1678","Travel restriction","Border restriction","Ban on passenger transport from China","Trains from China"
"1679","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","China"
"1680","Travel restriction","Border restriction","Entry ban for people from China","China: Visas of any kind are no longer issued for Chinese nationals. "
"1682","Social distancing","Return operation of nationals","Return operation of nationals in China","Special measure: Quarantine"
"1683","Travel restriction","Border restriction","Force departure of Chinese nationals","Deportation of Chinese nationals"
"1685","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Nationals from China and Iran"
"1686","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Nationals arriving from South Korea, Japan, Italy, Hong Kong, Taiwan, Macao"
"1687","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Nationals travelling from a country with 10 or more confirmed cases"
"1688","Case identification, contact tracing and related measures","Enhance detection system","Self-screening","All incomings from high-risk areas"
"1689","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: South Korea"
"1690","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Iran"
"1691","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Japan"
"1692","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Azerbaijan"
"1695","Healthcare and public health capacity","Increase availability of PPE","For healthcare professionals",""
"1696","Healthcare and public health capacity","Increase in medical supplies and equipment","",""
"1701","Environmental measures","Environmental cleaning and disinfection","Places of high traffic and capacity (e.g. centers for civil services, markets, train stations, airports, shopping centers, restaurants etc.)","Treatment of surfaces at least 2 times per day"
"1706","Healthcare and public health capacity","Repurpose hospitals","Isolation and quarantine","Opening of specialized clinics for confirmed, suspected cases and quarantined people"
"1707","Travel restriction","Public transport restriction","Partial","Limited public transportation during day, and prohibited during night"
"1709","Social distancing","Small gathering cancellation","Closure of non-essential shops","Partial"
"1711","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Complete"
"1712","Risk communication","Educate and actively communicate with the public","Answer to questions","Official webpage"
"1714","Travel restriction","Cordon sanitaire","More than one city",""
"1717","Case identification, contact tracing and related measures","Border health check","Test at the border","International arrivals"
"1719","Risk communication","Educate and actively communicate with the public","Information campaign","Covid-19 dashboard"
"1720","Social distancing","Small gathering cancellation","Closure of non-essential shops","Complete"
"1726","Travel restriction","Cordon sanitaire","Partial","21.00 to 07.00"
"1727","Travel restriction","Public transport restriction","Partial","Public transport works from 6AM - 9PM"
"1730","Social distancing","Special measures for certain establishments","Catering places","Temperature check at entrance "
"1735","Travel restriction","Cordon sanitaire","Partial",""
"1741","Travel restriction","Public transport restriction","Train restriction","Train traffic suspended"
"1748","Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19",""
"1752","Resource allocation","Crisis management plans","Implement repurpose government plans","400,000EUR for Ministry of Health"
"1758","Environmental measures","Environmental cleaning and disinfection","Schools",""
"1770","Social distancing","Mass gathering cancellation","Indoor activities","Fitness gym, music classes…Swimming pools, night clubs"
"1774","Environmental measures","Environmental cleaning and disinfection","All public and private institutions, public and private transports",""
"1776","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: high-risk areas"
"1777","Travel restriction","Border restriction","Travel ban to high-risk areas","Tour group departure"
"1792","Travel restriction","Public transport restriction","Public transport ban","Inter-urban transport"
"1801","Case identification, contact tracing and related measures","Enhance detection system","Self-screening","Self-screening and reporting of cases via an online tool"
"1802","Case identification, contact tracing and related measures","Quarantine","",""
"1805","Social distancing","Mass gathering cancellation","Outdoor activities",""
"1808","Resource allocation","Crisis management plans","The government changed the whole board of directors of the main hospital",""
"1812","Resource allocation","Receive international help","From the EU","5 million euros "
"1813","Resource allocation","Receive international help","From the US embassy","1.1. million dollars"
"1814","Case identification, contact tracing and related measures","Airport health check","Health certificate requested","Philippines, India, Bangladesh, Egypt, Syria, Azerbaijan, Turkey, Sri Lanka, Georgia and Lebanon."
"1817","Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms","Travellers from Syria and Egypt"
"1818","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Philippines, India, Egypt, Syria, Sri Lanka and Lebanon."
"1821","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: South Korea, Thailand and Italy"
"1826","Risk communication","Educate and actively communicate with the public","Information campaign","Airport, Universities"
"1830","Healthcare and public health capacity","Increase availability of PPE","Face masks","import"
"1831","Healthcare and public health capacity","Increase availability of PPE","Face masks","For healthcare professionals"
"1834","Environmental measures","Environmental cleaning and disinfection","Airplanes",""
"1839","Case identification, contact tracing and related measures","Quarantine","All workers who have been in quarantine should not come back to work",""
"1841","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","US, UK, Germany, spain, france"
"1842","Case identification, contact tracing and related measures","Quarantine","Cases",""
"1843","Social distancing","Return operation of nationals","Return operation of nationals in Iran","Special measure: Quarantine"
"1845","Social distancing","Return operation of nationals","Return operation of nationals in United Kingdom","Special measure: Quarantine"
"1847","Social distancing","Small gathering cancellation","Mandatory home office","Only Govermental Institutions"
"1854","Social distancing","Closure of educational institutions","Partial closure of educational institutions","Partial closure of kindergartens"
"1861","Risk communication","Educate and actively communicate with the public","Information campaign","Press release"
"1865","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","vulnerable and older population"
"1867","Case identification, contact tracing and related measures","Enhance detection system","Speed notification",""
"1869","Healthcare and public health capacity","Increase patient capacity","Emergency hospitals","increase number of beds"
"1871","Resource allocation","Police and army interventions","To enforce social distancing","Police controls to prevent mass gatherings"
"1877","Social distancing","Mass gathering cancellation","Indoor activities","Indoor Swimming pool"
"1886","Travel restriction","Border restriction","Travel ban to high-risk areas","To and from Austria"
"1893","Social distancing","Special measures for certain establishments","Food services","Can open of < 50 persons"
"1906","Risk communication","Educate and actively communicate with the public","Information campaign","At airports in Lithuania to advise all travellers about COVID-19"
"1908","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Anyone returning from a foreign country"
"1911","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Austria, China, Denmark, Egypt, France, Germany, Hong Kong Special Administrative Region of the People's Republic of China, Iceland, Iran, Italy, Japan, Netherlands, Norway, Singapore, South Korea, Spain, Sweden and Switzerland"
"1919","Social distancing","Mass gathering cancellation","Limit up to 100 persons","Applies to indoor events"
"1924","Healthcare and public health capacity","Increase isolation and quarantine facilities","Hotels transformed in quarantine facilities",""
"1925","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Austria, China, Denmark, Egypt, France, Germany, Hong Kong Special Administrative Region of the People's Republic of China, Iceland, Iran, Italy, Japan, Netherlands, Norway, Singapore, South Korea, Spain, Sweden and Switzerland"
"1927","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","take-away allowed"
"1928","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Mobile testing facilities"
"1929","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Mobile testing facilities were opened"
"1930","Travel restriction","Border restriction","Land border controls","Border control was extended for 20 days to 12 April"
"1931","Social distancing","Special measures for certain establishments","Food services","shops were mandated to control movement of customers within the shops"
"1932","Case identification, contact tracing and related measures","Quarantine","All incomings","people who would come from abroad by plane to Vilnius Airport would be quarantined in a hotel"
"1933","Travel restriction","Public transport restriction","Public transport ban","Intercities"
"1934","Resource allocation","Crisis management plans","Implement repurpose government plans","create a situation handling committee"
"1935","Travel restriction","National lockdown","Time extension","the nationwide quarantine was extended to 13 April"
"1936","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment","The Government of Lithuania has banned export of medical equipment to countries outside of the European Union"
"1938","Travel restriction","National lockdown","Time extension","The nationwide quarantine was extended to 27 April"
"1940","Travel restriction","Cordon sanitaire","One city","The town of Nemen?in? will be put on lockdown from April 16 to April 30"
"1941","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","National Crisis Preparedness and Response Centre"
"1946","Travel restriction","Border restriction","",""
"1953","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","RM40 billion"
"1955","Risk communication","Educate and actively communicate with the public","Encourage donation for covid19 crisis",""
"1956","Risk communication","Educate and actively communicate with the public","Encourage workplace hygiene",""
"1959","Healthcare and public health capacity","Increase in medical supplies and equipment","Medical equipment, laboratory equipment",""
"1960","Healthcare and public health capacity","Increase availability of PPE","PPE (not specified)",""
"1962","Environmental measures","Environmental cleaning and disinfection","One school",""
"1963","Environmental measures","Environmental cleaning and disinfection","Mosks",""
"1975","Travel restriction","Port and ship restriction","Reduced ferry service",""
"1980","Social distancing","Small gathering cancellation","Closure of non-essential working places","non-essential gov and private services"
"1982","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Nationals who travelled to at risk areas"
"1984","Social distancing","Small gathering cancellation","Closure of non-essential working places","Closure at night of all business stores"
"1986","Risk communication","Educate and actively communicate with the public","Reassure on food security",""
"1989","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Covid-19 reagents"
"1990","Healthcare and public health capacity","Increase patient capacity","Isolation wards","Implement isolation wards"
"1991","Resource allocation","Police and army interventions","To enforce quarantine","Under arrest if broken"
"1998","Travel restriction","Border restriction","Land borders closed","Borders closed except Brunei and Kalimantan"
"2001","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","special financial aid package RM1.15 billion"
"2002","Social distancing","Mass gathering cancellation","Complete prohibition of gathering","Movement Control Order 18 March"
"2003","Social distancing","Mass gathering cancellation","Limit up to 50 persons","Movement Control Order 18 March"
"2004","Case identification, contact tracing and related measures","Quarantine","All incomings","Movement Control Order 18 March"
"2005","Social distancing","Small gathering cancellation","Closure of non-essential working places","Movement Control Order 18 March"
"2009","Case identification, contact tracing and related measures","Tracing and tracking","Case tracking","Compulsory digital cuffs"
"2012","Travel restriction","Border restriction","Entry ban to people with a travel history to China",""
"2013","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of flights: Honk-Kong"
"2016","Healthcare and public health capacity","Increase isolation and quarantine facilities","One youth center transformed in quarantine facilities",""
"2017","Risk communication","Call for return of nationals living abroad","Nationals in China",""
"2018","Case identification, contact tracing and related measures","Airport health check","Health screening","All incomings"
"2019","Healthcare and public health capacity","Increase availability of PPE","Face masks",""
"2020","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from South Korea, Lombardy, Veneto, Emilia Romaga"
"2021","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","South Korea, Lombardy (Italy), Veneto (Italy), Emilia Romagna (Italy)"
"2022","Healthcare and public health capacity","Increase healthcare workforce","Educate healthcare professionals",""
"2023","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of flights: Shanghai"
"2026","Risk communication","Educate and actively communicate with the public","Website",""
"2027","Risk communication","Actively communicate with stakeholders","Fact sheet",""
"2030","Travel restriction","Public transport restriction","Reduced metro service","Metro"
"2032","Travel restriction","National lockdown","For 2 weeks",""
"2035","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers",""
"2036","Travel restriction","Public transport restriction","Reduced bus service","Buses"
"2038","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Payment of tax can be reported"
"2039","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Wage assistance scheme"
"2040","Resource allocation","Measures to ensure security of supply","Remove VAT","Hand sanitizers and face masks"
"2041","Resource allocation","Crisis management plans","The government provides food assistance","For vulnerable population"
"2042","Risk communication","Educate and actively communicate with the public","Answer to questions","Mobile application on Covid-19 called beSafeMoris"
"2045","Travel restriction","National lockdown","Extension",""
"2047","Resource allocation","Receive international help","EU","MUR 11.3 million"
"2048","Resource allocation","Receive international help","Hydroxychloroquine","Sent by India"
"2049","Case identification, contact tracing and related measures","Enhance detection system","Self-screening","Self-screening and reporting of cases via an online tool: Chatbot"
"2051","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Programas de gasto social"
"2052","Risk communication","Educate and actively communicate with the public","Recommendation for home office","Suggested 5-day isolation for a state's population. Non-mandatory"
"2053","Social distancing","Mass gathering cancellation","Indoor activities","fitness gym, music classes..."
"2058","Social distancing","Mass gathering cancellation","Indoor activities","steam baths, gyms, sports centers"
"2061","Risk communication","Actively communicate with healthcare professionals","Health agencies and emergency healthcare","Workshop"
"2067","Social distancing","Closure of educational institutions","Partial closure of educational institutions","all institutions"
"2071","Risk communication","Educate and actively communicate with the public","Answer to questions","Official webpage: https://coronavirus.gob.mx/"
"2087","Social distancing","Small gathering cancellation","Closure of non-essential working places","From March 30 to April 30, 2020"
"2088","Resource allocation","Police and army interventions","To enforce social distancing","Sanction for compagnies operating during quarantine if social distancing not respected"
"2090","Risk communication","Educate and actively communicate with the public","Answer to questions","Webpage - work-related issues"
"2091","Healthcare and public health capacity","Increase availability of PPE","Masks, gloves",""
"2093","Healthcare and public health capacity","Increase patient capacity","Isolation wards",""
"2099","Travel restriction","Border restriction","Travel ban to high-risk areas","Austria"
"2101","Travel restriction","Border restriction","Travel ban to high-risk areas","Denmark, France, Germany"
"2102","Travel restriction","Border restriction","Travel ban to high-risk areas","Iran, Italy, Spain, South Korea"
"2103","Travel restriction","Border restriction","Travel ban to high-risk areas","Japan"
"2104","Travel restriction","Border restriction","Travel ban to high-risk areas","Switzerland"
"2106","Healthcare and public health capacity","Case management","Prepare to treat patients",""
"2127","Social distancing","Mass gathering cancellation","Sport events","football, indoor and outdoor athletic games, marathon runs etc."
"2145","Travel restriction","Border restriction","Entry ban to non EU citizens",""
"2151","Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","Encourage not to shake hands"
"2152","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Stay at home when show symptoms (fever, coughing, sore throat, rhinitis). Call doctor only if symptoms get worse"
"2158","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Recommend not to visit vulnerable persons"
"2161","Social distancing","Small gathering cancellation","Implement part-time work",""
"2162","Social distancing","Mass gathering cancellation","Indoor activities","sports and fitness clubs"
"2164","Case identification, contact tracing and related measures","Surveillance","Implement sentinel study","start to test blood donations if people were infected"
"2166","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Stay at home when show symptoms (fever, coughing, cold)."
"2167","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Call to limit social contacts for a week in one city"
"2173","Resource allocation","Emergency response mechanisms","Activate emergency response mechanisms","Sets up a team to monitor the situation"
"2178","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Partial quarantine (e.g access to schools, sport gym...restricted)"
"2187","Social distancing","Mass gathering cancellation","Limit up to 500 persons","outside"
"2188","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","$12.1 billion package"
"2189","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Healthcare"
"2196","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Country-wide alert level system"
"2205","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Raised to alert level 3"
"2210","Travel restriction","Public transport restriction","Public transport ban","partial: only open to people undertaking essential services and transport of freight "
"2215","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Raised to alert level 4"
"2222","Risk communication","Educate and actively communicate with the public","Scale up communication to the public","Daily newsletter"
"2223","Risk communication","Educate and actively communicate with the public","Scale up communication to the public","WhatsApp"
"2230","Social distancing","Mass gathering cancellation","Outdoor activities","Closure of ski resorts"
